# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 276.589333333333400                 460.169075084365431                 181.333333333333314                2724.400000000001910               13829.466666666668971
  1                 348.679074074073867                1271.740869780795720                  98.222222222222214                8523.799999999995634               17433.953703703693463
  2                 674.039999999999850                 919.736677388333192                 393.333333333333314                5373.599999999984902               33701.999999999992724
  3                 563.648296296295825                1214.771499121836086                 131.933333333333309                7662.799999999995634               28182.414814814790589
  4                 498.227628117913696                 994.415915858019389                 125.085411942554799                4826.514285714280959               24911.381405895685020
  5                 599.223279999999590                1057.352250209665726                 119.090666666666678                6282.479999999995016               29961.163999999978842
  6                 830.013666666666381                1091.952956316188420                 380.100000000000136                3979.199999999988449               41500.683333333319752
  7                 722.179458333333287                 931.127786220515986                 243.385416666666771                3601.199999999988904               36108.972916666665697
  8                 672.283604938271765                 849.331649517560663                 249.575308641975397                3351.999999999998181               33614.180246913587325
  9                 829.466419753085916                1052.171871460561306                 157.751543209876672                4065.666666666662422               41473.320987654296914
 10                1048.118930041150861                1082.059083841177653                 979.041975308643487                4497.866666666662240               52405.946502057544421
 11                1142.823354074073450                 883.862531109129236                1117.141333333334842                3271.239999999995234               57141.167703703671577
 12                1152.917210884351789                 986.145466748473837                1139.086904761906226                3654.857142857138570               57645.860544217590359
 13                1254.051783348632625                 897.132634765906005                1250.447779111646469                2968.678991596634660               62702.589167431629903
 14                1266.749373703702076                 908.069762127517038                1319.097472222221313                3004.999999999994088               63337.468685185107461
 15                1355.568583912035365                 860.408639139848447                1322.780815972221490                3130.224999999995816               67778.429195601769607
 16                1480.434102780979401                 802.488491823443155                1472.068435217221804                3092.164705882348699               74021.705139048965066
 17                1526.478840075672679                 717.455858179687084                1766.932077446357880                2624.459340659334430               76323.942003783638938
 18                1561.076824913492374                 801.053865030990323                1775.623349480963725                2823.329411764699671               78053.841245674615493
 19                1508.083204270594479                 697.272207604549521                1606.168253968252884                2561.621428571422257               75404.160213529728935
 20                1439.541586680514683                 735.164825002700240                1453.522957063709782                2894.642105263151734               71977.079334025736898
 21                1327.985507037036086                 817.546044204313716                1291.694611111111044                3496.049999999993815               66399.275351851800224
 22                1314.713378401358568                 917.670913649446902                1225.474149659863770                3042.442857142851153               65735.668920067924773
 23                1336.350112622824781                 911.245929344630213                1345.379365079366835                3222.657142857138751               66817.505631141233607
 24                1439.777639062733442                 900.792594420313549                1462.966984126981970                3090.714285714279868               71988.881953136675293
 25                1487.929041542696041                 921.319411341193927                1497.004363636361404                3597.207272727267991               74396.452077134803403
 26                1403.358817777775585                 973.396118479884080                1729.914166666666006                3004.999999999994088               70167.940888888784684
 27                1386.720226458330899                 872.868599268510138                1776.563249999994923                2852.237499999993815               69336.011322916543577
 28                1331.246971851849594                 920.514749904672044                1320.035308641974325                2797.633333333327300               66562.348592592476052
 29                1289.510171768084092                 953.744712365633291                1320.103586821534464                2932.723076923072313               64475.508588404205511
 30                1346.568487244895096                1029.926176719427986                1787.594770408157956                3042.442857142851153               67328.424362244753866
 31                1304.261525077157330                1079.383159184571696                1287.609876543211612                3933.254166666651599               65213.076253857863776
 32                1445.142735308638748                 984.736349452208628                1772.181333333332304                3792.993333333318787               72257.136765431932872
 33                1270.106510204080223                 912.255114492367738                1206.798639455784041                3414.257142857133658               63505.325510204005695
 34                1364.795451388886704                 976.549374489415641                1310.474305555555929                4392.524999999995089               68239.772569444336114
 35                1452.587990653322777                 945.363651913046851                1273.101611170785873                4045.845112781939406               72629.399532666138839
 36                1353.741437524027333                 855.344012015832391                1239.010534409841966                3715.329411764691031               67687.071876201371197
 37                1498.113289351848152                1292.469470404626009                1385.432986111110722                5997.574999999981628               74905.664467592403525
 38                1601.933564013836985                1004.349908245153188                1382.204705882354119                4480.849411764689648               80096.678200691851089
 39                1716.732220204077294                 868.400690854730215                1780.669387755099933                4020.321428571413435               85836.611010203865590
 40                1903.505443540428587                 792.606065445881200                1987.344045857980745                3085.646153846148081               95175.272177021426614
 41                1795.079734765836292                 796.548738318590495                1970.197719008257081                3695.023636363621790               89753.986738291816437
 42                1716.748674897114597                 841.821722006486198                1919.896296296293031                2850.966666666660331               85837.433744855734403
 43                1799.387401360540252                 824.449317386389453                1950.366866746695678                3311.142857142847788               89969.370068027012167
 44                1675.313158518514001                 960.219546406744598                1895.177777777775873                4338.199999999984357               83765.657925925697782
 45                1850.825335757570883                 817.199212553369534                1993.210380165282004                3695.023636363621790               92541.266787878543255
 46                1718.955696819900368                 952.520525770326913                1950.366866746695678                3311.142857142847788               85947.784840995023842
 47                1768.714008230447917                 862.135772881348657                1998.798765432091386                3119.799999999991087               88435.700411522397189
 48                2032.947761632645779                 806.491205268776184                2428.874285714282450                3946.945714285699523              101647.388081632292597
 49                2011.443708333327322                 828.146791967965214                2024.020535714282687                4110.985714285699032              100572.185416666368837
