# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  92.196444444444509                 153.389691694788496                  60.444444444444436                 908.133333333334008                4609.822222222225719
  1                 272.637777777777728                 883.631963589221073                  83.644444444444446                5719.199999999997999               13631.888888888885049
  2                 224.680000000000035                 306.578892462777731                 131.111111111111114                1791.199999999995043               11234.000000000001819
  3                 463.279111111110808                 904.594125961553686                 154.533333333333331                5719.199999999997999               23163.955555555541650
  4                 589.715555555555738                1151.706763647803655                 255.822222222222393                5719.199999999997999               29485.777777777784650
  5                 565.778666666666368                 927.582094972077925                 256.311111111111302                5719.199999999997999               28288.933333333319752
  6                 437.428888888888594                 530.526759879412339                 288.755555555555816                2278.977777777778556               21871.444444444430701
  7                 560.587111111110858                 676.423287668707530                 256.311111111111302                2418.400000000001000               28029.355555555543106
  8                 601.559555555555562                 799.135535873052845                 259.244444444444696                2994.666666666667425               30077.977777777778101
  9                 998.190222222221678                1386.512308724712966                 308.222222222222570                5719.199999999997999               49909.511111111081846
 10                1110.617333333332454                1219.690980554186126                 702.577777777778806                5719.199999999997999               55530.866666666624951
 11                1457.531999999999471                1361.568378833834458                1308.333333333332575                5499.399999999997817               72876.599999999976717
 12                1404.604444444443516                1382.427209730214599                 930.044444444444707                5719.199999999997999               70230.222222222175333
 13                1736.701333333332059                1606.727181624515651                1610.044444444445617                5719.199999999997999               86835.066666666607489
 14                1770.873777777776922                1607.394715748467434                1464.999999999998408                5719.199999999997999               88543.688888888849760
 15                1794.814222222220906                1480.534005561806453                1791.199999999995043                5719.199999999997999               89740.711111111042555
 16                1938.540444444442755                1372.405730473263020                1791.199999999995043                5719.199999999997999               96927.022222222134587
 17                2323.823999999998250                1691.621614269427937                1791.199999999995043                5719.199999999997999              116191.199999999909778
 18                2188.005333333332146                1693.055901785018932                1791.199999999995043                5719.199999999997999              109400.266666666604578
 19                2619.540444444442528                1714.024499071147602                2103.466666666668061                5719.199999999997999              130977.022222222134587
 20                2042.834222222221115                1480.295801665612771                1791.199999999995043                5499.399999999997817              102141.711111111057107
 21                1558.411111111110358                1264.748110392239141                1464.999999999998408                5499.399999999997817               77920.555555555518367
 22                1737.979555555554498                1635.189898550856924                1610.044444444445617                5719.199999999997999               86898.977777777719893
 23                1717.537777777776000                1559.213060077437603                1464.999999999998408                5719.199999999997999               85876.888888888803194
 24                1867.089333333331524                1457.802360324506026                1791.199999999995043                5719.199999999997999               93354.466666666572564
 25                1721.167555555552781                1268.876197182760961                1791.199999999995043                5719.199999999997999               86058.377777777641313
 26                1926.524444444442452                1629.988107223143288                1791.199999999995043                5719.199999999997999               96326.222222222117125
 27                1875.741777777776861                1436.202107864649406                1791.199999999995043                5719.199999999997999               93787.088888888843940
 28                1910.041777777776815                1463.331393716017374                1821.333333333334622                5719.199999999997999               95502.088888888843940
 29                1723.246222222220922                1387.244563595930913                1379.133333333332075                5499.399999999997817               86162.311111111048376
 30                1816.386666666664496                1439.022862149053026                1791.199999999995043                4847.933333333333394               90819.333333333226619
 31                1915.811555555553923                1598.442841887079794                1791.199999999995043                6286.199999999989814               95790.577777777696610
 32                2172.284888888886599                1613.702714051470593                1856.533333333327391                6286.199999999989814              108614.244444444324472
 33                1797.427999999997837                1305.702385493212205                1495.866666666664059                5499.399999999997817               89871.399999999892316
 34                1461.889333333331251                 822.241296685533712                1495.866666666664059                4712.999999999999091               73094.466666666558012
 35                1978.972888888886700                1396.980097975292438                1831.333333333327801                6286.199999999989814               98948.644444444333203
 36                2022.721777777775515                1442.377937132194802                1495.866666666664059                6286.199999999989814              101136.088888888771180
 37                1566.311999999996942                1212.790263478943643                1414.599999999999227                6286.199999999989814               78315.599999999845750
 38                1959.429333333330305                1260.657990768193486                1856.533333333327391                6286.199999999989814               97971.466666666514357
 39                2208.938666666663266                1212.958888127541741                2103.466666666668061                6286.199999999989814              110446.933333333159680
 40                2274.729777777772597                1219.943715822583044                2103.466666666668061                4847.933333333333394              113736.488888888634392
 41                2467.258222222218592                1296.576393474887027                2534.533333333321480                6286.199999999989814              123362.911111110937782
 42                2318.454222222218959                1221.577035464210439                2534.533333333321480                4847.933333333333394              115922.711111110955244
 43                2250.090222222218017                1137.386809045546897                2534.533333333321480                5151.599999999995816              112504.511111110899947
 44                2057.221777777774150                1283.320834367145380                1856.533333333327391                6286.199999999989814              102861.088888888698420
 45                2493.247555555552026                1370.167012878518335                2534.533333333321480                6286.199999999989814              124662.377777777612209
 46                2123.522222222218261                1288.740276039519358                2324.799999999990177                5151.599999999995816              106176.111111110920319
 47                2265.130666666663274                1316.051846107237907                2198.133333333334576                5151.599999999995816              113256.533333333165501
 48                2467.939999999995052                1320.925199472879513                2534.533333333321480                6286.199999999989814              123396.999999999752617
 49                2372.740444444439163                1248.685934030541603                2534.533333333321480                6286.199999999989814              118637.022222221959964
