# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1180.434666666667681                1850.706911533598259                 600.533333333333189                8414.000000000005457               59021.733333333388146
  1                1513.631999999999152                2737.078022132845035                 674.666666666666629               14191.999999999974534               75681.599999999962165
  2                1776.191999999998870                2950.572940720786846                 858.933333333333394               19486.399999999906868               88809.599999999947613
  3                3202.037333333332299                2694.487346042653371                2478.933333333333394               12038.399999999985084              160101.866666666610399
  4                3129.578666666664503                3623.106949405956584                1484.800000000001319               13180.799999999962893              156478.933333333232440
  5                3741.664000000001579                2511.808379703441915                3894.400000000003729               12483.199999999975262              187083.200000000069849
  6                3742.421333333333223                4000.801019116918269                2209.066666666669789               23652.799999999864667              187121.066666666651145
  7                4544.512000000003354                1823.078993860663331                4739.200000000005275               10751.999999999987267              227225.600000000180444
  8                3547.466666666668516                2798.914559388254474                3657.600000000004911               13142.399999999968713              177373.333333333430346
  9                5768.309333333324503                4824.776998006273971                3714.666666666672427               17411.199999999917054              288415.466666666208766
 10                3839.872000000005301                1825.167079443050852                4012.800000000003365                8774.400000000008731              191993.600000000267755
 11                2739.420081632654728                1625.998804895283911                2366.171428571430624                7395.885714285716858              136971.004081632738234
 12                5273.634666666659541                4908.246568817545267                1910.400000000002819               15606.399999999941429              263681.733333332987968
 13                5692.864000000001397                3239.135251869545755                5548.800000000008367               13039.999999999974534              284643.200000000069849
 14                8350.613333333320043                5117.761814126674835                8265.600000000013097               17100.799999999930151              417530.666666665987577
 15                5674.624000000003434                2814.032435531611554                5500.800000000008367               15583.999999999956344              283731.200000000186265
 16                9070.335999999990236                3913.842387537046761               10211.199999999995271               15663.999999999941792              453516.799999999522697
 17                5881.727999999999156                3340.959380719250476                5526.400000000007822               14259.199999999955253              294086.399999999965075
 18                8918.549333333319737                4454.985726547713966               10979.199999999987995               18582.399999999914144              445927.466666665975936
 19                6380.480000000001382                3631.156638648344597                6598.400000000009641               15583.999999999956344              319024.000000000058208
 20                9329.429333333318937                4272.230311814179913               10646.399999999992360               15663.999999999941792              466471.466666665917728
 21                5853.760000000002037                3074.908972701462972                5500.800000000008367               15583.999999999956344              292688.000000000116415
 22                7314.965333333323542                4958.593416797673854                8608.000000000012733               15663.999999999941792              365748.266666666197125
 23                5971.264000000002852                3343.548447369044879                5500.800000000008367               15583.999999999956344              298563.200000000128057
 24                8360.981333333320435                4929.018949618256556               10569.599999999991269               15663.999999999941792              418049.066666666010860
 25                5752.063999999999396                3701.097326024262657                5500.800000000008367               15583.999999999956344              287603.199999999953434
 26                8195.477333333321440                4923.830981400275959                9823.999999999998181               15663.999999999941792              409773.866666666057426
 27                5215.552000000001499                3222.264180494203174                5500.800000000008367               15583.999999999956344              260777.600000000064028
 28                8673.791999999986729                4757.547003584268168               10492.799999999990177               15663.999999999941792              433689.599999999336433
 29                5407.424000000004526                2880.498708110107600                5884.800000000009277               15583.999999999956344              270371.200000000244472
 30                8478.933333333319752                4966.441759274592187                9516.800000000001091               15663.999999999941792              423946.666666665987577
 31                5856.191999999999098                3493.764244584337121                5830.400000000007822               15583.999999999956344              292809.599999999976717
 32                9808.618666666650824                4574.502339359653888               10646.399999999992360               15663.999999999941792              490430.933333332533948
 33                5758.528000000000247                3606.702338205353044                5654.400000000007822               15583.999999999956344              287926.400000000023283
 34               10143.359999999978754                4590.375009420354218               11414.399999999981446               15663.999999999941792              507167.999999998952262
 35                6082.432000000000698                3434.000174108318333                6598.400000000009641               15583.999999999956344              304121.600000000034925
 36                9167.231999999983600                4994.818349898916495               10188.799999999993815               15663.999999999941792              458361.599999999220017
 37                5126.464000000003580                2752.347102947593612                5811.200000000008004               11990.399999999992360              256323.200000000186265
 38                5351.270874074064523                2313.001573707127136                6265.898666666651479                7863.687111111081322              267563.543703703209758
 39                6454.980740740727924                3374.267455425378557                6895.644444444430519               16703.999999999970896              322749.037037036381662
 40               18433.151999999994587               14353.004514871421634               14182.399999999961437               41004.800000000097498              921657.599999999743886
 41                6486.655999999990854                4690.902859457215527                6272.000000000008185               15123.199999999949796              324332.799999999522697
 42                9190.935605522689002                7173.630320602299435                7289.145562130153849               20532.373964497091947              459546.780276134493761
 43                6548.861333333326002                3869.115387954307153                5590.800000000008367               15202.799999999941065              327443.066666666301899
 44               12946.495999999953710                8384.765933759794279               12572.799999999971988               34662.399999999855936              647324.799999997718260
 45                6390.271999999989930                5282.271897547096160                5120.000000000006366               17827.199999999920692              319513.599999999511056
 46               14735.103999999939333                8667.854967029019463               15539.199999999949796               30284.799999999810098              736755.199999996926636
 47                5928.831999999994878                4446.683088390255762                4966.400000000006003               17721.599999999933061              296441.599999999743886
 48                8231.486719999968045                3636.950298223250684                8020.927999999970780               15488.511999999904219              411574.335999998438638
 49                7671.082666666659861                2789.713603733375294                6921.599999999991269               14425.599999999969441              383554.133333333011251
