# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 277.875333333333572                 521.810194219656864                 149.333333333333343                2784.500000000002728               13893.766666666679157
  1                 320.032888888888920                 588.137027306300297                 160.444444444444457                3204.800000000002001               16001.644444444445980
  2                 397.507466666666687                 915.846208797224222                 114.866666666666660                4010.159999999995307               19875.373333333332994
  3                 363.188333333333333                 865.285151202576799                 118.833333333333329                4441.949999999995271               18159.416666666667879
  4                 413.594044444444535                 929.989446981403830                  91.368888888888890                4736.199999999992542               20679.702222222225828
  5                 603.043333333332953                1115.498991508084373                 109.799999999999983                3935.600000000001273               30152.166666666649689
  6                 498.467666666666673                 896.420940483815912                 129.833333333333314                3935.600000000001273               24923.383333333335031
  7                 574.928333333333171                 954.513811879871923                 176.666666666666657                3935.600000000001273               28746.416666666660603
  8                 628.302833333333865                 844.976199550762885                 187.216666666666669                3189.349999999998090               31415.141666666691890
  9                 775.814837606837841                 960.369729473025586                 195.162393162393244                4263.846153846148809               38790.741880341891374
 10                 885.190444444443415                1100.646607330075767                 153.547222222222274                3361.799999999995180               44259.522222222170967
 11                1195.764833333331808                1215.917743213419953                 951.466666666667948                4911.399999999995998               59788.241666666595847
 12                1214.433871345028138                1095.638178998534158                1235.838596491229509                4049.536842105258529               60721.693567251408240
 13                1394.232784313724551                1103.004823709452012                1308.628758169936418                4104.164705882348244               69711.639215686227544
 14                1559.028859649119340                1033.824408312259038                1742.763157894735514                3197.192105263141002               77951.442982455962920
 15                1767.282133333329057                1113.052587245326094                1851.413333333329547                3553.519999999994980               88364.106666666455567
 16                2783.903151515144145                1517.543651488472960                3287.636363636356691                4289.199999999983447              139195.157575757213635
 17                1920.356627450977157                 869.933430073174122                1941.452941176467220                3716.764705882348153               96017.831372548855143
 18                2285.095333333330473                 813.276676871031555                2327.885714285710492                4990.171428571424258              114254.766666666517267
 19                1878.127749999996922                 739.404008944781253                1878.784999999996899                3516.759999999995216               93906.387499999851570
 20                2169.906848484843977                 722.908034999075653                2076.854545454544223                3999.836363636358783              108495.342424242204288
 21                2296.644307692304210                 832.951245419104794                2340.846153846150173                5038.646153846149900              114832.215384615206858
 22                2173.618222222219174                 936.668201298963368                2316.653333333329556                4948.159999999995307              108680.911111110966885
 23                2156.618545454541163                 911.321480152594972                2136.036363636359965                4387.236363636358874              107830.927272727058153
 24                2136.744977777774693                 797.037926039154854                2078.853333333329829                4173.359999999995125              106837.248888888745569
 25                2193.929305555550854                 762.271365202176753                2069.024999999996453                4136.599999999994907              109696.465277777533629
 26                1920.174666666664052                 850.148320925118583                1880.366666666663377                3545.599999999995362               96008.733333333206247
 27                2678.476242424238535                1152.733052045597105                3087.236363636358419                4289.199999999983447              133923.812121211929480
 28                1910.947333333329880                 868.739022778542335                1959.953333333329738                3785.959999999995489               95547.366666666493984
 29                1980.634577777775121                1047.987694798470557                2285.279999999998381                4948.159999999995307               99031.728888888756046
 30                1767.482888888886009                1031.469791057398652                1999.266666666663014                3932.999999999995453               88374.144444444304099
 31                1864.869688888884639                1011.920109134442328                1888.613333333330047                3553.519999999994980               93243.484444444227847
 32                2117.253752380945571                 836.387586991394528                2124.034285714282760                3287.874285714280632              105862.687619047268527
 33                2131.611568627446104                 825.765913759359023                1941.452941176467220                3716.764705882348153              106580.578431372297928
 34                2142.852601307184159                 841.665262543869972                2105.066666666663878                3329.364705882348062              107142.630065359204309
 35                2486.542999999994208                 987.109287296831212                2355.966666666662604                5095.199999999995271              124327.149999999717693
 36                1981.188355555551880                 883.624571932765662                1862.404444444441424                3455.493333333328337               99059.417777777591255
 37                2479.115833333326918                1149.126929075149519                2454.249999999995907                5462.799999999995634              123955.791666666336823
 38                2482.581555555549585                 872.073886085287427                3028.966666666654874                4320.399999999995089              124129.077777777478332
 39                2234.809725490189976                 702.000345268930459                2656.690196078420286                3329.364705882348062              111740.486274509501527
 40                2106.316466666661654                 896.209259537595813                2170.304999999997108                3516.759999999995216              105315.823333333086339
 41                2189.825238095233090                 955.141535460647901                2289.542857142854245                3827.971428571423985              109491.261904761660844
 42                2706.061999999993077                 997.876137687990649                3339.233333333320388                5095.199999999995271              135303.099999999656575
 43                2328.527726495720344                 804.817396002091868                2702.482051282040175                3489.046153846149082              116426.386324786028126
 44                2516.917206349199660                 866.088402647403996                2998.847619047607168                4215.371428571424076              125845.860317459984799
 45                2131.219583333327137                 799.381134893454714                2216.066666666665697                3361.799999999995180              106560.979166666351375
 46                2098.140583333328777                 832.773951713989959                1950.124999999996589                3749.199999999995271              104907.029166666441597
 47                1784.487185185182852                 888.857566403132410                1933.744444444441115                3687.933333333328846               89224.359259259144892
 48                2096.349492063489379                 852.172484675643204                2094.333333333331666                4215.371428571424076              104817.474603174458025
 49                1778.456962962960006                 860.981834895305724                1814.844444444441478                3300.533333333328301               88922.848148147997563
