# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 129.800444444444537                 252.824450313544219                  60.755555555555553                1485.266666666668016                6490.022222222226446
  1                 185.709333333333461                 391.286347228859711                  71.111111111111100                2353.866666666668152                9285.466666666672609
  2                 344.907111111111135                 821.375362653472621                  71.111111111111100                3798.333333333332121               17245.355555555557657
  3                 277.607555555555564                 675.605305033809714                  71.111111111111100                3798.333333333332121               13880.377777777777737
  4                 373.523111111111064                 836.397465219957326                  63.511111111111099                4084.866666666659967               18676.155555555553292
  5                 422.920888888888612                 801.603504195785035                  65.866666666666660                3018.266666666665969               21146.044444444429246
  6                 358.628000000000100                 664.808672445847264                  77.911111111111097                2935.866666666668152               17931.400000000005093
  7                 401.549777777777877                 671.472800678156887                 136.666666666666657                3018.266666666665969               20077.488888888892689
  8                 477.926666666667074                 692.708449247776912                 138.888888888888886                2935.866666666668152               23896.333333333353949
  9                 880.604444444445107                1245.533093083211270                 263.955555555555748                5168.933333333333394               44030.222222222255368
 10                1202.223111111110711                1648.769341566035109                 263.955555555555748                5168.933333333333394               60111.155555555531464
 11                1168.879111111110888                1195.235449059966186                 745.733333333332666                5168.933333333333394               58443.955555555541650
 12                1395.516444444444005                1312.145874911816691                1278.133333333332075                5168.933333333333394               69775.822222222195705
 13                1512.375111111109618                1295.010608520463848                1121.333333333334167                5168.933333333333394               75618.755555555486353
 14                2006.407111111109771                1549.913755175675533                2196.399999999990996                5168.933333333333394              100320.355555555492174
 15                1921.383111111108974                1406.776987336638740                2196.399999999990996                5168.933333333333394               96069.155555555451429
 16                1736.275999999997111                 919.605183281294899                2196.399999999990996                4564.133333333331393               86813.799999999857391
 17                2132.116444444441640                1204.116209809963266                1902.666666666660831                5168.933333333333394              106605.822222222079290
 18                2015.901777777775351                 980.544492176454014                1902.666666666660831                5168.933333333333394              100795.088888888771180
 19                2154.491111111109603                1271.503650253277101                1902.666666666660831                5168.933333333333394              107724.555555555474712
 20                2066.579555555552815                 976.362277924984483                1902.666666666660831                5168.933333333333394              103328.977777777647134
 21                2011.554222222219778                 994.834572477129200                1902.666666666660831                5168.933333333333394              100577.711111110984348
 22                1976.884888888886508                1010.839865553098662                1833.044444444445844                5168.933333333333394               98844.244444444324472
 23                1980.543555555552530                1111.369254539197300                1743.866666666662240                5168.933333333333394               99027.177777777629672
 24                2232.507111111108770                1181.333721584168188                1902.666666666660831                5168.933333333333394              111625.355555555433966
 25                2232.710666666663201                1050.530967016932436                2196.399999999990996                5168.933333333333394              111635.533333333165501
 26                2132.725333333331491                1326.261593761433460                1743.866666666662240                5168.933333333333394              106636.266666666575475
 27                1832.475111111108845                 977.907079661531839                1743.866666666662240                4165.933333333324299               91623.755555555442697
 28                2015.417333333331271                1238.923985099614583                1743.866666666662240                5168.933333333333394              100770.866666666566744
 29                1792.781333333331304                1086.692446550460545                1743.866666666662240                5168.933333333333394               89639.066666666563833
 30                1725.847111111108916                1215.325808730204699                1743.866666666662240                5168.933333333333394               86292.355555555448518
 31                2014.600888888886630                1373.363344878549697                1902.666666666660831                5168.933333333333394              100730.044444444327382
 32                2258.415555555552146                1253.155232785145245                2196.399999999990996                5168.933333333333394              112920.777777777606389
 33                2188.319555555552142                 940.176687170588139                2196.399999999990996                5168.933333333333394              109415.977777777618030
 34                2313.496444444441295                1184.144248008266231                2196.399999999990996                5168.933333333333394              115674.822222222064738
 35                1984.684888888885098                 785.394483787762624                2196.399999999990996                5168.933333333333394               99234.244444444251712
 36                2217.891555555552259                1231.291736798773172                2196.399999999990996                5168.933333333333394              110894.577777777623851
 37                1799.778222222219256                 869.294508625083608                2196.399999999990996                5168.933333333333394               89988.911111110966885
 38                2156.460444444439872                 887.148260144454753                2196.399999999990996                5168.933333333333394              107823.022222222003620
 39                2418.702666666662481                1065.532141741509804                2196.399999999990996                5168.933333333333394              120935.133333333127666
 40                2266.013333333330138                1130.295331755225789                2196.399999999990996                5168.933333333333394              113300.666666666496894
 41                2107.928888888885012                1025.896170512203526                2196.399999999990996                5168.933333333333394              105396.444444444248802
 42                2109.199999999995271                 805.639793358033671                2196.399999999990996                5168.933333333333394              105459.999999999767169
 43                2283.916888888884841                1137.562273703849769                2196.399999999990996                5168.933333333333394              114195.844444444242981
 44                2251.448888888884085                 986.240481699676593                2196.399999999990996                5168.933333333333394              112572.444444444205146
 45                2318.037777777774409                1225.107340456136171                2196.399999999990996                5168.933333333333394              115901.888888888715883
 46                2191.587111111108243                1116.779493480502879                2196.399999999990996                5168.933333333333394              109579.355555555404862
 47                1997.033333333331711                1218.405526962731756                1902.666666666660831                5168.933333333333394               99851.666666666584206
 48                1957.219999999996617                 987.367961352894667                1902.666666666660831                5168.933333333333394               97860.999999999825377
 49                2152.139999999998054                1386.746789873584248                1833.044444444445844                5168.933333333333394              107606.999999999898137
