# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 814.560000000000628                1800.268614673317188                 477.199999999999875               10914.800000000004729               40728.000000000029104
  1                 766.193777777778337                1764.017068415169888                 347.555555555555429               10084.799999999993815               38309.688888888915244
  2                1048.087466666666387                2465.572848650214837                 350.933333333333280               13503.279999999998836               52404.373333333322080
  3                 820.874222222222443                1573.860326765096033                 249.655555555555623                8413.799999999997453               41043.711111111122591
  4                 854.370666666666921                2101.780798186029642                 150.066666666666634               11447.666666666664241               42718.533333333347400
  5                1352.013333333332866                3107.724100152174742                 285.600000000000023               19976.999999999959982               67600.666666666642413
  6                1851.949333333334380                1682.003645157102255                1804.000000000000227                8512.400000000003274               92597.466666666718083
  7                1061.599200000000110                1246.516072673764938                 678.000000000000000                6370.759999999992942               53079.960000000006403
  8                2182.592000000001462                2656.922538063414322                 983.466666666667379                9737.600000000004002              109129.600000000064028
  9                3660.671999999997297                4134.114492460448673                1559.466666666668061               14537.599999999962165              183033.599999999860302
 10                4159.978666666665049                4260.595416406068580                2000.000000000000000               15254.399999999948704              207998.933333333261544
 11                5775.637333333328570                4805.995149619033327                4326.400000000004184               15331.199999999949796              288781.866666666406672
 12                4939.072000000002845                2377.351240607074033                5062.400000000006003               11859.199999999978900              246953.600000000151340
 13                6844.565333333323906                6371.691480935036452                4691.200000000004366               19094.399999999910506              342228.266666666197125
 14                6345.599999999998545                3939.807303308109567                6185.600000000007640               13971.199999999957072              317279.999999999941792
 15                8352.597333333324059                4512.784857997394283                9878.399999999995998               15254.399999999948704              417629.866666666173842
 16                6241.920000000000073                2780.618986053280423                5907.199999999998909               11798.399999999981446              312096.000000000000000
 17               10058.677333333318529                4286.490458656448027               11206.399999999983265               16230.399999999941429              502933.866666665882803
 18                5171.647999999997410                3636.652161218607034                5116.800000000006548               12979.199999999975262              258582.399999999848660
 19               11518.058666666636782                5445.531743049334182               12358.399999999975989               18940.799999999915599              575902.933333331835456
 20                5425.727999999994609                3850.286447060263981                5884.800000000009277               13971.199999999957072              271286.399999999732245
 21               11186.730666666642719                3803.332520501438012               11721.599999999978536               17513.599999999929423              559336.533333332161419
 22                4835.519999999998618                3301.166048534968922                4732.800000000005639               12092.799999999975626              241775.999999999941792
 23               12723.295999999958440                5394.307059560858761               14438.399999999954161               19017.599999999911233              636164.799999997951090
 24                5574.463999999996304                3730.959991731882837                5500.800000000008367               13971.199999999957072              278723.199999999837019
 25               12062.890666666638936                3754.635048109268155               12281.599999999974898               17513.599999999929423              603144.533333331928588
 26                5357.631999999994150                3845.723830617062049                4019.200000000003911               12979.199999999975262              267881.599999999685679
 27               12672.682666666636578                5598.500215205383029               15430.399999999946886               18940.799999999915599              633634.133333331788890
 28                5044.863999999998668                3495.087946347555317                5500.800000000008367               13971.199999999957072              252243.199999999924330
 29                9958.101333333312141                5188.315662224771586               10339.199999999995271               17513.599999999929423              497905.066666665603407
 30                4860.031999999999243                3260.075479705336420                4755.200000000005275               12092.799999999975626              243001.599999999976717
 31               10969.578666666633580                6743.945472791790053               11759.999999999981810               19017.599999999911233              548478.933333331719041
 32                5152.319999999995161                4061.030587621808081                2044.799999999999272               13971.199999999957072              257615.999999999767169
 33               11092.415999999975611                4572.226636368933214               12435.199999999971624               17513.599999999929423              554620.799999998765998
 34                4555.007999999995263                3652.413339360151440                2044.799999999999272               12979.199999999975262              227750.399999999761349
 35               13873.919999999956417                5786.502376039495175               17075.199999999927968               18940.799999999915599              693695.999999997788109
 36                5089.151999999996406                3822.266184882465041                2252.799999999999727               13971.199999999957072              254457.599999999831198
 37               10787.541333333303555                5115.173771743808175               12435.199999999971624               17513.599999999929423              539377.066666665137745
 38                3563.583999999996195                3282.355408870887914                2044.799999999999272               12979.199999999975262              178179.199999999807915
 39               15015.786666666615929                5349.601944734837161               17075.199999999927968               18940.799999999915599              750789.333333330811001
 40                4454.271999999995387                3926.949931692018708                2044.799999999999272               13971.199999999957072              222713.599999999772990
 41               10455.082666666643490                4630.260221850922790               12435.199999999971624               17513.599999999929423              522754.133333332196344
 42                3680.959999999999582                3022.592773100601789                1836.799999999999272               12979.199999999975262              184047.999999999970896
 43               14410.901333333289585                6074.806005224274486               18940.799999999915599               18940.799999999915599              720545.066666664439254
 44                4250.303999999999178                3505.567111265162112                2044.799999999999272               13971.199999999957072              212515.199999999953434
 45               11091.157333333308998                4341.665171710739742               12435.199999999971624               17513.599999999929423              554557.866666665417142
 46                4715.519999999999527                3357.347036456014393                2252.799999999999727               12092.799999999975626              235775.999999999970896
 47               10234.527999999974782                5953.672625013728975               10953.599999999987631               19017.599999999911233              511726.399999998742715
 48                5335.103999999999360                3258.412616287875153                5884.800000000009277               13971.199999999957072              266755.199999999953434
 49               10100.287999999976819                5345.094013324553998               11283.199999999984357               17513.599999999929423              505014.399999998859130
