# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  94.677333333333280                 108.197314084551451                  98.500000000000000                 505.333333333331836                4733.866666666664059
  1                 153.012666666666547                 262.709411148938671                 105.433333333333337                1225.766666666667561                7650.633333333327755
  2                 114.480666666666565                 153.244993986027737                  99.666666666666657                 879.733333333331416                5724.033333333328301
  3                 202.216666666666526                 355.178381677588902                 111.900000000000006                2002.766666666668470               10110.833333333326664
  4                 217.040666666666652                 340.868465429115588                 115.833333333333343                1952.066666666669107               10852.033333333332848
  5                 186.937333333333299                 278.317996035709655                 106.666666666666671                1089.799999999997681                9346.866666666664969
  6                 256.067999999999984                 426.385106106362002                 103.633333333333326                1952.066666666669107               12803.399999999999636
  7                 251.447333333333091                 316.374285729207827                 103.000000000000000                1132.299999999998363               12572.366666666654055
  8                 373.645333333332985                 360.356301257518965                 334.166666666666629                1132.299999999998363               18682.266666666648234
  9                 297.810666666666464                 277.800635023671987                 285.599999999999966                 967.366666666667356               14890.533333333323753
 10                 340.707333333333168                 443.867350519649506                 124.500000000000014                2025.700000000001410               17035.366666666657693
 11                 247.812666666666559                 338.184404850371152                  84.033333333333317                1790.733333333329938               12390.633333333327755
 12                 304.640666666666277                 436.213251227219871                 110.533333333333317                2115.133333333329574               15232.033333333314658
 13                 257.327333333333172                 318.393299321591599                 129.000000000000000                1658.266666666664605               12866.366666666657693
 14                 359.729333333333216                 342.557150504521815                 311.599999999999909                1350.066666666665014               17986.466666666659876
 15                 389.585333333332756                 326.751299591736142                 379.199999999999591                 943.266666666667334               19479.266666666637320
 16                 294.521999999999878                 366.840966003283313                 115.133333333333326                1708.733333333333121               14726.099999999994907
 17                 390.787999999999784                 414.538121595589644                 280.499999999999943                1899.566666666668652               19539.399999999990541
 18                 295.747333333333074                 335.847509053339763                 129.699999999999989                1600.800000000001091               14787.366666666654055
 19                 383.793333333332896                 423.072954255198795                 290.833333333333314                2115.133333333329574               19189.666666666646051
 20                 347.365999999999644                 349.762614004285354                 269.899999999999920                1077.599999999999909               17368.299999999981083
 21                 345.697333333332949                 451.492875240449962                 269.499999999999943                2115.133333333329574               17284.866666666646779
 22                 534.353999999999473                 552.898248982978430                 434.399999999999068                2312.333333333327573               26717.699999999971624
 23                 439.855333333332794                 475.392249252480610                 394.166666666666345                2312.333333333327573               21992.766666666640958
 24                 494.019333333332497                 331.067609415357424                 450.666666666665662                1156.933333333331802               24700.966666666623496
 25                 594.695333333332428                 447.993163489999802                 450.666666666665662                1833.666666666668334               29734.766666666619130
 26                 532.141999999999257                 368.101739910162053                 450.666666666665662                1183.566666666665014               26607.099999999962165
 27                 551.905999999999381                 393.819855979862723                 450.666666666665662                1713.533333333334895               27595.299999999970169
 28                 571.693333333332816                 443.144415387229003                 463.766666666665515                1806.466666666668516               28584.666666666638775
 29                 610.361999999999512                 425.822446462789628                 502.933333333331859                1810.100000000001728               30518.099999999976717
 30                 609.275333333333037                 443.460508165796796                 502.933333333331859                1968.900000000001910               30463.766666666651872
 31                 658.958666666665863                 428.586098834035397                 533.433333333333280                1865.666666666668561               32947.933333333290648
 32                 617.512666666665950                 503.609610617412898                 502.933333333331859                1793.800000000002001               30875.633333333295013
 33                 526.101333333332491                 417.428502724850659                 502.933333333331859                1713.533333333334895               26305.066666666622041
 34                 483.960666666666157                 467.811216515094657                 396.566666666666322                1981.900000000001910               24198.033333333307382
 35                 379.384666666666362                 454.977600679906402                 148.033333333333360                1981.900000000001910               18969.233333333319024
 36                 349.941999999999609                 286.915237410322902                 359.499999999999943                1077.599999999999909               17497.099999999980355
 37                 481.672666666666203                 451.649161318334961                 387.600000000000023                1833.666666666668334               24083.633333333309565
 38                 360.975333333332742                 347.005825043006041                 364.833333333333201                1447.099999999996726               18048.766666666637320
 39                 441.329999999999416                 384.698122356275860                 415.866666666666731                1843.266666666668698               22066.499999999970896
 40                 324.385999999999740                 367.633737001621910                 276.699999999999932                1735.933333333334758               16219.299999999988358
 41                 299.688666666666279                 331.842947967859914                 122.400000000000006                1340.866666666667925               14984.433333333314295
 42                 398.429333333332920                 429.403669219948767                 287.933333333333337                1833.666666666668334               19921.466666666645324
 43                 440.877999999999872                 501.259173575683860                 310.533333333333303                1865.666666666668561               22043.899999999994179
 44                 540.570666666666398                 545.936732827776382                 394.166666666666345                1865.666666666668561               27028.533333333321934
 45                 582.096666666666692                 561.490221276283023                 434.399999999999068                1899.566666666668652               29104.833333333332121
 46                 745.942000000000576                 656.180240577914333                 689.033333333332280                2002.766666666668470               37297.100000000027649
 47                 863.197333333333631                 636.119888764514826                 720.866666666666902                1899.566666666668652               43159.866666666683159
 48                 873.311999999999784                 573.035112779507699                 885.899999999999864                1899.566666666668652               43665.599999999991269
 49                 923.299333333333607                 663.019454364819694                 885.899999999999864                1899.566666666668652               46164.966666666681704
