# Score (population vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 108.403999999999911                 165.275225358591484                  91.666666666666657                 907.733333333331075                5420.199999999995271
  1                 164.072666666666549                 266.551008225859448                 114.299999999999997                1676.500000000001364                8203.633333333327755
  2                 215.326666666666483                 311.289836361905657                 115.333333333333329                1472.299999999996999               10766.333333333324845
  3                 200.585999999999729                 285.066456196522893                 108.333333333333329                1472.299999999996999               10029.299999999986539
  4                 190.881999999999863                 237.215490051649823                 108.333333333333329                1121.066666666667743                9544.099999999993088
  5                 218.678666666666430                 264.776768598253511                 113.633333333333326                1315.333333333331211               10933.933333333321571
  6                 292.389333333332956                 378.314817957507273                 109.433333333333337                1643.433333333334531               14619.466666666647143
  7                 236.939333333333281                 345.362187127272705                  98.000000000000000                1794.600000000001955               11846.966666666663514
  8                 367.276666666666415                 407.998084377311216                 299.499999999999943                1804.900000000001910               18363.833333333321207
  9                 311.787999999999954                 459.068647142596149                 103.333333333333329                1871.300000000002001               15589.399999999997817
 10                 290.503999999999962                 437.179884595701878                 107.000000000000000                1931.300000000002001               14525.199999999998909
 11                 289.039333333333275                 351.893651149825871                 108.333333333333329                1114.666666666667652               14451.966666666663514
 12                 340.627999999999759                 385.336921688020880                 145.333333333333343                1931.266666666668698               17031.399999999986903
 13                 296.143999999999778                 305.147554430821287                 143.000000000000000                1118.566666666667743               14807.199999999987995
 14                 386.261333333332971                 417.805082058341611                 319.000000000000000                1847.266666666668925               19313.066666666647507
 15                 284.574666666666360                 318.467182161329958                 269.166666666666629                1833.666666666668334               14228.733333333319024
 16                 375.425999999999760                 414.100759037110436                 290.399999999999977                1833.666666666668334               18771.299999999988358
 17                 372.306666666666331                 422.837538646805740                 277.533333333333303                1932.100000000001955               18615.333333333317569
 18                 245.415999999999883                 301.119969907897769                 106.599999999999980                1121.066666666667743               12270.799999999993815
 19                 269.253999999999849                 346.188900643051397                 106.633333333333297                1660.733333333334713               13462.699999999993452
 20                 332.593999999999824                 428.678140162160503                 103.599999999999994                1660.733333333334713               16629.699999999989814
 21                 306.591999999999871                 371.990821425594845                 110.599999999999994                1660.733333333334713               15329.599999999993088
 22                 350.463999999999714                 424.086705067620414                 106.833333333333343                1660.733333333334713               17523.199999999986176
 23                 294.227999999999895                 410.466267790396728                  91.666666666666657                1615.166666666665151               14711.399999999994179
 24                 434.816000000000031                 446.871940952513455                 279.899999999999920                1615.166666666665151               21740.800000000002910
 25                 436.328666666666379                 408.983216282091576                 387.600000000000023                1615.166666666665151               21816.433333333319752
 26                 258.203333333333148                 332.092761488914732                  98.266666666666637                1804.900000000001910               12910.166666666656965
 27                 266.893333333333089                 321.555377985054179                 109.000000000000014                1735.933333333334758               13344.666666666653327
 28                 480.200666666666052                 348.672055120248558                 502.933333333331859                1735.933333333334758               24010.033333333303744
 29                 556.085999999999558                 525.871508559943777                 502.933333333331859                2002.766666666668470               27804.299999999977445
 30                 610.993333333332998                 549.793606082218048                 502.933333333331859                1790.733333333329938               30549.666666666649689
 31                 538.766666666665969                 468.167167105463989                 502.933333333331859                1713.533333333334895               26938.333333333295741
 32                 593.515999999999167                 467.873911563551133                 687.266666666666879                1735.933333333334758               29675.799999999955617
 33                 719.023999999998978                 507.650917069769264                 879.733333333331416                1790.733333333329938               35951.199999999946158
 34                 691.058666666665090                 509.258343544151273                 879.733333333331416                2115.133333333329574               34552.933333333254268
 35                 674.316666666665810                 505.582796615285417                 848.166666666667084                1790.733333333329938               33715.833333333292103
 36                 721.179999999998927                 538.301098188654009                 879.733333333331416                2115.133333333329574               36058.999999999949068
 37                 725.487999999998692                 462.676597240207968                 879.733333333331416                1787.133333333334804               36274.399999999935972
 38                 758.105333333333078                 628.782970696744428                 701.766666666666765                2002.766666666668470               37905.266666666655510
 39                 693.531999999999584                 549.168296161872149                 687.266666666666879                1787.133333333334804               34676.599999999976717
 40                 553.130666666666116                 456.330265187640123                 502.933333333331859                2115.133333333329574               27656.533333333303744
 41                 628.169333333332816                 581.012548720478549                 502.933333333331859                2115.133333333329574               31408.466666666641686
 42                 746.465999999999326                 563.524339550850300                 701.766666666666765                2115.133333333329574               37323.299999999966531
 43                 588.633333333332757                 433.628809262278878                 423.600000000000080                2115.133333333329574               29431.666666666635138
 44                 581.964666666666403                 449.287075037775594                 434.399999999999068                2115.133333333329574               29098.233333333319024
 45                 729.971333333332836                 495.148493731818746                 796.966666666667038                2115.133333333329574               36498.566666666643869
 46                 798.086666666666588                 536.934658015086939                 776.166666666666970                1787.133333333334804               39904.333333333328483
 47                 622.402666666666505                 496.008029139314374                 553.066666666665697                2002.766666666668470               31120.133333333327755
 48                 546.995999999999754                 489.673441779314771                 409.200000000000045                2002.766666666668470               27349.799999999988358
 49                 642.048666666666577                 575.544219064202139                 416.400000000000091                2115.133333333329574               32102.433333333327028
