# Fitness (population vs teach set)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1425.069439999999304                1742.879220239443384                1005.066666666666606                7956.639999999984866               71253.471999999965192
  1                 321.390666666666107                 742.027561274286541                  44.333333333333329                3266.000000000001364               16069.533333333305563
  2                 204.840098765432231                 568.574966307748696                  11.521604938271606                2571.799999999999727               10242.004938271611536
  3                 333.523222222221818                 712.099673068855736                  38.018518518518519                4240.000000000000000               16676.161111111090577
  4                 496.303999999999633                 733.975121123627218                 204.333333333333343                3350.933333333334303               24815.199999999982538
  5                1610.282666666663999                2530.146397408024768                 352.000000000000000                9470.577777777738447               80514.133333333200426
  6                 499.427660493826579                1028.033898448439231                   6.720679012345679                5109.600000000004911               24971.383024691327591
  7                 372.628760447036086                 761.677833733482657                   2.437585034013606                3715.371428571433171               18631.438022351805557
  8                 370.107160493827166                1053.232078134300309                   1.950617283950617                5540.799999999999272               18505.358024691358878
  9                 173.414999999999992                 630.657791359765724                   7.166666666666666                3780.000000000000909                8670.750000000000000
 10                 298.841481481481651                 709.910762225985764                   6.839506172839504                2891.762962962961410               14942.074074074082091
 11                 570.642421582074917                1072.195572971618958                  93.632921810699571                4646.953818015525030               28532.121079103748343
 12                 208.808158351188496                 427.646266808264102                  25.220732578308340                2343.692561983470569               10440.407917559425186
 13                1421.343999999995503                2993.855045473706468                 193.399999999999949                9301.933333333292467               71067.199999999778811
 14                 235.874439999999822                 458.767872339079872                  39.945333333333323                1864.143999999999323               11793.721999999990658
 15                 455.656447999999898                 487.653135009930338                 415.146666666666363                2334.186666666668771               22782.822399999993650
 16                 337.505337220602371                 611.557051868117924                 190.916836734693703                2856.600000000002183               16875.266861030118889
 17                 861.347555555552958                2682.537805286367075                  22.874074074074063               14262.399999999965075               43067.377777777648589
 18                 750.358378666665431                1941.573327576636075                  31.935466666666663               12370.559999999988577               37517.918933333268797
 19                 196.777876543209970                 871.113927723248707                  16.513580246913577                5161.600000000003092                9838.893827160498404
 20                 601.240888888887184                1129.602090123848029                  45.316049382716045                5412.375308641981064               30062.044444444360124
 21                 319.043888888888432                 558.302522462229263                  48.831481481481461                2286.537037037036498               15952.194444444421606
 22                 200.178172839506146                 480.588828724702921                  20.617283950617278                2574.577777777778465               10008.908641975307546
 23                 263.517590855997923                 519.856631370911600                   2.370227898822939                1872.953018181814514               13175.879542799895717
 24                 212.171916630603107                 283.900072973499960                  44.012566812439111                 812.249181547619969               10608.595831530155920
 25                 197.149955767876804                 332.687330634936814                  65.513417959776405                1384.487394957982815                9857.497788393840892
 26                 632.234666666665476                 883.755883361460860                 324.133333333333269                3594.133333333335031               31611.733333333275368
 27                 291.884573452254983                 523.787705702767425                  44.237120685311162                2219.034285714286852               14594.228672612749506
 28                 467.651376919752579                 678.863001008035326                 285.351699999999141                2839.590000000002874               23382.568845987629174
 29                 352.187072000000057                 663.866316326568494                 138.399999999999608                3371.519999999997708               17609.353600000002189
 30                 305.705464562985242                 530.506792819646648                  85.527272727272674                1766.400000000001910               15285.273228149260831
 31                 516.707256493826094                1073.515740050272825                 259.430755555554356                5410.559999999991305               25835.362824691306741
 32                 575.963666666665176                1035.574915744282634                   9.666666666666663                4188.000000000003638               28798.183333333261544
 33                1011.623901234565437                1359.744924481412227                 653.076543209876377                6261.511111111106402               50581.195061728270957
 34                2036.125879806125113                2119.805181366498800                2736.253353086415245                9314.215828074960882              101806.293990306250635
 35                 258.823875793028662                 347.171854045741497                  45.093633117831686                1019.158879392213180               12941.193789651433690
 36                 778.983372279981268                 868.912559088761782                 648.600988746439157                5487.236041025634222               38949.168613999063382
 37                1391.177141975303812                1716.594379095851764                1813.370138888884412               11102.774999999981446               69558.857098765191040
 38                 252.097810013716924                 885.257520167990720                  69.632716049382751                6160.656515775014668               12604.890500685845836
 39                 375.861355370209651                 308.899924758266934                 258.950811627387964                1177.074376036526246               18793.067768510481983
 40                 945.006456790122570                1548.330080349048330                 605.335802469136411                8317.549999999981083               47250.322839506130549
 41                 261.622784636488518                 492.321552534506509                  49.777160493827111                2417.014814814815963               13081.139231824425224
 42                 464.887644531249407                1403.385600560237663                  31.258333333333255                8439.024316406219441               23244.382226562469441
 43                 307.819405432098620                 451.820573353978830                   9.451614814814825                1525.091555555554123               15390.970271604930531
 44                 248.182649980084904                 306.948399854632100                  20.101144349550406                 941.309090909091765               12409.132499004244892
 45                 248.767059984080845                 429.331736925612290                 184.480555555555583                1805.866666666667015               12438.352999204042135
 46                 673.525907407407544                 487.099434715110419                 520.900000000000205                3465.770138888879501               33676.295370370375167
 47                 544.187590486421186                 412.855105807647988                 454.720334516764922                1837.586461538460298               27209.379524321058852
 48                 643.203987654320713                 954.965786725195812                 370.559259259259306                5726.900000000003274               32160.199382716033142
 49                 245.207495506172847                 551.897950828794706                  58.011575308642001                3840.320000000000164               12260.374775308642711
