# Score (population vs teach set)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 204.885999999999882                 243.694297096450725                 150.833333333333314                1083.499999999998181               10244.299999999993815
  1                 153.614666666666466                 301.301195421900331                  44.333333333333329                1199.533333333328301                7680.733333333322662
  2                 191.884333333333444                 325.046426605492968                  54.666666666666657                1336.100000000001273                9594.216666666672609
  3                 196.662333333333123                 305.048219153955642                  42.833333333333336                1127.099999999999909                9833.116666666655874
  4                 171.527999999999849                 300.763107323871623                  38.666666666666671                1012.266666666663241                8576.399999999992360
  5                 395.778666666666254                 418.267281572175079                 281.333333333333314                1854.399999999993952               19788.933333333312476
  6                 491.723999999999307                 732.248486301381604                  33.666666666666664                2109.600000000001728               24586.199999999964348
  7                 415.938666666666563                 579.851919616264468                  38.666666666666671                2313.600000000002638               20796.933333333327028
  8                 500.573333333333210                 867.632679779998966                  52.666666666666643                4155.599999999999454               25028.666666666660603
  9                 183.600000000000023                 379.653381096201429                  57.333333333333329                1890.000000000000455                9180.000000000001819
 10                 275.671999999999855                 529.523882049189979                  42.399999999999984                2210.199999999998454               13783.599999999993088
 11                 263.867999999999938                 337.614842548921786                  58.199999999999989                 974.033333333333417               13193.399999999995998
 12                 303.615666666666414                 344.882506763131971                 222.666666666666686                1723.949999999996180               15180.783333333320115
 13                 209.230666666665996                 382.227201127518754                  52.599999999999980                1180.533333333328073               10461.533333333300106
 14                 333.823999999999558                 443.137067084213811                 161.066666666666663                1760.799999999995180               16691.199999999978900
 15                 416.570666666666000                 412.979228567786322                  76.466666666666669                1190.333333333334622               20828.533333333300106
 16                 846.602666666665414                 834.588472903860747                1020.000000000000000                2679.799999999997453               42330.133333333273185
 17                 591.687999999998510                1160.082897761282766                  77.199999999999974                5348.399999999986903               29584.399999999925058
 18                 510.410666666665918                 914.234464491466042                  67.066666666666649                4304.399999999997817               25520.533333333296468
 19                 136.509333333333416                 321.772248719839581                  55.733333333333334                1935.600000000001728                6825.466666666670790
 20                 296.054666666665810                 470.206178831748275                  63.799999999999990                1458.666666666659012               14802.733333333291739
 21                 218.171333333332910                 324.519715922878959                  60.916666666666664                1061.866666666662923               10908.566666666645688
 22                 251.081333333333106                 395.169184873741415                  84.533333333333303                1771.399999999997362               12554.066666666654783
 23                 473.890666666666391                 651.811748386840577                  56.666666666666657                2626.199999999995271               23694.533333333318296
 24                 762.022999999998433                 620.415733421190794                1060.683333333333167                1845.266666666668016               38101.149999999921420
 25                 447.135333333332824                 341.566566355015652                 532.716666666667038                1270.099999999997635               22356.766666666640958
 26                 217.981333333332685                 382.397892146676384                  51.599999999999973                1132.533333333328528               10899.066666666634774
 27                 494.209333333332609                 522.131743072569179                 278.416666666666686                1948.449999999999363               24710.466666666630772
 28                 981.584666666664248                 849.592276773849335                 916.249999999998636                2117.099999999994907               49079.233333333213523
 29                1094.823999999997568                1033.075341794583437                1662.000000000000455                4214.399999999997817               54741.199999999880674
 30                 917.586666666665792                 900.430771081879698                1293.599999999998772                2428.800000000002910               45879.333333333292103
 31                 854.193333333331225                 904.510165608371949                1027.866666666667243                3528.599999999994907               42709.666666666562378
 32                 821.133333333330256                1010.040686793245186                  77.333333333333300                2238.399999999990087               41056.666666666511446
 33                 932.086666666663973                 928.558250024673384                 783.199999999998795                2905.399999999997362               46604.333333333197515
 34                 387.148999999999887                 323.440100266047125                 542.949999999999818                1342.799999999996089               19357.449999999993452
 35                 848.037666666665473                 558.994552794071296                 997.116666666663377                1964.100000000000819               42401.883333333273185
 36                 864.787666666664904                 625.427066480797635                 933.333333333330529                2322.583333333332575               43239.383333333244082
 37                 755.033666666664772                 639.931781967506936                1061.099999999997635                3041.749999999994998               37751.683333333239716
 38                 404.274666666666008                 449.756709816415878                 428.216666666666924                3105.999999999990450               20213.733333333300834
 39                 827.022333333332199                 559.773960328928410                1001.633333333333439                2380.099999999998545               41351.116666666610399
 40                 292.797666666666146                 363.317050537435591                 136.533333333333417                1714.199999999997999               14639.883333333307746
 41                 544.027333333332763                 433.836636058115346                 680.650000000000432                1871.066666666662059               27201.366666666635865
 42                 759.799999999998590                 741.611410773112311                 774.933333333331120                4231.949999999984357               37989.999999999927240
 43                 743.305666666665957                 819.558198079982844                 262.400000000000318                3110.799999999985630               37165.283333333296468
 44                 853.281333333332896                 804.167964024100343                1034.399999999999864                2528.400000000001910               42664.066666666643869
 45                 632.539999999999964                 562.300104807625075                 660.200000000000045                2316.599999999998545               31626.999999999996362
 46                 505.506999999999437                 381.388652122301892                 330.899999999999125                1183.050000000001546               25275.349999999973079
 47                 665.461666666666019                 482.495221936618009                 809.099999999998772                1650.266666666668243               33273.083333333299379
 48                 304.664666666666506                 427.733442573759476                 133.283333333333388                2119.500000000000909               15233.233333333324481
 49                 413.614666666666551                 406.199060842505162                 160.666666666666799                1413.000000000000455               20680.733333333326300
