# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 483.005333333333738                 456.044376951776371                 350.800000000000011                1635.200000000002319               24150.266666666688252
  1                 352.625666666667030                 376.990620340289070                 262.500000000000000                2025.400000000002365               17631.283333333351038
  2                 403.514000000000351                 434.560991197630642                 262.500000000000000                2171.600000000002638               20175.700000000018917
  3                 397.046320987654667                 419.297471524356297                 243.733333333333348                1827.600000000002638               19852.316049382734491
  4                 356.369777777778097                 407.410781404528564                 204.444444444444457                1749.600000000002183               17818.488888888903602
  5                 456.283666666667102                 453.677987190254328                 295.000000000000000                2238.000000000002728               22814.183333333356131
  6                 500.751625000000615                 420.785144617924061                 275.777083333333394                1560.300000000001774               25037.581250000032014
  7                 200.338510416666935                 275.036944019528789                 172.087500000000205                1775.850000000001955               10016.925520833347036
  8                 560.800166666667337                 410.583995568491048                 684.675000000000864                1613.500000000002274               28040.008333333364135
  9                 188.948650666666936                 305.940077737482227                 175.282666666666870                1982.760000000002492                9447.432533333347237
 10                 201.780950617284219                 267.479316105663258                 186.644444444444673                1657.000000000001592               10089.047530864210785
 11                 521.675283950617882                 391.326470385496862                 649.300000000000750                1425.400000000002137               26083.764197530894307
 12                 497.932151603499165                 379.797819055892489                 658.204081632653924                1222.228571428573105               24896.607580174957548
 13                 205.979750000000308                 314.926363252090596                 207.975000000000250                2047.500000000002501               10298.987500000015643
 14                 602.132543209877099                 382.716342423286164                 739.288888888889915                1703.600000000002183               30106.627160493855627
 15                 524.391802469136337                 421.975733034466316                 728.622222222223172                1784.400000000002365               26219.590123456815490
 16                 663.747000000000867                 432.485560050404104                 809.400000000001000                2207.800000000002910               33187.350000000042201
 17                 551.355958333334002                 385.146477734719156                 691.350000000000932                1603.800000000002228               27567.797916666699166
 18                 568.122580246914140                 380.885212613492854                 675.466666666667493                1380.800000000002001               28406.129012345707451
 19                 545.172246913580921                 402.092670423885522                 708.888888888889710                1826.800000000002456               27258.612345679048303
 20                 224.661530864197800                 276.502222698164985                 227.966666666666924                1498.777777777779647               11233.076543209890588
 21                 609.741135802470012                 383.033811610557279                 742.666666666667652                1644.400000000001910               30487.056790123500832
 22                 192.133770666666891                 296.575314322426209                 172.685333333333546                1894.800000000002228                9606.688533333344822
 23                 245.796333333333592                 384.204793455695608                 180.116666666666873                2665.200000000003456               12289.816666666680248
 24                 126.355997234568022                 275.235098636661576                  23.783111111111129                1514.720000000001619                6317.799861728401083
 25                 431.958024691358560                 406.955276805598373                 189.866666666666788                1759.600000000002183               21597.901234567929350
 26                 216.059666666666971                 306.978720491068486                  85.599999999999994                1607.200000000001864               10802.983333333348128
 27                 532.961813333334021                 398.179846171814575                 690.208000000000879                1456.560000000002219               26648.090666666699690
 28                 220.589541333333557                 279.590976331199840                 205.980000000000274                1820.640000000002146               11029.477066666677274
 29                 764.918666666667832                 344.133922811067350                 858.400000000001114                2138.600000000002638               38245.933333333392511
 30                 635.819950617284690                 379.728275504366025                 751.022222222223149                1763.200000000002547               31790.997530864235159
 31                 604.609580246914220                 410.803957115340836                 750.493827160494789                1784.400000000002365               30230.479012345709634
 32                 300.699666666667099                 298.328164843311413                 323.800000000000409                1607.200000000001864               15034.983333333355404
 33                 248.987172839506457                 290.612327744203753                 233.933333333333621                1663.622222222224309               12449.358641975322826
 34                 654.992790123457439                 376.795051699188548                 759.555555555556566                1861.200000000002774               32749.639506172872643
 35                 660.106469135803536                 382.337158261455272                 767.288888888889915                1930.000000000002728               33005.323456790174532
 36                 748.091333333334092                 399.926683881489623                 887.100000000001160                2037.600000000002410               37404.566666666702076
 37                 698.057580246914767                 363.134966850446972                 784.622222222223172                1871.600000000002638               34902.879012345736555
 38                1097.258666666667523                 526.968864632016448                1386.400000000001910                1679.200000000002547               54862.933333333377959
 39                 889.498666666667418                 579.333439852695278                 704.800000000000637                1808.800000000002683               44474.933333333370683
 40                 563.755851851852526                 388.508524927790859                 695.155555555556361                1759.600000000002183               28187.792592592628353
 41                 591.692000000000576                 427.708757531727201                 676.500000000000909                2234.400000000002819               29584.600000000031287
 42                 549.785580246914037                 396.073973094660971                 681.244444444445207                1809.200000000002319               27489.279012345701631
 43                 565.188246913580770                 395.175778579293137                 744.622222222223172                1678.000000000002274               28259.412345679040300
 44                 237.328333333333603                 391.531489016741773                 181.200000000000216                2744.400000000003274               11866.416666666680612
 45                 565.710123456790825                 402.254012334118329                 657.822222222222990                1817.200000000002547               28285.506172839541250
 46                 592.418250000000853                 393.067075919584852                 695.325000000000841                1699.800000000002456               29620.912500000042201
 47                 208.191509333333670                 316.274220514039769                 170.802400000000233                2054.760000000002947               10409.575466666683496
 48                 211.864066666666957                 302.026405580541166                 190.044000000000239                1962.600000000002638               10593.203333333347473
 49                 570.768493827161251                 409.230929174288576                 718.266666666667561                1778.800000000002456               28538.424691358060954
