# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 241.502666666666869                 228.022188475888186                 175.400000000000006                 817.600000000001160               12075.133333333344126
  1                 289.134666666666988                 305.695263363152151                 210.000000000000000                1619.000000000001819               14456.733333333348128
  2                 322.825333333333788                 350.808740519516107                 187.466666666666669                1759.000000000002046               16141.266666666688252
  3                 367.810666666667032                 411.324724785121646                 181.866666666666646                1854.200000000002547               18390.533333333351038
  4                 328.818666666667070                 393.192269176855632                 158.800000000000125                1759.200000000002092               16440.933333333352493
  5                 369.080000000000211                 364.270591974946797                 236.000000000000000                1795.200000000002092               18454.000000000010914
  6                 457.016000000000474                 433.882927898503851                 250.000000000000000                1780.000000000002274               22850.800000000024738
  7                 637.114666666667404                 598.382295941316329                 621.600000000000819                2839.200000000003456               31855.733333333369956
  8                 538.501333333334060                 432.745921706696379                 644.400000000000773                1802.200000000002319               26925.066666666705714
  9                 507.662666666667349                 523.317873471861958                 416.066666666667118                2803.200000000003456               25383.133333333367773
 10                 607.322666666667260                 531.203892616260305                 526.000000000000455                2487.000000000002728               30366.133333333360497
 11                 547.837333333333959                 492.842520019890571                 608.000000000000682                1853.800000000002456               27391.866666666697711
 12                 559.276000000000522                 509.657049660303585                 621.600000000000819                1757.400000000002137               27963.800000000028376
 13                 547.682666666667274                 489.019500190148619                 654.000000000000796                2659.200000000003456               27384.133333333364135
 14                 543.378666666667527                 367.538954292830169                 660.000000000000909                1734.200000000002092               27168.933333333374321
 15                 475.580000000000609                 405.334926148186753                 621.600000000000819                1815.800000000002456               23779.000000000029104
 16                 534.197333333333972                 349.892148198079781                 662.200000000000728                1815.800000000002456               26709.866666666701349
 17                 525.834666666667204                 417.740807304136354                 618.800000000000637                1805.400000000002365               26291.733333333362680
 18                 587.845333333334111                 475.762096185805603                 642.000000000000796                1805.400000000002365               29392.266666666702804
 19                 465.198666666667350                 378.818889236884672                 428.266666666667220                1805.400000000002365               23259.933333333367045
 20                 544.732000000000539                 412.449950092803419                 626.400000000000773                1807.400000000002365               27236.600000000027649
 21                 554.081333333333987                 372.061754561136638                 626.000000000000682                1743.000000000002046               27704.066666666698438
 22                 537.498666666667305                 517.627296075726008                 398.933333333333735                2665.200000000003456               26874.933333333367045
 23                 458.733333333333860                 448.142504121178604                 387.066666666667118                2665.200000000003456               22936.666666666693345
 24                 490.708000000000766                 584.137209587687266                 184.000000000000000                2839.200000000003456               24535.400000000037835
 25                 380.017333333333681                 382.967483577044334                 243.200000000000102                1829.400000000002365               19000.866666666683159
 26                 409.318666666666957                 391.737159792975376                 196.999999999999972                1822.400000000002137               20465.933333333348855
 27                 524.833333333334167                 458.258245922052254                 556.600000000000819                1939.800000000002910               26241.666666666707897
 28                 622.997333333333927                 489.559152972913125                 693.200000000000955                2645.400000000003274               31149.866666666694073
 29                 605.237333333333936                 276.537308605307203                 687.200000000000955                1720.600000000002183               30261.866666666694073
 30                 568.140000000000782                 367.253268285888794                 626.000000000000682                1816.400000000002365               28407.000000000040018
 31                 542.586666666667270                 391.839187422596183                 672.200000000000955                1835.000000000002501               27129.333333333361225
 32                 559.638666666667405                 367.554567641021379                 647.600000000000819                1822.400000000002137               27981.933333333370683
 33                 610.625333333334083                 409.016507765749452                 655.200000000000841                2049.400000000002819               30531.266666666706442
 34                 561.696000000000595                 358.333986767776878                 618.800000000000637                1844.600000000002638               28084.800000000032014
 35                 591.560000000000400                 387.524902024230357                 675.200000000000841                1958.200000000002547               29578.000000000021828
 36                 588.266666666667220                 325.304861049174121                 706.800000000000864                1709.400000000001910               29413.333333333361225
 37                 624.678666666667368                 346.282093531335761                 702.400000000001000                1825.000000000002274               31233.933333333367045
 38                 548.629333333333761                 263.484432316008224                 693.200000000000955                 839.600000000001273               27431.466666666688980
 39                 444.749333333333709                 289.666719926347639                 352.400000000000318                 904.400000000001342               22237.466666666685342
 40                 506.949333333333868                 375.158751478180307                 625.600000000000819                1829.400000000002365               25347.466666666692618
 41                 474.981333333333851                 340.586578463294245                 563.200000000000614                1829.400000000002365               23749.066666666691162
 42                 494.596000000000629                 378.807215796578873                 607.600000000000705                1802.200000000002092               24729.800000000032014
 43                 504.972000000000548                 373.015811899591540                 631.600000000000819                1666.200000000002092               25248.600000000027649
 44                 440.597333333333950                 442.782756255631398                 394.600000000000477                2744.400000000003274               22029.866666666697711
 45                 495.281333333333976                 381.566887985725941                 574.600000000000591                1810.600000000002410               24764.066666666698438
 46                 569.868000000000734                 434.082988991225193                 631.800000000000637                2026.200000000002547               28493.400000000037835
 47                 579.465333333333888                 538.112582436055732                 597.600000000000591                2875.200000000003456               28973.266666666695528
 48                 590.142666666667310                 510.727314416085846                 612.800000000000750                2731.200000000003456               29507.133333333364135
 49                 514.790666666667335                 382.686365348963534                 609.800000000000637                1800.600000000002183               25739.533333333365590
