# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1791.844000000001415                1410.475245915993582                1516.166666666667879                6998.000000000008185               89592.200000000069849
  1                 683.681333333333782                1365.708682539095207                 420.000000000000000                9614.400000000010550               34184.066666666687524
  2                 770.298666666667145                1613.103287303494653                 484.000000000000000               11448.000000000014552               38514.933333333356131
  3                 941.362666666667337                1187.954411183639650                 546.399999999999977                7996.800000000003820               47068.133333333367773
  4                 283.513000000000261                 736.156746990059787                   1.179166666666666                2478.000000000002274               14175.650000000014188
  5                 346.703334666667047                 716.970881083833774                  98.131999999999977                2971.568000000002939               17335.166733333353477
  6                2321.010048000002371                1760.733608933410778                1579.029333333333398                6361.120000000008986              116050.502400000113994
  7                1066.316845308366737                1861.695487416085371                 928.915360607911680               13261.023529411777417               53315.842265418337774
  8                3878.165333333336093                2735.881165263338971                4435.200000000004366                9628.800000000001091              193908.266666666808305
  9                2027.488000000002103                1508.153212303687724                1737.422222222223127                6132.800000000006548              101374.400000000110595
 10                3765.114666666670018                1554.920576351948512                4097.333333333338487                6796.000000000010004              188255.733333333511837
 11                3328.800000000003365                1350.348655158694328                3619.200000000003456                6475.200000000008004              166440.000000000174623
 12                3277.024000000003070                1685.647208206723008                3472.000000000002274                6288.000000000009095              163851.200000000157161
 13                3684.394666666670673                1674.554352276187046                3822.400000000003274                6652.800000000010186              184219.733333333540941
 14                4050.197333333336246                1682.714974106365389                4340.800000000004729                7132.800000000010186              202509.866666666814126
 15                3493.994666666670128                1530.676015990032738                3356.800000000002910                6652.800000000010186              174699.733333333511837
 16                3945.877333333339266                1732.515546127976449                3964.800000000003820                7649.600000000002183              197293.866666666959645
 17                3850.421333333337770                1914.703533788051118                4080.000000000002728                9031.999999999989086              192521.066666666883975
 18                4074.346666666670899                1439.138930703590859                4168.000000000004547                7760.000000000010914              203717.333333333546761
 19                1994.295758989312162                1002.137513176551579                2200.489795918369964                4441.273469387760088               99714.787949465608108
 20                3853.778666666671597                1504.679987561181406                3600.000000000002728                7622.400000000003274              192688.933333333581686
 21                4280.248000000005959                1550.961784702357363                4697.600000000005821                6839.600000000011278              214012.400000000314321
 22                4158.133333333336850                1590.876692253540114                4382.400000000004184                6880.000000000010914              207906.666666666831588
 23                4373.418666666671925                1698.135468541373484                4560.000000000005457                6920.000000000009095              218670.933333333581686
 24                4090.773333333336723                1882.761228975502263                4246.400000000004184                7849.599999999998545              204538.666666666831588
 25                2551.670222222225220                1157.017871192562325                2408.222222222225810                5935.200000000009823              127583.511111111263745
 26                 330.222320326530848                 589.976422351086853                 109.440000000000097                2423.280000000002019               16511.116016326541285
 27                3169.696000000003096                2285.558961874804481                3065.600000000003547                8019.200000000001637              158484.800000000162981
 28                4159.829333333336763                2419.728432445263479                4686.400000000005093                8019.200000000001637              207991.466666666849051
 29                4382.709333333337781                1866.173301932656159                5006.400000000005093                7328.000000000008185              219135.466666666907258
 30                4144.928000000005341                2309.114155720619237                4916.800000000004729                8092.800000000004729              207246.400000000256114
 31                2359.196444444447025                1580.187328962779929                2811.200000000003456                6627.200000000008913              117959.822222222341225
 32                2931.037013333336745                1605.696276562140838                2656.512000000003354                6606.240000000010696              146551.850666666839970
 33                4264.896000000004278                1765.802177225726382                4236.800000000004729                8598.399999999999636              213244.800000000221189
 34                3665.002666666669938                1235.648112797312251                3642.400000000004184                5729.600000000007640              183250.133333333506016
 35                 394.725165066301315                 601.404487744597986                 244.306172839506416                4165.333333333338487               19736.258253315067122
 36                2263.646074074076751                1131.827415064195748                2467.429629629632927                5728.799999999999272              113182.303703703830251
 37                4674.634666666672274                2017.487902350734885                5318.400000000006003                7456.800000000012005              233731.733333333599148
 38                2607.582222222225028                1413.189856169457244                3150.933333333336577                6235.200000000007094              130379.111111111255013
 39                 874.354901234569297                 838.999939694678687                 791.122222222223058                5320.488888888896327               43717.745061728463043
 40                3617.053333333335559                1636.972787284846163                3396.800000000002001                7204.400000000006912              180852.666666666773381
 41                4204.853333333338014                1778.935181730917293                3808.000000000004547                7516.800000000010186              210242.666666666918900
 42                2329.869333333334453                1659.272016542731535                2158.400000000001455                9747.200000000011642              116493.466666666718083
 43                3427.262336000005234                1511.938862882661169                3803.392000000003918                7930.656000000001768              171363.116800000250805
 44                3298.165333333336093                1760.357905944257936                3225.066666666669789                8208.000000000009095              164908.266666666808305
 45                3847.040000000002237                2095.488089480722010                3323.200000000004366                8235.200000000002547              192352.000000000116415
 46                3587.416000000003805                1610.849581642352632                3422.400000000001910                7200.000000000010004              179370.800000000192085
 47                4174.336000000004788                1925.614099240265887                4505.600000000004002                8281.600000000007640              208716.800000000250293
 48                4081.034666666671455                2062.339859231743958                4076.800000000004729               10470.399999999994179              204051.733333333570044
 49                3884.405333333337239                1599.759860414614195                4153.600000000004002                7747.200000000008004              194220.266666666866513
