# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 242.239666666666807                 200.725014659082746                 200.250000000000000                1012.750000000001137               12111.983333333340852
  1                 311.693333333333612                 378.308320112929891                 210.000000000000000                2403.600000000002638               15584.666666666680612
  2                 344.866666666666845                 437.446183204289241                 242.000000000000000                2862.000000000003638               17243.333333333343035
  3                 441.058666666666909                 376.591519026473748                 273.199999999999989                1999.200000000000955               22052.933333333345217
  4                 401.456000000000358                 718.768430563774928                  75.466666666666640                2478.000000000002274               20072.800000000017462
  5                 439.545333333333701                 464.917834879813938                 259.200000000000045                1773.400000000002365               21977.266666666684614
  6                 397.003333333333728                 327.096357074045443                 238.000000000000000                1301.300000000001774               19850.166666666686069
  7                 557.871000000000663                 557.651295024349338                 505.200000000000387                3570.300000000003365               27893.550000000032014
  8                 484.770666666667012                 341.985145657917371                 554.400000000000546                1203.600000000000136               24238.533333333351038
  9                 481.537333333333720                 308.049764929124933                 401.400000000000546                1583.000000000001819               24076.866666666686797
 10                 470.639333333333752                 194.365072043993564                 512.166666666667311                 849.500000000001251               23531.966666666688980
 11                 416.100000000000421                 168.793581894836791                 452.400000000000432                 809.400000000001000               20805.000000000021828
 12                 409.628000000000384                 210.705901025840376                 434.000000000000284                 786.000000000001137               20481.400000000019645
 13                 460.549333333333834                 209.319294034523381                 477.800000000000409                 831.600000000001273               23027.466666666692618
 14                 506.274666666667031                 210.339371763295674                 542.600000000000591                 891.600000000001273               25313.733333333351766
 15                 436.749333333333766                 191.334501998754092                 419.600000000000364                 831.600000000001273               21837.466666666688980
 16                 493.234666666667408                 216.564443265997056                 495.600000000000477                 956.200000000000273               24661.733333333369956
 17                 481.302666666667221                 239.337941723506390                 510.000000000000341                1128.999999999998636               24065.133333333360497
 18                 509.293333333333862                 179.892366337948857                 521.000000000000568                 970.000000000001364               25464.666666666693345
 19                 548.454666666667208                 250.289030678977952                 582.666666666667538                1280.200000000000728               27422.733333333362680
 20                 481.722333333333950                 188.084998445147676                 450.000000000000341                 952.800000000000409               24086.116666666697711
 21                 535.031000000000745                 193.870223087794670                 587.200000000000728                 854.950000000001410               26751.550000000039290
 22                 519.766666666667106                 198.859586531692514                 547.800000000000523                 860.000000000001364               25988.333333333353949
 23                 546.677333333333991                 212.266933567671686                 570.000000000000682                 865.000000000001137               27333.866666666697711
 24                 511.346666666667090                 235.345153621937783                 530.800000000000523                 981.199999999999818               25567.333333333353949
 25                 663.216000000000918                 427.645986002441759                 571.600000000000591                2032.400000000003047               33160.800000000046566
 26                 730.348000000000752                 419.323589349429312                 601.750000000000682                2010.150000000001455               36517.400000000037835
 27                 396.212000000000387                 285.694870234350560                 383.200000000000443                1002.400000000000205               19810.600000000020373
 28                 519.978666666667095                 302.466054055657935                 585.800000000000637                1002.400000000000205               25998.933333333356131
 29                 547.838666666667223                 233.271662741582020                 625.800000000000637                 916.000000000001023               27391.933333333363407
 30                 518.116000000000668                 288.639269465077405                 614.600000000000591                1011.600000000000591               25905.800000000032014
 31                 515.234666666667181                 300.729511906556581                 510.200000000000500                1639.200000000001637               25761.733333333359042
 32                 499.434666666667169                 288.531304980548043                 495.000000000000341                1409.700000000002092               24971.733333333359042
 33                 533.112000000000535                 220.725272153215798                 529.600000000000591                1074.799999999999955               26655.600000000027649
 34                 458.125333333333742                 154.456014099664031                 455.300000000000523                 716.200000000000955               22906.266666666688252
 35                 570.858666666667091                 353.352713843327763                 519.200000000000500                1941.600000000002183               28542.933333333356131
 36                 556.312333333333640                 299.837100083992198                 483.200000000000443                1790.000000000001592               27815.616666666679521
 37                 584.329333333334034                 252.185987793841861                 664.800000000000750                 932.100000000001501               29216.466666666699894
 38                 520.404666666667140                 272.407891956978006                 541.200000000000500                1603.050000000001319               26020.233333333359042
 39                 580.206666666667275                 297.927812584040851                 599.600000000000705                1651.150000000002365               29010.333333333364862
 40                 452.131666666666945                 204.621598410605770                 424.600000000000250                 900.550000000000864               22606.583333333346673
 41                 525.606666666667252                 222.366897716364662                 476.000000000000568                 939.600000000001273               26280.333333333364862
 42                 449.858666666667148                 292.912118072602084                 438.800000000000523                1922.800000000002001               22492.933333333356131
 43                 499.566000000000429                 223.215391592963726                 539.600000000000591                1091.700000000000273               24978.300000000021100
 44                 412.270666666667012                 220.044738243032242                 403.133333333333724                1026.000000000001137               20613.533333333351038
 45                 480.880000000000280                 261.936011185090251                 415.400000000000546                1029.400000000000318               24044.000000000014552
 46                 448.427000000000476                 201.356197705294079                 427.800000000000239                 900.000000000001251               22421.350000000024011
 47                 521.792000000000598                 240.701762405033236                 563.200000000000500                1035.200000000000955               26089.600000000031287
 48                 510.129333333333932                 257.792482403967995                 509.600000000000591                1308.799999999999272               25506.466666666696256
 49                 485.550666666667155                 199.969982551826774                 519.200000000000500                 968.400000000001000               24277.533333333358314
