# Fitness (teach set vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1160.747839506170976                 929.590806152108371                 712.099382716047444                3245.327777777779374                9285.982716049367809
  1                1374.180468749997544                1919.654571876547152                1449.099999999996498                6183.393749999991996               10993.443749999980355
  2                1975.065066666662005                1883.414933333328918                3858.479999999991378                3858.479999999991378               15800.520533333296044
  3                1670.817599999998947                 372.913599999998496                2043.731199999997443                2043.731199999997443               13366.540799999991577
  4                1266.260947341895871                1399.011644974018282                 927.720634920634666                3641.278004535131458               10130.087578735166971
  5                2097.032812499994179                1720.787549111518047                3781.056249999998727                3826.299999999984266               16776.262499999953434
  6                2085.658666666662157                1477.674666666661778                3563.333333333323935                3563.333333333323935               16685.269333333297254
  7                2074.061866666661899                1489.271466666661581                3563.333333333323935                3563.333333333323935               16592.494933333295194
  8                1335.017792578195667                 489.431732216412797                1636.061375661374996                1636.061375661374996               10680.142340625565339
  9                2040.728533333328869                1817.751466666662282                3858.479999999991378                3858.479999999991378               16325.828266666630952
 10                2731.002666666661298                1127.477333333330080                3858.479999999991378                3858.479999999991378               21848.021333333290386
 11                1987.361066666662282                1871.118933333329096                3858.479999999991378                3858.479999999991378               15898.888533333298255
 12                3126.063999999996213                 732.415999999995734                3858.479999999991378                3858.479999999991378               25008.511999999969703
 13                2059.767999999995936                1798.711999999995442                3858.479999999991378                3858.479999999991378               16478.143999999967491
 14                1359.750216666666574                 417.854735863320059                1665.297750000000406                1665.297750000000406               10878.001733333332595
 15                 653.223456790123691                 765.925081280229165                 248.128395061728526                1977.599999999999909                5225.787654320989532
 16                1244.266666666668016                   0.000000000000000                1244.266666666668016                1244.266666666668016                9954.133333333344126
 17                 748.563733333334085                 273.089600000000303                1021.653333333334331                1021.653333333334331                5988.509866666672679
 18                 824.957433333334393                 458.309343250972006                1040.463333333334731                1600.222933333335050                6599.659466666675144
 19                1705.916266666664342                 408.012266666663891                2113.928533333328232                2113.928533333328232               13647.330133333314734
 20                 755.016000000000190                 136.450666666666393                 891.466666666666583                 891.466666666666583                6040.128000000001521
 21                 689.914133333334007                 331.739200000000380                1021.653333333334331                1021.653333333334331                5519.313066666672057
 22                 781.300800000000322                 323.259199999999908                1104.560000000000173                1104.560000000000173                6250.406400000002577
 23                 752.228800000000547                 448.304533333333666                1200.533333333334213                1200.533333333334213                6017.830400000004374
 24                1226.999999999998863                 693.666666666665151                1920.666666666663787                1920.666666666663787                9815.999999999990905
 25                2246.269333333329087                1574.514666666661697                3820.783999999991011                3820.783999999991011               17970.154666666632693
 26                1316.552666666666937                 348.488590464237632                1665.008000000000266                1665.008000000000266               10532.421333333335497
 27                 804.533333333333871                   0.000000000000114                 804.533333333333985                 804.533333333333985                6436.266666666670972
 28                1434.186666666665587                 417.039999999998088                1851.226666666663732                1851.226666666663732               11473.493333333324699
 29                2772.910933333329012                1047.873066666661771                3820.783999999991011                3820.783999999991011               22183.287466666632099
 30                1195.805787037036907                 815.324710323822842                 743.022222222223036                2219.518518518518249                9566.446296296295259
 31                1306.857021604938836                1232.604696594333518                1134.687654320988941                3187.607407407406754               10454.856172839510691
 32                1625.236188271605215                1733.873189164087989                1176.800000000001546                6182.975925925918091               13001.889506172841720
 33                 849.063281250000955                 672.194994426183825                 345.400000000000318                1716.200000000002092                6792.506250000007640
 34                 751.441066666667325                 276.183466666667300                1027.624533333334739                1027.624533333334739                6011.528533333338601
 35                2025.892266666662636                1832.587733333328970                3858.479999999991378                3858.479999999991378               16207.138133333301084
 36                1285.475200000000314                 379.532799999999781                1665.008000000000266                1665.008000000000266               10283.801600000002509
 37                 940.611033950617752                 812.537283693986296                 628.479166666667197                3048.387037037037771                7524.888271604942020
 38                 691.200000000000614                   0.000000000000114                 691.200000000000500                 691.200000000000500                5529.600000000004911
 39                1139.066666666665469                 781.599999999998431                1920.666666666663787                1920.666666666663787                9112.533333333323753
 40                2279.886399999995774                1540.897599999994782                3820.783999999991011                3820.783999999991011               18239.091199999966193
 41                 786.369066666667095                 464.564266666666981                1250.933333333334303                1250.933333333334303                6290.952533333336760
 42                 735.400000000000432                  44.200000000000045                 779.600000000000591                 779.600000000000591                5883.200000000003456
 43                 829.466666666667152                   0.000000000000000                 829.466666666667152                 829.466666666667152                6635.733333333337214
 44                 648.925333333333811                 307.154666666667026                 956.080000000000837                 956.080000000000837                5191.402666666670484
 45                2247.713599999996404                1573.070399999995061                3820.783999999991011                3820.783999999991011               17981.708799999971234
 46                1270.955733333333683                 394.052266666666469                1665.008000000000266                1665.008000000000266               10167.645866666669463
 47                 676.098333333333699                 549.271193893933514                 888.600000000000819                1874.293333333334431                5408.786666666669589
 48                 686.857600000000730                 285.302400000000318                 972.160000000000878                 972.160000000000878                5494.860800000005838
 49                 352.600000000000136                  43.800000000000097                 396.400000000000205                 396.400000000000205                2820.800000000001091
 50                 730.339062500000296                 530.637855086307582                 338.883333333333439                1414.300000000000864                5842.712500000002365
