# Score (teach set vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1084.791666666664469                 675.066177568704347                 842.566666666664787                2539.499999999998181                8678.333333333315750
  1                 884.199999999998226                 838.847313281742686                1337.499999999996362                2539.499999999998181                7073.599999999985812
  2                1296.449999999998909                1243.049999999999045                2539.499999999998181                2539.499999999998181               10371.599999999991269
  3                1827.449999999998909                 712.049999999999386                2539.499999999998181                2539.499999999998181               14619.599999999991269
  4                 803.391666666665515                 430.284097606193995                1115.399999999999409                1337.499999999996362                6427.133333333324117
  5                 680.024999999998727                 575.949155199483016                 961.899999999999636                1337.499999999996362                5440.199999999989814
  6                1733.633333333333212                 805.866666666665310                2539.499999999998181                2539.499999999998181               13869.066666666665697
  7                1728.899999999999636                 810.599999999998431                2539.499999999998181                2539.499999999998181               13831.199999999997090
  8                1817.750000000000000                 729.036105072991518                2539.499999999998181                2539.499999999998181               14542.000000000000000
  9                1335.499999999999091                1203.999999999999091                2539.499999999998181                2539.499999999998181               10683.999999999992724
 10                1833.166666666665151                 706.333333333333371                2539.499999999998181                2539.499999999998181               14665.333333333321207
 11                1302.499999999999091                1236.999999999999091                2539.499999999998181                2539.499999999998181               10419.999999999992724
 12                1915.899999999998727                 623.599999999999682                2539.499999999998181                2539.499999999998181               15327.199999999989814
 13                1331.149999999998727                1208.349999999999000                2539.499999999998181                2539.499999999998181               10649.199999999989814
 14                1856.679166666665424                 734.033919882584996                2539.499999999998181                2539.499999999998181               14853.433333333323390
 15                 443.558333333333280                 550.120014873017340                 159.933333333333479                1393.799999999999727                3548.466666666666242
 16                 836.400000000000773                   0.000000000000114                 836.400000000000887                 836.400000000000887                6691.200000000006185
 17                 472.216666666667209                 340.716666666667038                 812.933333333334190                 812.933333333334190                3777.733333333337669
 18                 620.612500000000750                 382.103065625515626                 950.600000000001273                 950.600000000001273                4964.900000000006003
 19                1803.283333333331939                 736.216666666666470                2539.499999999998181                2539.499999999998181               14426.266666666655510
 20                1175.116666666667015                 218.683333333332797                1393.799999999999727                1393.799999999999727                9400.933333333336122
 21                 456.016666666667049                 356.916666666667027                 812.933333333334190                 812.933333333334190                3648.133333333336395
 22                 604.250000000000114                 463.649999999999977                1067.900000000000091                1067.900000000000091                4834.000000000000909
 23                 685.616666666667356                 554.116666666667243                1239.733333333334485                1239.733333333334485                5484.933333333338851
 24                 306.749999999999716                 173.416666666666288                 480.166666666665947                 480.166666666665947                2453.999999999997726
 25                1638.649999999999636                 900.849999999998658                2539.499999999998181                2539.499999999998181               13109.199999999997090
 26                1904.470833333332848                 635.178404168093721                2539.499999999998181                2539.499999999998181               15235.766666666662786
 27                1317.133333333334804                   0.000000000000227                1317.133333333334576                1317.133333333334576               10537.066666666678429
 28                 693.266666666666765                 213.100000000000762                 906.366666666667470                 906.366666666667470                5546.133333333334122
 29                1810.266666666666424                 729.233333333331984                2539.499999999998181                2539.499999999998181               14482.133333333331393
 30                1365.933333333332939                 913.112419755152246                 774.499999999999545                2539.499999999998181               10927.466666666663514
 31                1094.958333333333258                 895.950211561569290                 914.966666666667606                2539.499999999998181                8759.666666666666060
 32                 917.262500000000500                 649.637406438198468                 836.400000000000887                2539.499999999998181                7338.100000000004002
 33                 632.325000000000728                 653.720608803945311                 131.500000000000114                1476.200000000001637                5058.600000000005821
 34                 673.200000000000728                 277.400000000000603                 950.600000000001273                 950.600000000001273                5385.600000000005821
 35                1324.466666666666242                1215.033333333332394                2539.499999999998181                2539.499999999998181               10595.733333333329938
 36                1871.099999999999454                 668.399999999998727                2539.499999999998181                2539.499999999998181               14968.799999999995634
 37                1199.250000000000000                 542.864883434787885                1081.033333333334213                2539.499999999998181                9594.000000000000000
 38                 875.200000000000841                   0.000000000000114                 875.200000000000955                 875.200000000000955                7001.600000000006730
 39                 284.766666666666367                 195.399999999999608                 480.166666666665947                 480.166666666665947                2278.133333333330938
 40                1645.316666666666606                 894.183333333332030                2539.499999999998181                2539.499999999998181               13162.533333333332848
 41                 735.033333333333985                 582.100000000000477                1317.133333333334576                1317.133333333334576                5880.266666666671881
 42                 898.383333333334235                  23.183333333333337                 921.566666666667629                 921.566666666667629                7187.066666666673882
 43                1143.100000000000591                   0.000000000000000                1143.100000000000591                1143.100000000000591                9144.800000000004729
 44                 383.183333333333735                 288.316666666667004                 671.500000000000682                 671.500000000000682                3065.466666666669880
 45                1658.716666666666242                 880.783333333332052                2539.499999999998181                2539.499999999998181               13269.733333333329938
 46                1849.366666666665878                 690.133333333332075                2539.499999999998181                2539.499999999998181               14794.933333333327028
 47                 504.787500000000421                 424.003799752857674                 836.400000000000887                1159.233333333334031                4038.300000000003365
 48                 493.300000000000523                 381.900000000000432                 875.200000000000955                 875.200000000000955                3946.400000000004184
 49                  88.150000000000034                  10.950000000000024                  99.100000000000051                  99.100000000000051                 705.200000000000273
 50                 498.237500000000296                 499.550683235973565                 115.433333333333394                1143.100000000000591                3985.900000000002365
