# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 101.629333333333321                 119.379090787848355                 106.533333333333331                 512.000000000000000                5081.466666666666242
  1                 170.965333333333405                 249.786744329371430                 125.733333333333334                1218.400000000001455                8548.266666666670062
  2                 234.728000000000151                 311.131924242220634                 145.199999999999989                1472.800000000002001               11736.400000000006912
  3                 348.240000000000293                 415.469713296489374                 163.333333333333314                1556.800000000002228               17412.000000000014552
  4                 264.813666666666961                 372.714002534711426                  98.616666666666660                2078.000000000002728               13240.683333333347036
  5                 535.080000000000609                 562.401389124253456                 199.733333333333348                1892.400000000003047               26754.000000000032742
  6                 376.363666666667029                 462.107161269500637                 118.600000000000009                2419.400000000003274               18818.183333333352493
  7                 622.773333333333994                 589.477205967759687                 277.866666666666617                1806.400000000002592               31138.666666666696983
  8                 153.916958333333525                 330.286025782329091                  18.900000000000013                2061.900000000002365                7695.847916666676610
  9                 488.592666666667355                 458.437570100396727                 326.100000000000364                2323.400000000003274               24429.633333333367773
 10                 771.026666666667438                 611.142594890006080                 764.266666666667447                1796.800000000002683               38551.333333333372138
 11                 484.767604938272370                 397.480691327987017                 584.251851851852507                1846.000000000002728               24238.380246913617157
 12                 522.185481481482157                 408.915946218935517                 634.725925925926731                1730.800000000002456               26109.274074074110104
 13                 549.351802469136487                 386.762816331600732                 632.533333333334099                1709.600000000002183               27467.590123456822766
 14                 522.082666666667251                 411.355975686374848                 593.333333333333940                2141.400000000002819               26104.133333333364135
 15                 496.677000000000533                 403.067538108138990                 363.000000000000057                2041.200000000002547               24833.850000000027649
 16                 734.344000000000847                 599.503502480363522                 306.400000000000261                1701.200000000002319               36717.200000000040745
 17                 470.182000000000471                 439.803881618968603                 313.299999999999955                2256.000000000003183               23509.100000000024011
 18                 538.893037037037629                 409.196026954714114                 645.955555555556316                1750.000000000002274               26944.651851851882384
 19                 486.224197530864785                 385.289688071439627                 619.288888888889574                1626.800000000002001               24311.209876543238352
 20                 504.327901234568515                 404.002071167734755                 634.755555555556271                1807.600000000002410               25216.395061728424480
 21                 589.841000000000804                 415.695054646900246                 724.900000000000887                2054.400000000002365               29492.050000000042928
 22                 490.958833333333871                 378.997384506504545                 589.675000000000637                1424.400000000001910               24547.941666666694800
 23                 509.644394666667210                 380.617237887130955                 635.680000000000746                1552.240000000002055               25482.219733333360637
 24                 605.268928000000756                 344.075839771016263                 722.560000000000969                1340.080000000001746               30263.446400000037102
 25                 523.691481481482015                 358.583963053775051                 606.955555555556202                1236.800000000001546               26184.574074074098462
 26                 589.672875000000772                 362.681082019653445                 689.900000000000773                1440.800000000001774               29483.643750000039290
 27                 576.962583333334010                 373.966853658033926                 663.050000000000864                1627.700000000002092               28848.129166666702076
 28                 535.670186666667178                 376.314308371350705                 637.536000000000740                1391.920000000001892               26783.509333333360701
 29                 554.221208333334175                 391.598269559500523                 687.850000000000819                1482.100000000002183               27711.060416666710807
 30                 538.219583333333958                 382.438067392581502                 660.575000000000841                1482.600000000002183               26910.979166666700621
 31                 613.927012345679827                 386.085684979058669                 742.577777777778806                1693.200000000002319               30696.350617283991596
 32                 603.694814814815572                 365.864341209169822                 724.522222222223149                1414.400000000001910               30184.740740740780893
 33                 219.312416666666905                 340.247237920447162                 212.375000000000284                2241.900000000003274               10965.620833333345217
 34                 566.650410666667426                 385.794705197479686                 674.528000000000930                1510.320000000001983               28332.520533333372441
 35                 569.364182701652794                 398.783019823621487                 660.816326530613082                1384.514285714287553               28468.209135082637658
 36                 554.601679012346040                 412.094768200348540                 619.288888888889574                1750.800000000002456               27730.083950617303344
 37                 573.647416666667596                 399.696349569209701                 693.275000000000887                1578.000000000002046               28682.370833333377959
 38                 505.252875000000699                 424.809210512310415                 644.450000000000841                1609.800000000002228               25262.643750000035652
 39                 456.635851851852294                 408.143781546400419                 447.422839506173034                1344.800000000002001               22831.792592592613801
 40                 193.578629629629859                 298.372466999815458                 154.822222222222393                1853.800000000002228                9678.931481481493392
 41                 547.797875000000772                 395.742791495838674                 655.275000000000773                1573.800000000002228               27389.893750000039290
 42                 612.221083333334491                 376.853927916900261                 736.122916666667606                1609.800000000002228               30611.054166666723177
 43                 657.054666666667572                 409.863866885363223                 834.733333333334485                2054.400000000002365               32852.733333333380870
 44                 193.127397333333562                 306.307004545637653                 184.586933333333548                1974.120000000002392                9656.369866666678718
 45                 608.237098958334172                 333.788444883292357                 719.962500000000887                1194.300000000001774               30411.854947916708625
 46                 586.779463541667496                 335.447832678521308                 719.962500000000887                1184.650000000001683               29338.973177083375049
 47                 589.664981333334254                 333.174777517825362                 680.624000000000819                1182.920000000001664               29483.249066666710860
 48                 213.895987654321260                 270.377600303325664                 182.650000000000233                1837.700000000002547               10694.799382716062610
 49                 210.133828125000264                 289.536601473226256                 174.431250000000233                1949.250000000002728               10506.691406250012733
