# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  50.814666666666660                  59.689545393924178                  53.266666666666666                 256.000000000000000                2540.733333333333121
  1                  85.482666666666702                 124.893372164685715                  62.866666666666667                 609.200000000000728                4274.133333333335031
  2                 117.364000000000075                 155.565962121110317                  72.599999999999994                 736.400000000001000                5868.200000000003456
  3                 174.120000000000147                 207.734856648244687                  81.666666666666657                 778.400000000001114                8706.000000000007276
  4                 211.638666666666751                 297.089619427464697                  87.266666666666652                1701.400000000002137               10581.933333333337941
  5                 267.540000000000305                 281.200694562126728                  99.866666666666674                 946.200000000001523               13377.000000000016371
  6                 302.900000000000318                 375.842414080985179                 118.133333333333383                1977.400000000002819               15145.000000000014552
  7                 311.386666666666997                 294.738602983879844                 138.933333333333309                 903.200000000001296               15569.333333333348492
  8                 402.834666666667033                 524.926457365855640                 134.400000000000091                2688.000000000003183               20141.733333333351766
  9                 408.680000000000575                 374.218035553250331                 278.800000000000011                1874.200000000002547               20434.000000000029104
 10                 385.513333333333719                 305.571297445003040                 382.133333333333724                 898.400000000001342               19275.666666666686069
 11                 453.034666666666965                 393.338479568594778                 429.866666666667243                1906.200000000002547               22651.733333333348128
 12                 460.656000000000631                 397.817333483039704                 434.533333333333871                1858.200000000002547               23032.800000000032014
 13                 525.332000000000789                 379.658370290391360                 605.000000000000682                1749.400000000002137               26266.600000000038563
 14                 429.246666666667124                 337.538175816208479                 372.533333333333758                1718.400000000002137               21462.333333333357587
 15                 404.788000000000409                 331.304417166113410                 293.400000000000034                1709.400000000002137               20239.400000000019645
 16                 367.172000000000423                 299.751751240181761                 153.200000000000131                 850.600000000001160               18358.600000000020373
 17                 385.668000000000404                 362.135459122381690                 203.199999999999960                1887.000000000002501               19283.400000000019645
 18                 517.685333333334142                 411.379302464283512                 646.400000000000773                1887.000000000002501               25884.266666666706442
 19                 463.288000000000750                 387.662307671681958                 580.400000000000659                1728.600000000002183               23164.400000000037835
 20                 470.909333333333848                 402.031228363613593                 544.200000000000500                1796.200000000002319               23545.466666666692618
 21                 484.057333333333929                 350.273037883941015                 612.000000000000682                1728.600000000002183               24202.866666666697711
 22                 502.086666666667440                 429.759424019222479                 573.200000000000614                1767.000000000002274               25104.333333333372138
 23                 538.956000000000586                 467.633434145450394                 625.600000000000819                1950.200000000002547               26947.800000000032014
 24                 626.262666666667428                 424.123066293002125                 718.400000000001000                1729.400000000002365               31313.133333333371411
 25                 582.773333333333994                 484.162175033669882                 652.400000000000773                1728.600000000002183               29138.666666666700621
 26                 595.344000000000847                 412.874746324947068                 683.200000000000841                1781.400000000002365               29767.200000000040745
 27                 572.374666666667622                 414.308714074689362                 697.200000000000955                1817.800000000002456               28618.733333333380870
 28                 566.778666666667391                 454.070861320614767                 695.200000000000955                1858.200000000002547               28338.933333333367045
 29                 557.918666666667377                 421.367335187087292                 704.400000000001000                1734.200000000002319               27895.933333333370683
 30                 552.386666666667566                 436.128495234553725                 645.200000000000841                1858.200000000002547               27619.333333333379414
 31                 581.609333333334121                 382.253860501689132                 737.600000000001046                1758.200000000002319               29080.466666666703532
 32                 664.720000000000709                 478.994112327537039                 736.800000000000978                1906.200000000002547               33236.000000000036380
 33                 602.620000000000914                 518.375885627409048                 730.400000000001000                2889.600000000004002               30131.000000000043656
 34                 592.632000000000630                 467.540790137788179                 682.800000000000864                1906.200000000002547               29631.600000000031287
 35                 648.829333333334262                 534.795167128500452                 733.400000000001000                1950.200000000002547               32441.466666666710807
 36                 506.845333333334111                 407.363063277301990                 556.800000000000637                1858.200000000002547               25342.266666666706442
 37                 589.133333333333894                 437.717545252897992                 734.000000000001023                1782.600000000002183               29456.666666666696983
 38                 519.588000000000761                 473.289400344253238                 592.400000000000659                1997.400000000002592               25979.400000000037835
 39                 508.418666666667207                 538.387928218637171                 290.666666666666799                1997.400000000002592               25420.933333333359769
 40                 582.192000000000689                 585.226591427439075                 580.400000000000659                2688.600000000003092               29109.600000000034925
 41                 526.144000000000460                 438.653174738819189                 542.800000000000637                1925.400000000002592               26307.200000000022555
 42                 577.386666666667224                 439.140521169857266                 587.600000000000705                1997.400000000002592               28869.333333333361225
 43                 513.333333333334053                 335.227537187638006                 600.000000000000682                1728.600000000002183               25666.666666666700621
 44                 563.833333333334281                 533.363911498415519                 652.400000000000773                2803.200000000003456               28191.666666666711535
 45                 700.230666666667730                 525.741347679214300                 736.800000000000978                1925.400000000002592               35011.533333333383780
 46                 659.488000000000852                 528.435376802122164                 688.000000000000909                1858.200000000002547               32974.400000000045111
 47                 724.334666666667431                 560.475864400957903                 736.800000000000978                1855.600000000002410               36216.733333333373594
 48                 777.406666666667547                 649.661671983537531                 738.000000000001023                2953.200000000003911               38870.333333333379414
 49                 689.628000000001066                 591.181864417372822                 683.200000000000841                2953.200000000003911               34481.400000000052387
