# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1075.032000000000835                1200.994148731422229                 269.333333333333314                4198.800000000004729               53751.600000000042201
  1                1188.885333333334074                1523.578725503581154                 489.066666666666606                5276.800000000006548               59444.266666666706442
  2                1010.489283950618074                1091.409251007516559                1027.693827160493811                5700.800000000008367               50524.464197530905949
  3                1331.816000000000940                1171.538900843009969                1233.600000000000136                5222.400000000006912               66590.800000000046566
  4                1305.941333333334342                1615.944341595962214                1064.333333333333258                9237.600000000011278               65297.066666666716628
  5                1588.544000000000779                1369.321488774480031                1248.000000000001137                6153.600000000007640               79427.200000000040745
  6                1306.006666666667343                 936.219551672221201                1308.000000000000455                3742.133333333334122               65300.333333333364862
  7                1804.223000000001548                1460.616771169291724                1450.166666666666515                5418.800000000008367               90211.150000000081491
  8                1414.917333333334454                1212.487514093606251                1200.000000000000000                4165.200000000006185               70745.866666666726815
  9                2672.373333333334813                2002.677561266418934                2214.400000000000091                6436.800000000009277              133618.666666666744277
 10                2999.061333333335369                1706.753229671409372                2788.266666666669607                6406.400000000009641              149953.066666666767560
 11                3181.258666666669342                1520.795248378808537                3558.400000000002819                6406.400000000009641              159062.933333333465271
 12                2974.709333333335962                1637.994095865633653                3596.800000000002910                5792.000000000008185              148735.466666666790843
 13                3244.565333333335730                1485.487278332304641                3548.800000000002456                6152.000000000008185              162228.266666666779201
 14                3928.725333333337403                1706.155619352209214                4259.200000000004366                7516.800000000011096              196436.266666666866513
 15                3654.314666666670746                1309.761791067539889                3836.800000000002456                5715.200000000008004              182715.733333333540941
 16                3700.810666666670386                1727.341176431958729                3804.800000000002910                6384.000000000009095              185040.533333333529299
 17                3890.378666666671052                1563.104627446575705                4076.800000000004729                7062.400000000012369              194518.933333333552582
 18                3660.905686328308093                1444.063600846661075                3682.583447645179149                6218.903703703713290              183045.284316415403737
 19                4203.765333333336457                1526.833494130329655                4771.200000000005275                7174.400000000012369              210188.266666666837409
 20                3561.568000000003394                1853.468266850137752                3744.000000000002728                6672.000000000009095              178078.400000000168802
 21                3569.546666666670717                1794.507478229676508                4118.400000000004184                6601.600000000009459              178477.333333333546761
 22                3382.037333333336392                2048.137691038050889                3739.200000000002547                7209.600000000010368              169101.866666666814126
 23                4257.162666666670702                1406.288789191689602                4774.400000000005093                6809.600000000011278              212858.133333333535120
 24                4533.706666666673300                1564.842710619117497                4929.600000000005821                7076.800000000012005              226685.333333333663177
 25                4404.597333333338611                1809.531443094718497                4700.800000000005639                8598.400000000001455              220229.866666666930541
 26                4630.421333333339135                2079.801059778556919                4700.800000000005639               11324.799999999986539              231521.066666666942183
 27                4518.101333333337607                2234.307871683062785                5097.600000000006730               10710.399999999992360              225905.066666666883975
 28                4787.328000000004067                2007.747810451192208                4848.000000000006366               10825.599999999989450              239366.400000000197906
 29                4448.576000000005479                1973.096080411474759                4742.400000000005093                8595.200000000008004              222428.800000000279397
 30                4697.088000000006105                1622.032024752493953                5008.000000000005457                8825.600000000005821              234854.400000000285218
 31                4585.333333333338487                1824.991693764966840                5043.200000000006185                7404.800000000012005              229266.666666666918900
 32                4855.669333333338727                1505.623271101302407                5254.400000000006912                7209.600000000011278              242783.466666666936362
 33                4723.701333333338880                1539.283055869556392                5259.200000000007094                6936.000000000010914              236185.066666666942183
 34                4205.866666666672245                1634.653730889548115                4361.600000000004911                7635.200000000009823              210293.333333333604969
 35                3896.736000000004424                1741.900668016791087                4276.800000000004729                6947.200000000011642              194836.800000000221189
 36                4508.789333333339528                2024.870894204700335                4780.800000000005639                8444.800000000002910              225439.466666666994570
 37                4132.512000000005173                2089.783511996294237                4665.600000000004002                8176.000000000005457              206625.600000000267755
 38                4103.626666666672463                2048.027925504057748                4478.400000000004184                8291.200000000008004              205181.333333333634073
 39                4718.261333333341099                1931.957157833707925                4892.800000000005639                8560.000000000003638              235913.066666667058598
 40                4839.125333333339768                1825.978266811887352                5123.200000000006185                7585.600000000011278              241956.266666666982928
 41                4632.544000000005326                1528.349456220885031                4889.600000000005821                6944.000000000010004              231627.200000000244472
 42                4942.496000000006461                1612.863888293673199                5347.200000000006185                8667.200000000011642              247124.800000000308501
 43                4367.082666666671685                1512.341972060260787                4854.400000000005093                6364.800000000010186              218354.133333333564224
 44                4709.248000000005959                1609.286806233814332                5385.600000000007640                6921.600000000009459              235462.400000000285218
 45                4625.269333333339091                1450.698305105972167                5120.000000000006366                6521.600000000009459              231263.466666666936362
 46                4489.218765432104192                1522.620554437558667                4881.422222222227902                7440.711111111115315              224460.938271605205955
 47                5179.213333333340415                1703.352446442018845                5794.400000000006912                7328.000000000012733              258960.666666667035315
 48                5295.925333333338131                1660.622791693394220                5462.400000000006912                9620.800000000006548              264796.266666666895617
 49                4737.792000000005828                2315.363487763711873                5388.800000000006548               11475.199999999982538              236889.600000000296859
