# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 195.720000000000084                 356.187942649507931                  55.200000000000003                1750.800000000002456                9786.000000000003638
  1                 243.264000000000209                 507.859093836951388                  64.000000000000000                3072.800000000003820               12163.200000000009823
  2                 312.610666666666816                 365.429377243933629                 193.599999999999994                1241.866666666668380               15630.533333333341943
  3                 413.029333333333625                 447.468268602615808                 232.933333333333337                1543.066666666668425               20651.466666666681704
  4                 592.514666666667154                 538.980102875793364                 398.933333333333564                1640.666666666668789               29625.733333333355404
  5                 682.461333333333869                 751.184956521954064                 302.000000000000057                3072.800000000003820               34123.066666666694800
  6                 998.845333333334452                 880.405319428627649                 653.866666666666674                3072.800000000003820               49942.266666666720994
  7                1367.285333333334620                1082.798496328637384                1503.066666666667970                3111.200000000003456               68364.266666666735546
  8                1098.864000000000715                 863.679109233414238                1086.000000000001364                3111.200000000003456               54943.200000000033469
  9                1047.754666666667845                 784.831415549721328                 869.600000000000819                3111.200000000003456               52387.733333333395422
 10                 978.632000000001085                 807.631383380094917                 840.800000000000750                3111.200000000003456               48931.600000000056752
 11                1118.000000000000909                 936.305875187757465                1086.000000000001364                3072.800000000003820               55900.000000000050932
 12                1134.130666666667139                 968.526281358321739                 824.800000000000750                3111.200000000003456               56706.533333333361952
 13                1349.146666666667443                1022.497585674955303                1086.000000000001364                3072.800000000003820               67457.333333333372138
 14                1220.538666666667041                1106.273828737413169                 571.600000000000705                3072.800000000003820               61026.933333333356131
 15                1308.322666666668056                1033.449132467261734                1086.000000000001364                3072.800000000003820               65416.133333333404153
 16                1342.130666666667594                1046.244108499860886                1033.466666666667834                3072.800000000003820               67106.533333333383780
 17                1297.397333333334473                1041.524490603185086                1103.333333333334849                3072.800000000003820               64869.866666666719539
 18                1516.429333333334398                1016.811457681752813                1492.666666666665378                3072.800000000003820               75821.466666666718083
 19                1558.565333333334138                1069.673044480000726                1543.066666666668425                3072.800000000003820               77928.266666666706442
 20                1785.680000000002337                1079.096852660698005                2410.800000000002001                3072.800000000003820               89284.000000000116415
 21                2161.752000000002226                 974.638325537793094                2410.800000000002001                3072.800000000003820              108087.600000000107684
 22                2157.336000000002059                 860.756840508270102                2410.800000000002001                3072.800000000003820              107866.800000000104774
 23                1974.570666666668558                 925.710854416216876                2410.800000000002001                3072.800000000003820               98728.533333333427436
 24                2033.314666666669382                 990.909753221420146                2410.800000000002001                3072.800000000003820              101665.733333333468181
 25                2186.368000000002667                 983.378490465057894                2410.800000000002001                3072.800000000003820              109318.400000000125146
 26                2404.226666666669189                 814.737272772300571                2410.800000000002001                3072.800000000003820              120211.333333333459450
 27                2399.546666666669353                 893.059577955345617                2410.800000000002001                3072.800000000003820              119977.333333333459450
 28                2304.714666666668563                 936.338388123535196                2410.800000000002001                3072.800000000003820              115235.733333333439077
 29                2370.840000000002419                 904.487478102625005                2410.800000000002001                3072.800000000003820              118542.000000000130967
 30                2146.962666666669065                1059.850906173758403                2410.800000000002001                3072.800000000003820              107348.133333333462360
 31                2036.690666666668449                1063.790593491868322                2410.800000000002001                3072.800000000003820              101834.533333333427436
 32                2350.485333333335802                 925.481427058012400                3072.800000000003820                3072.800000000003820              117524.266666666793753
 33                2263.800000000002456                 973.660443389904117                2410.800000000002001                3072.800000000003820              113190.000000000116415
 34                2122.930666666668913                1090.332683171926192                2410.800000000002001                3072.800000000003820              106146.533333333441988
 35                1964.202666666668847                1158.523119681837443                2410.800000000002001                3072.800000000003820               98210.133333333447808
 36                2228.906666666668571                1017.719090166285127                3072.800000000003820                3072.800000000003820              111445.333333333430346
 37                2433.381333333336443                 958.401003805819528                3072.800000000003820                3072.800000000003820              121669.066666666811216
 38                2697.552000000002863                 755.659710250587068                3072.800000000003820                3072.800000000003820              134877.600000000151340
 39                2594.872000000002572                 805.791510375841199                3072.800000000003820                3072.800000000003820              129743.600000000136788
 40                2566.450666666669349                 800.662532274644377                3072.800000000003820                3072.800000000003820              128322.533333333471091
 41                2537.261333333336097                 816.933982790668324                3072.800000000003820                3072.800000000003820              126863.066666666796664
 42                2266.106666666668389                 865.464248956722372                2410.800000000002001                3072.800000000003820              113305.333333333415794
 43                2298.802666666668756                 882.639739565105629                2410.800000000002001                3072.800000000003820              114940.133333333433256
 44                2571.005333333336239                 771.592539200149872                3072.800000000003820                3072.800000000003820              128550.266666666808305
 45                2397.794666666668945                 879.631215740375524                3072.800000000003820                3072.800000000003820              119889.733333333439077
 46                1966.141333333335297                1004.361451859063891                2410.800000000002001                3072.800000000003820               98307.066666666767560
 47                1919.498666666668441                1018.047313481605102                2410.800000000002001                3072.800000000003820               95974.933333333421615
 48                2131.240000000001601                 911.916788114160454                2410.800000000002001                3072.800000000003820              106562.000000000087311
 49                2183.237333333335755                1016.857317744564284                2410.800000000002001                3072.800000000003820              109161.866666666785022
