# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 765.040000000000305                1835.635120460128292                 176.733333333333348               10859.799999999999272               38252.000000000014552
  1                 782.197333333334086                1569.480675550428259                 183.999999999999972                8110.400000000011460               39109.866666666704987
  2                1179.050666666667667                1536.862939225950413                 553.600000000000023                6992.000000000010004               58952.533333333383780
  3                1723.200000000000955                2211.660298770035297                 672.533333333333303                8566.400000000001455               86160.000000000043656
  4                2396.112000000001444                2063.535998208040382                2030.133333333333212                7225.866666666664969              119805.600000000078580
  5                1889.440000000002556                1816.914391036507368                1523.999999999999545                8871.200000000006185               94472.000000000130967
  6                2573.086666666668862                1815.935162095095166                2928.533333333335122                5775.000000000009095              128654.333333333444898
  7                2482.581333333336261                2035.676764170799288                1815.466666666668743                7861.333333333322116              124129.066666666811216
  8                1664.769600000000764                1639.377051786390666                1431.866666666668607                6600.106666666660203               83238.480000000039581
  9                1468.138666666668087                1595.456115242842316                1566.080000000002201                6524.160000000004402               73406.933333333407063
 10                2401.472000000002481                1979.974728989798905                2313.600000000003092                8499.999999999989086              120073.600000000122236
 11                2996.442666666668174                2098.448413122207512                3080.800000000000182                7977.199999999986176              149822.133333333418705
 12                3184.362666666669156                1769.356187953875633                2789.866666666668607                6583.200000000006185              159218.133333333447808
 13                2950.984888888890964                1717.991884965902727                2268.800000000000182                5856.000000000005457              147549.244444444542751
 14                3268.810666666668112                2305.920350917420365                2583.733333333335850                9111.200000000008004              163440.533333333412884
 15                3060.068888888892161                1952.722442407392236                2313.900000000001910                7081.266666666672791              153003.444444444612600
 16                2407.486222222225024                1663.413019610638003                2137.466666666669880                5136.200000000004366              120374.311111111252103
 17                2526.317333333335682                1909.545253581946554                1726.266666666668243                5425.200000000006185              126315.866666666785022
 18                3372.648533333338037                1418.603504061992226                3709.520000000006348                6064.240000000004329              168632.426666666899109
 19                1577.365333333334775                 733.209798448197262                1549.440000000000509                3442.080000000003565               78868.266666666735546
 20                4821.754666666671255                2448.153064039731362                6297.200000000008913                7512.600000000003092              241087.733333333540941
 21                3743.821714285721100                1530.850930992264693                4526.857142857151302                4854.857142857150393              187191.085714286047732
 22                4397.848000000003594                1053.177904485276940                4625.400000000004184                6854.600000000001273              219892.400000000168802
 23                3580.741333333332932                1645.998544113842854                2580.000000000002274                7976.533333333336486              179037.066666666651145
 24                5520.352000000000771                2855.977408906605433                5919.999999999995453                8840.000000000005457              276017.600000000034925
 25                3663.744000000003325                1559.744198259491895                4586.057142857151121                4664.000000000006366              183187.200000000157161
 26                3349.193066666670347                 896.989719919253162                3719.160000000005311                3913.560000000006312              167459.653333333524643
 27                4521.941333333341390                1301.037989278903069                4694.628571428579562                5849.828571428581199              226097.066666667058598
 28                4178.799619047625129                1265.909449120711770                4610.742857142865432                5352.342857142865796              208939.980952381272800
 29                3628.066285714292462                 708.968102271786734                3618.742857142862249                4328.742857142862704              181403.314285714615835
 30                3144.471515151517906                 707.702841389352329                3377.418181818186895                4000.363636363642399              157223.575757575890748
 31                3066.685485714290280                1421.690191682210070                4197.154285714293110                4559.554285714293655              153334.274285714520374
 32                3724.743000000006759                1312.038261489395381                4362.700000000006185                4679.400000000005093              186237.150000000343425
 33                3710.110787878792053                 743.374492406838158                3689.927272727278250                4808.945454545461871              185505.539393939601723
 34                4401.136000000004060                 764.207863165044273                4415.818181818188350                5077.927272727269155              220056.800000000192085
 35                4520.765000000003056                1493.845390137853883                4994.700000000001637                7127.149999999999636              226038.250000000145519
 36                4100.177632653066212                1440.952891712131304                4980.653061224497833                5559.902040816330555              205008.881632653297856
 37                2752.971809523814045                 607.122372261586293                2941.314285714289326                3573.942857142861612              137648.590476190700429
 38                3975.232000000005883                1278.615778427069017                3343.800000000005639                8186.333333333324845              198761.600000000296859
 39                4639.426666666669917                1284.235955958940622                4094.000000000006366                7847.999999999987267              231971.333333333517658
 40                3737.469333333336181                1416.987733779578093                4457.000000000006366                4759.800000000004729              186873.466666666819947
 41                4703.666666666670608                1042.610818531588166                4112.000000000006366                8735.440000000000509              235183.333333333546761
 42                3237.013333333336050                1831.429382361705848                3271.400000000001910               14527.066666666669335              161850.666666666802485
 43                6551.360000000007858                1777.502009900414123                7227.200000000010732                8108.800000000012005              327568.000000000407454
 44                4859.776000000006206                1301.341489985367616                5272.000000000010004                6165.866666666670426              242988.800000000308501
 45                5519.822095238103429                1043.192101486518823                5210.628571428579562                8745.542857142852881              275991.104761905153282
 46                4919.596800000004805                1423.333666989027279                5685.173333333328628                7633.920000000010987              245979.840000000229338
 47                6660.661333333342554                1772.354760968332130                7611.200000000010732                9529.599999999998545              333033.066666667116806
 48                3080.183919191923451                1666.622467109004901                4196.363636363645128                4359.709090909097540              154009.195959596167086
 49                2399.000038647344354                1121.238174299489174                2464.817391304351531                6722.956521739133677              119950.001932367216796
