# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 107.870333333333363                 270.966762850887221                  24.450000000000003                1683.799999999999955                5393.516666666668243
  1                  97.774666666666761                 196.185084443803532                  22.999999999999996                1013.800000000001432                4888.733333333338123
  2                 147.381333333333458                 192.107867403243802                  69.200000000000003                 874.000000000001251                7369.066666666672972
  3                 215.400000000000119                 276.457537346254412                  84.066666666666663                1070.800000000000182               10770.000000000005457
  4                 299.514000000000181                 257.941999776005048                 253.766666666666652                 903.233333333333121               14975.700000000009823
  5                 371.291333333333682                 364.299825833978332                 254.800000000000011                1888.600000000001501               18564.566666666683886
  6                 495.156333333333691                 339.562227186875646                 641.666666666667538                1155.483333333334485               24757.816666666683886
  7                 565.018666666667400                 419.684753868107066                 542.133333333334122                1790.200000000001864               28250.933333333370683
  8                 873.206333333333760                 966.069542872273246                 848.183333333334531                4044.733333333329028               43660.316666666687524
  9                 917.586666666667611                 997.160072026776447                 978.800000000001319                4077.600000000003092               45879.333333333379414
 10                 457.277333333333672                 356.785227237775814                 505.066666666667288                1607.266666666667788               22863.866666666683159
 11                 574.354000000000497                 380.207773761195540                 654.600000000001046                1705.000000000001364               28717.700000000026193
 12                 626.066000000000599                 312.273649188229570                 630.933333333333621                1556.866666666668152               31303.300000000032014
 13                 684.554000000000201                 320.055663137246199                 684.533333333333303                1556.866666666668152               34227.700000000011642
 14                 617.928000000000566                 423.101615604468464                 580.266666666667561                2209.300000000002001               30896.400000000026921
 15                 641.418333333333976                 347.270823617693793                 628.016666666667220                1840.400000000001228               32070.916666666700621
 16                 647.008333333333894                 365.246940549206840                 596.766666666667447                1548.950000000001410               32350.416666666696983
 17                 676.058666666667250                 495.403218334318467                 626.933333333333849                2055.533333333335577               33802.933333333363407
 18                 984.980666666667844                 501.363333758396777                 897.100000000001273                2282.450000000001182               49249.033333333391056
 19                 948.462666666666905                 507.268963695242064                 794.133333333331962                1885.200000000002547               47423.133333333345945
 20                 789.609333333333780                 362.026265900387386                 999.600000000001273                1470.000000000000000               39480.466666666688980
 21                1042.252000000000635                 447.046532261588595                 985.000000000001705                2055.533333333335577               52112.600000000027649
 22                1040.282666666667410                 375.896326146807041                1080.000000000000227                2282.450000000001182               52014.133333333367773
 23                 731.235333333333301                 302.702951599602216                 696.800000000000296                2133.066666666667970               36561.766666666662786
 24                 690.044000000000096                 356.997176113325679                 739.999999999999432                1105.000000000000682               34502.200000000004366
 25                 971.424000000000433                 432.608475749917147                 942.000000000001592                2073.533333333334213               48571.200000000018917
 26                 822.210333333334461                 260.547303508296579                 760.350000000000705                1611.099999999999454               41110.516666666720994
 27                 836.562666666667837                 275.223133688528094                 796.400000000001342                1434.433333333333849               41828.133333333389601
 28                 974.607666666668138                 353.404136525655929                 890.700000000001523                1744.983333333334485               48730.383333333404153
 29                 974.992000000001440                 343.807362975256751                 794.650000000001342                1912.650000000001000               48749.600000000071304
 30                 933.033000000000357                 364.512538002466727                 700.350000000001160                1602.099999999999909               46651.650000000016007
 31                 857.756666666667570                 280.438454349216784                 796.400000000001342                1434.433333333333849               42887.833333333379414
 32                 940.152333333334695                 267.909423852540272                 890.700000000001523                1744.983333333334485               47007.616666666734091
 33                 963.915666666667789                 396.171265047075337                 794.650000000001342                1912.650000000001000               48195.783333333391056
 34                 891.862000000000648                 309.678420427097535                 774.250000000001251                1536.650000000000546               44593.100000000034925
 35                 973.060000000001196                 259.693564631685035                 944.200000000001523                1450.633333333333667               48653.000000000058208
 36                1418.340000000001737                 464.070161362122974                1809.700000000001637                1809.700000000001637               70917.000000000087311
 37                1190.948333333333494                 448.188034066680132                1103.350000000000819                2341.666666666667425               59547.416666666678793
 38                 719.105000000001041                 284.221673507962123                 601.350000000001046                1767.366666666666333               35955.250000000050932
 39                 579.928333333333740                 160.529494494867578                 511.750000000000796                 980.999999999998408               28996.416666666689707
 40                 959.794666666667467                 317.020810768701153                 985.000000000001705                2055.533333333335577               47989.733333333373594
 41                 940.914333333334412                 296.794335694115091                 807.400000000001342                2282.450000000001182               47045.716666666718083
 42                 709.031000000000404                 458.262319383536123                 696.800000000000296                3612.433333333333849               35451.550000000017462
 43                 818.920000000000982                 222.187751237551765                 903.400000000001342                1013.600000000001501               40946.000000000050932
 44                 993.392000000000507                 289.855341281359415                 985.000000000001705                2159.933333333334303               49669.600000000027649
 45                 983.902333333334241                 318.518456486171885                 860.900000000001342                1986.250000000000000               49195.116666666712263
 46                 793.844000000000506                 361.275409590953700                 806.133333333331848                1785.100000000001955               39692.200000000026193
 47                 832.582666666667819                 221.544345121041516                 951.400000000001342                1191.199999999999818               41629.133333333389601
 48                1324.681333333334806                 640.287717034217053                1143.200000000000273                2111.800000000002001               66234.066666666738456
 49                1223.804000000000997                 549.107261223565388                1083.600000000000591                2614.500000000000909               61190.200000000048021
