# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  39.344444444444441                 125.511014892156922                   5.555555555555556                 863.200000000000159                1967.222222222222172
  1                  85.818666666666644                 172.960500927770170                  11.111111111111112                 863.200000000000159                4290.933333333332484
  2                 118.045333333333332                 193.976508795889998                  14.444444444444443                 863.200000000000159                5902.266666666666424
  3                 137.444888888888897                 189.899975464147872                  86.333333333333329                 863.200000000000159                6872.244444444445435
  4                 175.404888888888877                 229.408939315422430                  86.333333333333329                 863.200000000000159                8770.244444444444525
  5                 229.906666666666666                 247.278321085800684                 201.866666666666646                 863.200000000000159               11495.333333333333940
  6                 279.573333333333323                 290.330820791101303                 209.333333333333343                 863.200000000000159               13978.666666666666060
  7                 465.679999999999950                 319.721629569872732                 278.666666666666686                1020.466666666667152               23283.999999999996362
  8                 584.784888888888872                 308.193501167331362                 804.599999999999909                1054.066666666667288               29239.244444444440887
  9                 700.313777777777887                 290.924589054183798                 826.200000000000273                1133.666666666666970               35015.688888888893416
 10                 686.356444444444492                 304.273791196492141                 819.600000000000364                1054.066666666667288               34317.822222222224809
 11                 720.241777777777770                 309.945342681059060                 828.666666666666856                1054.066666666667288               36012.088888888887595
 12                 758.837333333333277                 349.739063407119318                 863.200000000000159                1054.066666666667288               37941.866666666661331
 13                 857.279111111110865                 231.914159988476314                 863.200000000000159                1054.066666666667288               42863.955555555541650
 14                 880.092000000000212                 194.502209477310657                 863.200000000000159                1054.066666666667288               44004.600000000013097
 15                 912.370666666666466                 192.254548004577856                1020.466666666667152                1054.066666666667288               45618.533333333325572
 16                 913.107999999999834                 198.022966968761580                1054.066666666667288                1054.066666666667288               45655.399999999994179
 17                 867.590666666666493                 265.441467750948618                1054.066666666667288                1054.066666666667288               43379.533333333325572
 18                 901.378666666666390                 248.873105886871400                1054.066666666667288                1054.066666666667288               45068.933333333319752
 19                 980.421333333333223                 154.970582120177681                1054.066666666667288                1054.066666666667288               49021.066666666658421
 20                 977.397333333333108                 170.866039775154007                1054.066666666667288                1054.066666666667288               48869.866666666654055
 21                1004.433333333333167                 150.220908294714206                1054.066666666667288                1054.066666666667288               50221.666666666656965
 22                 972.296444444444205                 239.024556023894405                1054.066666666667288                1054.066666666667288               48614.822222222210257
 23                 962.861777777777434                 239.102851790026904                1054.066666666667288                1054.066666666667288               48143.088888888873043
 24                 968.586666666666247                 237.840480247674861                1054.066666666667288                1054.066666666667288               48429.333333333313931
 25                 956.981333333333168                 242.720728791113004                1054.066666666667288                1054.066666666667288               47849.066666666658421
 26                 941.385333333332937                 268.177354016164486                1054.066666666667288                1054.066666666667288               47069.266666666648234
 27                 944.634666666666362                 258.860673375552722                1054.066666666667288                1054.066666666667288               47231.733333333315386
 28                 940.429333333333147                 251.480572666050222                1054.066666666667288                1054.066666666667288               47021.466666666659876
 29                 913.367555555555441                 288.533988299729231                1054.066666666667288                1054.066666666667288               45668.377777777772280
 30                 927.062666666666587                 249.132548178229570                1054.066666666667288                1054.066666666667288               46353.133333333331393
 31                 896.022666666666510                 300.382328703493272                1054.066666666667288                1054.066666666667288               44801.133333333324117
 32                 979.723999999999705                 187.741760232270025                1054.066666666667288                1054.066666666667288               48986.199999999982538
 33                 913.982666666666660                 228.983324695150174                1054.066666666667288                1054.066666666667288               45699.133333333331393
 34                 840.140444444444256                 309.518343601757294                1054.066666666667288                1054.066666666667288               42007.022222222214623
 35                 869.471999999999866                 294.446516808137233                1054.066666666667288                1054.066666666667288               43473.599999999991269
 36                 873.789777777777658                 327.493830885935779                1054.066666666667288                1054.066666666667288               43689.488888888881775
 37                 921.062222222222090                 302.202727737278906                1054.066666666667288                1054.066666666667288               46053.111111111102218
 38                1030.765333333333047                  93.951365423227941                1054.066666666667288                1054.066666666667288               51538.266666666648234
 39                 976.591555555555260                 237.762267651565907                1054.066666666667288                1054.066666666667288               48829.577777777762094
 40                 991.815111111110696                 217.103782223168309                1054.066666666667288                1054.066666666667288               49590.755555555537285
 41                 935.078222222222053                 279.870702853749833                1054.066666666667288                1054.066666666667288               46753.911111111105129
 42                 988.960444444444192                 214.003898997133774                1054.066666666667288                1054.066666666667288               49448.022222222207347
 43                1023.422666666666146                 150.124380792876053                1054.066666666667288                1054.066666666667288               51171.133333333309565
 44                 974.526666666666415                 252.703231567078518                1054.066666666667288                1054.066666666667288               48726.333333333321207
 45                 973.267999999999688                 242.984049404253824                1054.066666666667288                1054.066666666667288               48663.399999999986903
 46                1012.785333333333142                 165.280515912930582                1054.066666666667288                1054.066666666667288               50639.266666666655510
 47                1004.295111111110714                 189.213321747481956                1054.066666666667288                1054.066666666667288               50214.755555555537285
 48                1033.096444444444160                 146.791555555555618                1054.066666666667288                1054.066666666667288               51654.822222222202981
 49                 986.956888888888443                 236.780348092207021                1054.066666666667288                1054.066666666667288               49347.844444444424880
