# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 315.269333333333293                1022.621017752151033                  26.666666666666664                6841.999999999999091               15763.466666666663514
  1                 662.037333333333663                1302.604531862393515                  53.333333333333329                6910.399999999998727               33101.866666666683159
  2                 917.610666666667044                1438.895415324469695                  69.333333333333329                6910.399999999998727               45880.533333333354676
  3                1117.461333333333414                1485.217594763062380                 704.000000000000000                6910.399999999998727               55873.066666666665697
  4                1377.450666666667075                1712.430074461957020                 704.000000000000000                6910.399999999998727               68872.533333333354676
  5                1860.944000000001097                1800.396103151133048                1688.000000000000000                6910.399999999998727               93047.200000000055297
  6                2142.704000000001088                2060.850212645690135                1879.200000000000500                7043.199999999999818              107135.200000000055297
  7                3662.752000000001317                2498.532876355510325                2284.800000000000637                8118.399999999989632              183137.600000000064028
  8                4643.189333333333707                2407.923782897162255                5809.600000000007640                8204.800000000015643              232159.466666666703532
  9                5162.576000000003660                2157.283538022762059                5366.400000000006912                9510.399999999999636              258128.800000000192085
 10                5403.109333333337418                2509.893447433265919                5366.400000000006912                9510.399999999999636              270155.466666666849051
 11                5848.069333333335635                2567.155824866975763                5625.600000000007640                9510.399999999999636              292403.466666666790843
 12                6386.512000000001535                3046.048341089811856                6609.600000000005821                9510.399999999999636              319325.600000000093132
 13                6984.325333333337767                2437.886885230821008                6609.600000000005821                9510.399999999999636              349216.266666666895617
 14                7032.352000000004409                2257.723081889359946                6609.600000000005821                9510.399999999999636              351617.600000000209548
 15                7654.688000000007378                2174.758038278279400                8720.000000000003638                9510.399999999999636              382734.400000000372529
 16                7914.464000000008127                1953.951344917265260                9510.399999999999636                9510.399999999999636              395723.200000000419095
 17                7572.576000000005479                2475.125920235976992                9510.399999999999636                9510.399999999999636              378628.800000000279397
 18                7932.544000000006235                2428.714367080657667                9510.399999999999636                9510.399999999999636              396627.200000000302680
 19                8751.648000000004686                1539.243418597588743                9510.399999999999636                9510.399999999999636              437582.400000000256114
 20                8694.304000000007363                1648.991962740871486                9510.399999999999636                9510.399999999999636              434715.200000000360887
 21                8978.208000000007814                1444.632757186404433                9510.399999999999636                9510.399999999999636              448910.400000000430737
 22                8799.365333333340459                2042.133959355696334                9510.399999999999636                9510.399999999999636              439968.266666667012032
 23                8570.949333333341201                2274.841210910138670                9510.399999999999636                9510.399999999999636              428547.466666667023674
 24                8729.696000000007189                2073.582528568372254                9510.399999999999636                9510.399999999999636              436484.800000000337604
 25                8699.104000000006636                1927.801096063593377                9510.399999999999636                9510.399999999999636              434955.200000000302680
 26                8705.824000000005981                1850.645766921371433                9510.399999999999636                9510.399999999999636              435291.200000000302680
 27                8721.120000000006257                1815.829764708132871                9510.399999999999636                9510.399999999999636              436056.000000000291038
 28                8430.832000000007611                2285.446805982584010                9510.399999999999636                9510.399999999999636              421541.600000000384171
 29                8249.050666666675170                2553.912748550869765                9510.399999999999636                9510.399999999999636              412452.533333333733026
 30                8440.816000000007989                2065.325642445760423                9510.399999999999636                9510.399999999999636              422040.800000000395812
 31                8124.640000000006694                2664.643362553419138                9510.399999999999636                9510.399999999999636              406232.000000000349246
 32                8848.176000000008571                1698.621365055788829                9510.399999999999636                9510.399999999999636              442408.800000000395812
 33                8249.104000000008455                2072.932317752799008                9510.399999999999636                9510.399999999999636              412455.200000000419095
 34                7603.445333333340386                2774.224632078983632                9510.399999999999636                9510.399999999999636              380172.266666667012032
 35                7889.536000000006425                2554.093084424290737                9510.399999999999636                9510.399999999999636              394476.800000000337604
 36                8001.461333333340008                2756.483068512079171                9510.399999999999636                9510.399999999999636              400073.066666667000391
 37                8342.522666666673103                2684.599492028061377                9510.399999999999636                9510.399999999999636              417126.133333333651535
 38                9247.872000000008484                1039.332947431186540                9510.399999999999636                9510.399999999999636              462393.600000000442378
 39                8712.954666666673802                2301.377574292405825                9510.399999999999636                9510.399999999999636              435647.733333333686460
 40                8864.309333333339964                2090.802866556715799                9510.399999999999636                9510.399999999999636              443215.466666667023674
 41                8385.338666666671998                2553.785682188176452                9510.399999999999636                9510.399999999999636              419266.933333333639894
 42                8839.477333333341448                2107.864074865465682                9510.399999999999636                9510.399999999999636              441973.866666667046957
 43                9252.304000000007363                1284.870283407627994                9510.399999999999636                9510.399999999999636              462615.200000000360887
 44                8783.152000000007320                2280.400786724999307                9510.399999999999636                9510.399999999999636              439157.600000000325963
 45                8715.568000000006577                2299.735326461720433                9510.399999999999636                9510.399999999999636              435778.400000000372529
 46                9053.984000000007654                1667.857983325917985                9510.399999999999636                9510.399999999999636              452699.200000000419095
 47                8991.365333333342278                1862.882972801505275                9510.399999999999636                9510.399999999999636              449568.266666667070240
 48                9320.725333333341041                1327.722666666666782                9510.399999999999636                9510.399999999999636              466036.266666667070240
 49                8894.106666666673846                2175.558509624599992                9510.399999999999636                9510.399999999999636              444705.333333333721384
