# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  64.033333333333275                 166.175343805538063                  32.833333333333336                 890.166666666664241                3201.666666666663787
  1                  42.037333333333308                 109.676334455321339                  24.500000000000000                 787.766666666665401                2101.866666666665424
  2                  57.272666666666616                 106.491429950437038                  32.833333333333336                 539.333333333331780                2863.633333333330938
  3                 103.187333333333186                 224.082274562020331                  14.333333333333332                 953.366666666664173                5159.366666666659512
  4                 185.190666666666374                 333.339018220855905                  43.500000000000000                1199.599999999997635                9259.533333333318296
  5                 166.443333333333243                 329.130520226314559                  23.333333333333332                1662.233333333335395                8322.166666666662422
  6                 100.455333333333257                 187.264895993764554                  34.500000000000000                 874.633333333331507                5022.766666666662786
  7                 113.375333333333217                 208.976011681298303                  33.000000000000000                1018.233333333331757                5668.766666666660967
  8                  82.300666666666643                 139.194107871785263                  39.500000000000000                 557.133333333333667                4115.033333333331939
  9                  50.393333333333302                 108.994795390523976                  48.499999999999993                 787.766666666665401                2519.666666666665151
 10                 194.764666666666642                 425.284506832256341                  48.499999999999993                1728.400000000002137                9738.233333333331757
 11                 158.778666666666624                 367.861714703893654                  42.700000000000003                1548.466666666668061                7938.933333333330665
 12                  81.703333333333262                 120.488765220847043                  47.333333333333336                 436.599999999999000                4085.166666666662877
 13                 108.675333333333342                 211.813490474783293                  51.766666666666659                 794.700000000001069                5433.766666666667334
 14                 140.913999999999874                 285.308154191996721                  50.666666666666664                1583.466666666663286                7045.699999999994361
 15                 174.225333333333282                 321.422800792559485                  50.333333333333329                1622.766666666668698                8711.266666666664605
 16                  95.359333333333240                 198.368083822865572                  49.000000000000000                 929.166666666664241                4767.966666666661695
 17                  68.589333333333300                 116.010768166867294                  39.500000000000000                 532.799999999999045                3429.466666666665333
 18                 130.963333333333225                 219.133070809091095                  50.033333333333331                 882.699999999998226                6548.166666666661513
 19                 176.070666666666341                 268.805355819658189                  53.933333333333316                 910.666666666664469                8803.533333333316477
 20                 150.221333333333376                 294.360499747428150                  65.399999999999977                1795.533333333335577                7511.066666666668425
 21                 250.947333333333290                 436.541274520010688                  62.299999999999983                1697.400000000001000               12547.366666666664969
 22                 317.233999999999810                 444.013710473499145                  73.199999999999989                1548.466666666668061               15861.699999999989814
 23                 242.934000000000026                 408.569688411223751                  67.833333333333314                1548.466666666668061               12146.700000000000728
 24                 345.176666666666335                 488.183565167857410                  66.833333333333314                1583.466666666663286               17258.833333333317569
 25                 279.953333333333035                 420.842178758524653                  57.999999999999986                1548.466666666668061               13997.666666666651508
 26                 434.747333333333245                 477.864999722259881                  95.600000000000037                1730.966666666664878               21737.366666666661331
 27                 368.522666666666169                 541.060754708952800                  71.866666666666632                2112.866666666660876               18426.133333333309565
 28                 225.705333333333044                 338.606224813818812                  64.699999999999974                1334.066666666667970               11285.266666666651872
 29                 356.428666666666459                 441.625559446008538                  85.200000000000017                1334.066666666667970               17821.433333333323390
 30                 224.843333333332907                 285.811832446920050                  67.866666666666646                 911.499999999997840               11242.166666666646051
 31                 193.789999999999708                 280.129151821083553                  74.033333333333331                 911.499999999997840                9689.499999999985448
 32                 235.959333333333007                 371.505245322024336                  66.799999999999983                1707.533333333335804               11797.966666666650781
 33                 186.367333333333079                 277.232192013200745                  67.699999999999989                1012.966666666667152                9318.366666666654055
 34                 206.625333333333288                 348.950762305769672                  71.866666666666660                1707.533333333335804               10331.266666666664605
 35                 269.172666666666316                 351.713850464328459                  78.933333333333323                1255.533333333330802               13458.633333333316841
 36                 200.791333333333057                 299.519517658235316                  71.599999999999980                1199.599999999997635               10039.566666666652964
 37                 131.734666666666556                 225.370929699856276                  61.533333333333317                 911.499999999997840                6586.733333333327209
 38                 111.295333333333204                 199.737696771429114                  64.799999999999997                 864.533333333331370                5564.766666666660058
 39                 179.733999999999753                 326.629687259984507                  65.433333333333323                1572.033333333333303                8986.699999999987995
 40                 124.495999999999839                 205.696414017248742                  60.599999999999980                 864.533333333331370                6224.799999999991996
 41                 183.899999999999864                 292.510026570790160                  74.233333333333320                1580.633333333334576                9194.999999999992724
 42                 118.379999999999910                 182.030017671078667                  67.599999999999980                 916.233333333332212                5918.999999999995453
 43                 208.347999999999701                 281.580890462718514                  70.033333333333331                 953.166666666666060               10417.399999999985084
 44                 124.858666666666636                 170.690282032822125                  64.799999999999997                 787.766666666665401                6242.933333333331575
 45                 120.576666666666483                 302.383521762236285                  65.533333333333303                2112.866666666660876                6028.833333333323935
 46                 134.206666666666592                 257.850649278479125                  63.933333333333323                1263.666666666667879                6710.333333333329392
 47                 108.644666666666595                 190.203549868730221                  67.466666666666640                 910.666666666664469                5432.233333333329938
 48                 106.159333333333237                 159.396623314297045                  67.466666666666640                 864.533333333331370                5307.966666666661695
 49                  77.221333333333263                 105.832557217101495                  60.733333333333320                 503.399999999998784                3861.066666666663423
