# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 108.059170068027257                 293.390897614568075                  30.316326530612244                2015.333333333334622                5402.958503401362577
  1                 156.251153963881194                 380.077177090971304                  24.825017855320887                2194.745679012342407                7812.557698194059412
  2                 152.130279163517145                 424.949845770099387                  16.244268077601411                2195.199999999996635                7606.513958175856715
  3                 159.026722222222077                 404.597220731594859                  61.027777777777779                2507.166666666661513                7951.336111111104401
  4                 136.394579440599841                 285.704952762533082                  56.206999711649367                1493.482352941177396                6819.728972029991382
  5                 121.034140000000065                 264.408411799794010                  68.617666666666665                1557.240000000001601                6051.707000000003063
  6                 200.694535178777215                 399.869819722533350                 156.742329873125698                2837.137254901955657               10034.726758938861167
  7                 318.892370370370315                 451.851255954925421                 178.493827160493822                1745.599999999996953               15944.618518518514975
  8                 146.697152777777745                 384.651180877541435                  53.127083333333324                2482.500000000000000                7334.857638888886868
  9                 146.943835555555466                 322.436036416511172                  69.888888888888886                2207.186666666666497                7347.191777777773495
 10                 159.179407713498591                 359.986518417711864                  70.399035812672167                2259.375757575757689                7958.970385674929275
 11                 205.083030303030199                 459.207393199640933                 130.390771349862234                3271.630303030300638               10254.151515151510466
 12                 166.913493074792285                 229.184635021412845                 128.058956602031373                1583.943859649124306                8345.674653739613859
 13                 157.345444444444468                 288.130623053708405                  69.106172839506158                1485.150000000001455                7867.272222222222808
 14                 143.994638098153303                 254.838611151070751                  98.315600448933793                1571.745454545455914                7199.731904907665012
 15                 398.023174637036789                 633.185962721073906                 153.829119999999989                2725.985659259256408               19901.158731851839548
 16                 141.224486913580279                 216.188676284991601                 105.448271604938270                1253.706666666668070                7061.224345679013823
 17                 149.348308148148163                 237.501434915532826                 106.201728395061721                1313.130000000001473                7467.415407407408566
 18                 194.138835333333276                 356.583219649631928                 102.094666666666669                1489.040000000000646                9706.941766666663170
 19                 174.028119868142312                 311.304806189514466                 104.840046296296279                1426.805128205129222                8701.405993407115602
 20                 153.523031003655234                 280.419424069620902                 101.143231162196670                1629.924137931035602                7676.151550182761639
 21                 169.515986111111118                 214.366527306200794                 111.997145061728418                 960.529166666666015                8475.799305555556202
 22                 210.864898341049383                 311.319049773122174                 110.074189814814815                1386.273934220677347               10543.244917052468736
 23                 165.698901026178305                 195.472083524639913                 106.140127793974742                 837.768333333333885                8284.945051308915936
 24                 302.809629866666683                 389.775152731746175                 186.144000000000005                1660.528639999997267               15140.481493333334583
 25                 190.027968888888950                 258.732416865217317                 116.331066666666658                1374.411555555554742                9501.398444444446795
 26                 163.317803604224139                 261.753171269123811                 113.175378787878770                1568.833333333334394                8165.890180211206825
 27                 235.558833506763762                 434.720611631439851                 127.369354838709654                2405.339784946238524               11777.941675338188361
 28                 225.011620740740653                 412.666533788413005                 105.576296296296306                2149.346666666664532               11250.581037037032729
 29                 238.508570312499870                 307.063883121391257                 125.837499999999977                1560.104166666668107               11925.428515624993452
 30                 270.356422813998563                 301.161771926681240                 195.756285072951783                1587.567743087437520               13517.821140699927128
 31                 196.879913444727890                 271.558500232470749                 103.413204761904737                1382.846391496596880                9843.995672236394967
 32                 157.795555201188847                 313.276292844756256                  50.327250800182895                1716.448750000001837                7889.777760059441789
 33                 218.634486282578877                 319.693395082315192                 124.011145404663964                1969.155555555557385               10931.724314128943661
 34                 180.403714632116674                 217.416267318597932                 115.483191287878768                 875.592424242424840                9020.185731605834007
 35                 240.147271124925140                 318.639491564942091                 125.261932944055616                1562.438633860406753               12007.363556246256849
 36                 211.508826873034593                 209.157769981804080                 121.447690238886253                1283.560803439044776               10575.441343651729767
 37                 163.022734264625058                 280.169257913900935                  37.631122215690127                1439.703664511073157                8151.136713231252543
 38                 192.088261694512681                 161.678281316039545                 128.529198668259227                 606.748717948718195                9604.413084725634690
 39                 185.533080584118949                 150.589882125708527                 124.757342211588352                 542.698039215686663                9276.654029205947154
 40                 182.525087487492442                 163.381233919092324                 120.324567541302187                 747.129047619046787                9126.254374374622785
 41                 202.292921214916390                 253.319234341655630                 121.618368559430110                1517.837556950094495               10114.646060745819341
 42                 225.101459128480741                 223.269370858912993                 134.152094001236833                1353.079403906544030               11255.072956424037329
 43                 191.902578001213783                 163.037074287808139                 120.305562979820934                 597.561538461538817                9595.128900060688466
 44                 180.412012175284843                 171.076678433205416                 116.696767456904226                 693.912121212120724                9020.600608764241770
 45                 177.029885678915491                 157.582947025770409                 116.374592843853023                 694.505494505494312                8851.494283945774441
 46                 192.967601987997142                 157.739969360852740                 121.977231544699009                 587.162051282050356                9648.380099399857500
 47                 150.445834656084799                 256.162948130297536                  44.248335537918884                1630.357297178132285                7522.291732804239473
 48                 126.778769371136846                 128.964544859521226                  49.045169323010533                 678.602537485582388                6338.938468556842054
 49                 150.926065294746195                 218.753768642970385                  55.583340976987280                1302.663376623377189                7546.303264737310201
