# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 156.954000000000036                 243.466741957819806                  33.500000000000000                1382.466666666667606                7847.700000000001637
  1                 208.071333333333286                 361.710716212094724                  31.500000000000000                2012.399999999997817               10403.566666666663878
  2                 197.030666666666576                 406.941304740622002                  10.000000000000000                2012.399999999997817                9851.533333333329210
  3                 151.044000000000011                 209.159942993128737                  39.666666666666671                 928.066666666665355                7552.200000000000728
  4                 240.611333333333448                 333.605291498801080                 137.166666666666657                1595.800000000000864               12030.566666666672972
  5                 207.956000000000046                 232.464667942846376                 126.833333333333343                1030.866666666667470               10397.800000000002910
  6                 232.201333333333253                 290.281694677581640                 165.400000000000063                1784.766666666664150               11610.066666666662059
  7                 220.745333333333321                 186.252873476417051                 167.733333333333348                 632.033333333333417               11037.266666666666424
  8                 189.511999999999972                 300.726573319426507                 124.533333333333331                1579.600000000000136                9475.599999999998545
  9                 206.920666666666619                 249.267726474523357                 142.066666666666663                1567.433333333333849               10346.033333333331029
 10                 200.174666666666667                 280.304515963145548                 129.699999999999989                1567.433333333333849               10008.733333333333576
 11                 197.482666666666603                 266.472620585638595                 135.566666666666663                1626.366666666664969                9874.133333333329574
 12                 222.867333333333420                 208.518551638297652                 141.599999999999994                1044.033333333334213               11143.366666666670426
 13                 224.881333333333345                 229.716816117390806                 133.699999999999989                1044.033333333334213               11244.066666666667516
 14                 282.618000000000052                 253.964046992657899                 274.766666666666652                1310.300000000000864               14130.900000000001455
 15                 319.953333333333376                 224.687653322463404                 343.099999999999966                 943.933333333332371               15997.666666666669698
 16                 311.878666666666788                 256.458383607685448                 334.866666666666617                1331.533333333334667               15593.933333333339760
 17                 328.899333333333345                 269.850724454177680                 351.866666666666674                1373.100000000001501               16444.966666666667152
 18                 317.744000000000085                 345.236801079426755                 320.966666666666640                1427.100000000000819               15887.200000000004366
 19                 315.769999999999868                 307.926039694960195                 324.133333333333269                1342.866666666667697               15788.499999999994543
 20                 321.453333333333262                 350.464332754894087                 342.799999999999955                1528.000000000000682               16072.666666666664241
 21                 425.233999999999924                 373.109861717251590                 406.800000000000125                1527.066666666665242               21261.699999999997090
 22                 447.658000000000186                 395.157258699200327                 398.666666666666686                1468.033333333332166               22382.900000000008731
 23                 419.759333333333473                 368.825627290488399                 389.100000000000023                1385.966666666665787               20987.966666666674428
 24                 351.719333333333395                 349.000223883404942                 349.533333333333303                1451.133333333334349               17585.966666666670790
 25                 400.082000000000107                 295.235969143327793                 384.500000000000000                1147.833333333334394               20004.100000000005821
 26                 379.063999999999965                 277.720098967767854                 370.533333333333360                1356.233333333334258               18953.199999999997090
 27                 358.246666666666727                 243.905300657630050                 371.666666666666629                1364.433333333334303               17912.333333333335759
 28                 370.198666666666782                 305.425922130609706                 404.133333333333439                1771.366666666665424               18509.933333333337941
 29                 379.817333333333295                 215.384881161350052                 406.233333333333292                1090.100000000001046               18990.866666666664969
 30                 405.982666666666773                 323.602153422309129                 369.300000000000011                1360.133333333333894               20299.133333333338669
 31                 469.357333333333600                 384.972587078324352                 385.566666666666720                1532.266666666667788               23467.866666666679521
 32                 496.419333333333441                 470.124728560410858                 383.966666666666697                1832.499999999998408               24820.966666666670790
 33                 359.504666666666765                 281.859884182824999                 363.299999999999955                1348.833333333334394               17975.233333333337214
 34                 450.337333333333504                 399.739589768695055                 385.900000000000091                1403.366666666666788               22516.866666666675883
 35                 569.162666666666610                 438.845165336882246                 448.333333333333542                1812.766666666663241               28458.133333333331393
 36                 618.462666666667019                 388.792224695916673                 448.333333333333542                1522.733333333334031               30923.133333333349583
 37                 755.066666666666833                 511.169880915881095                 523.966666666667038                1993.000000000001819               37753.333333333343035
 38                 627.697333333333404                 431.255554854530658                 476.900000000000091                1628.133333333333894               31384.866666666672245
 39                 646.020666666666898                 465.330614504473829                 460.300000000000239                1555.933333333333394               32301.033333333343762
 40                 581.911333333333459                 444.090265279481059                 441.200000000000159                1886.533333333331257               29095.566666666672972
 41                 488.035333333333483                 354.218150385700540                 403.066666666666720                1414.200000000001410               24401.766666666673700
 42                 691.823999999999842                 404.119213711333941                 592.400000000000546                1691.500000000000909               34591.199999999989814
 43                 654.684666666666658                 450.198003806720237                 456.033333333333587                1720.699999999997999               32734.233333333333576
 44                 571.106666666666683                 442.195151337807602                 453.166666666666856                1728.999999999998181               28555.333333333332121
 45                 546.289333333333389                 410.960331821292414                 447.366666666666731                1701.799999999999727               27314.466666666667152
 46                 696.712666666666792                 501.932725899043589                 462.866666666666845                1903.566666666663423               34835.633333333338669
 47                 621.173333333333630                 457.968864249768103                 425.400000000000148                1657.666666666667652               31058.666666666678793
 48                 749.333333333333258                 435.191786687203034                 840.300000000000409                1575.600000000000136               37466.666666666664241
 49                 771.757999999999583                 445.235972830887192                 813.966666666666356                1882.500000000000909               38587.899999999979627
