# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 287.901333333333582                 459.597500281376028                 198.399999999999977                2023.600000000002410               14395.066666666678429
  1                 565.021333333333700                 672.351281524109481                 282.666666666666629                2496.400000000003274               28251.066666666687524
  2                 582.688000000000443                 648.477733011362943                 335.866666666666731                2534.400000000003729               29134.400000000023283
  3                 738.114666666667176                 755.370314133259285                 357.866666666666845                3135.200000000002092               36905.733333333359042
  4                1036.245333333334202                1024.310940416044787                 431.333333333333599                3394.000000000001819               51812.266666666706442
  5                 994.360000000001037                 947.710407619918897                 430.533333333333644                3495.600000000000819               49718.000000000050932
  6                 901.210666666666953                 878.289776869166531                 405.466666666666924                3613.199999999999818               45060.533333333347400
  7                 971.309333333333939                 889.394045180076091                 453.733333333333576                3613.199999999999818               48565.466666666696256
  8                1189.853333333334376                1008.871511871887606                 772.133333333333894                3613.199999999999818               59492.666666666722449
  9                1387.594666666667536                1152.521278036598233                1217.333333333334394                3613.199999999999818               69379.733333333380870
 10                1663.981333333334533                1265.946436643967218                1712.133333333335486                4340.399999999995998               83199.066666666723904
 11                1520.424000000000888                1176.198647376652843                1426.133333333335258                4340.399999999995998               76021.200000000040745
 12                1928.261333333334278                1216.852695172810854                1722.533333333335577                4340.399999999995998               96413.066666666709352
 13                1769.146666666668580                1199.006372626935217                1722.533333333335577                4340.399999999995998               88457.333333333430346
 14                1664.568000000001348                1131.993336709089817                1497.600000000000364                4340.399999999995998               83228.400000000066939
 15                1918.661333333334369                1092.618915518733729                2089.200000000001637                4340.399999999995998               95933.066666666723904
 16                1984.504000000001952                1097.832620406428759                2219.866666666669062                4340.399999999995998               99225.200000000098953
 17                1949.330666666668549                1089.863790385243874                2324.400000000003274                3577.199999999999818               97466.533333333427436
 18                1963.514666666668290                1102.094672040676414                2253.733333333335395                3577.199999999999818               98175.733333333409973
 19                2082.232000000001335                 992.326311854232472                2446.000000000003638                3613.199999999999818              104111.600000000064028
 20                1848.210666666668203                1040.400850985171019                2107.866666666668607                3613.199999999999818               92410.533333333412884
 21                1822.714666666668109                1069.651931510849181                2298.800000000002910                3613.199999999999818               91135.733333333409973
 22                1942.506666666669162                1091.304805980234505                2391.733333333334940                3613.199999999999818               97125.333333333459450
 23                2175.586666666668862                1016.604876198767556                2596.933333333333849                4340.399999999995998              108779.333333333444898
 24                2091.485333333334438                1102.486773237061470                2443.200000000003456                4340.399999999995998              104574.266666666720994
 25                2096.296000000001641                1148.463825863633929                2637.199999999999818                3613.199999999999818              104814.800000000090222
 26                1922.845333333334111                1132.951071097267914                2391.733333333334940                3573.600000000000364               96142.266666666706442
 27                1973.229333333334580                1139.821843479449626                2537.600000000000819                3573.600000000000364               98661.466666666732635
 28                1879.912000000002081                1149.910998406399585                1832.133333333335941                3266.400000000003274               93995.600000000107684
 29                2031.242666666668129                1112.477708881097215                2224.800000000002910                3573.600000000000364              101562.133333333404153
 30                2298.645333333335202                1064.434467139137041                3009.200000000003001                3372.400000000002365              114932.266666666750098
 31                2671.605333333334329                 829.667451221271563                3009.200000000003001                3372.400000000002365              133580.266666666720994
 32                2619.730666666668185                 892.075527441234385                3009.200000000003001                3573.600000000000364              130986.533333333412884
 33                2773.416000000001532                 795.397948038591039                3009.200000000003001                3573.600000000000364              138670.800000000075670
 34                2921.605333333335693                 565.792651119157654                3009.200000000003001                3573.600000000000364              146080.266666666779201
 35                2895.781333333334715                 619.709098642617164                3009.200000000003001                3573.600000000000364              144789.066666666738456
 36                3085.544000000002598                 121.061016285176819                3135.200000000002092                3573.600000000000364              154277.200000000128057
 37                3016.344000000001415                 387.047656063178238                3009.200000000003001                3135.200000000002092              150817.200000000069849
 38                3064.640000000002146                  62.544755175793462                3009.200000000003001                3135.200000000002092              153232.000000000116415
 39                3062.120000000002165                  62.188371903435005                3009.200000000003001                3135.200000000002092              153106.000000000116415
 40                3059.600000000001728                  61.727141518135625                3009.200000000003001                3135.200000000002092              152980.000000000087311
 41                3052.040000000001783                  59.687305182927709                3009.200000000003001                3135.200000000002092              152602.000000000087311
 42                3052.040000000001783                  59.687305182927709                3009.200000000003001                3135.200000000002092              152602.000000000087311
 43                3041.960000000001855                  55.267914742642112                3009.200000000003001                3135.200000000002092              152098.000000000087311
 44                3047.000000000001819                  57.740453756443159                3009.200000000003001                3135.200000000002092              152350.000000000087311
 45                3010.282666666668774                 304.270294620497737                3009.200000000003001                3135.200000000002092              150514.133333333447808
 46                3052.040000000002237                  59.687305182927702                3009.200000000003001                3135.200000000002092              152602.000000000116415
 47                3044.480000000001837                  56.573859688021585                3009.200000000003001                3135.200000000002092              152224.000000000087311
 48                3054.560000000001764                  60.479999999999592                3009.200000000003001                3135.200000000002092              152728.000000000087311
 49                3059.600000000002183                  61.727141518135639                3009.200000000003001                3135.200000000002092              152980.000000000116415
