# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  95.967111111111166                 153.199166760458667                  66.133333333333326                 674.533333333334099                4798.355555555558567
  1                 188.340444444444586                 224.117093841369780                  94.222222222222214                 832.133333333334463                9417.022222222229175
  2                 194.229333333333443                 216.159244337121038                 111.955555555555577                 844.800000000001205                9711.466666666672609
  3                 246.038222222222402                 251.790104711086400                 119.288888888888948                1045.066666666667288               12301.911111111119681
  4                 345.415111111111457                 341.436980138681633                 143.777777777777857                1131.333333333333940               17270.755555555573665
  5                 331.453333333333603                 315.903469206639670                 143.511111111111205                1165.200000000000273               16572.666666666678793
  6                 300.403555555555783                 292.763258956388825                 135.155555555555651                1204.399999999999864               15020.177777777787924
  7                 323.769777777777961                 296.464681726692049                 151.244444444444525                1204.399999999999864               16188.488888888898146
  8                 396.617777777778201                 336.290503957295925                 257.377777777777965                1204.399999999999864               19830.888888888908696
  9                 462.531555555555826                 384.173759345532801                 405.777777777778113                1204.399999999999864               23126.577777777791198
 10                 554.660444444444920                 421.982145547989035                 570.711111111111791                1446.799999999998590               27733.022222222247365
 11                 506.808000000000220                 392.066215792217577                 475.377777777778419                1446.799999999998590               25340.400000000012369
 12                 642.753777777778282                 405.617565057603599                 574.177777777778488                1446.799999999998590               32137.688888888915244
 13                 589.715555555556080                 399.668790875645016                 574.177777777778488                1446.799999999998590               29485.777777777802839
 14                 554.856000000000449                 377.331112236363310                 499.200000000000102                1446.799999999998590               27742.800000000021100
 15                 639.553777777778237                 364.206305172911186                 696.400000000000546                1446.799999999998590               31977.688888888911606
 16                 661.501333333333719                 365.944206802142844                 739.955555555556316                1446.799999999998590               33075.066666666687524
 17                 649.776888888889630                 363.287930128414530                 774.800000000001091                1192.399999999999864               32488.844444444483088
 18                 654.504888888889241                 367.364890680225415                 751.244444444445094                1192.399999999999864               32725.244444444462715
 19                 694.077333333333854                 330.775437284744157                 815.333333333334508                1204.399999999999864               34703.866666666690435
 20                 616.070222222222696                 346.800283661723654                 702.622222222222831                1204.399999999999864               30803.511111111132777
 21                 607.571555555556074                 356.550643836949746                 766.266666666667675                1204.399999999999864               30378.577777777802112
 22                 647.502222222222599                 363.768268660078093                 797.244444444444980                1204.399999999999864               32375.111111111131322
 23                 725.195555555555870                 338.868292066255947                 865.644444444444616                1446.799999999998590               36259.777777777795563
 24                 697.161777777778298                 367.495591079020414                 814.400000000001114                1446.799999999998590               34858.088888888916699
 25                 698.765333333333956                 382.821275287877938                 879.066666666666606                1204.399999999999864               34938.266666666699166
 26                 640.948444444445158                 377.650357032422562                 797.244444444444980                1191.200000000000045               32047.422222222259734
 27                 657.743111111111602                 379.940614493149894                 845.866666666666902                1191.200000000000045               32887.155555555582396
 28                 626.637333333333913                 383.303666135466528                 610.711111111112018                1088.800000000001091               31331.866666666697711
 29                 677.080888888889490                 370.825902960365568                 741.600000000000932                1191.200000000000045               33854.044444444472902
 30                 766.215111111111469                 354.811489046379165                1003.066666666667629                1124.133333333334122               38310.755555555573665
 31                 890.535111111111291                 276.555817073757225                1003.066666666667629                1124.133333333334122               44526.755555555566389
 32                 873.243555555556100                 297.358509147078109                1003.066666666667629                1191.200000000000045               43662.177777777804295
 33                 924.472000000000435                 265.132649346197013                1003.066666666667629                1191.200000000000045               46223.600000000020373
 34                 973.868444444444663                 188.597550373052542                1003.066666666667629                1191.200000000000045               48693.422222222230630
 35                 965.260444444444602                 206.569699547539017                1003.066666666667629                1191.200000000000045               48263.022222222229175
 36                1028.514666666666699                  40.353672095058926                1045.066666666667288                1191.200000000000045               51425.733333333337214
 37                1005.448000000000320                 129.015885354392680                1003.066666666667629                1045.066666666667288               50272.400000000016007
 38                1021.546666666666965                  20.848251725264465                1003.066666666667629                1045.066666666667288               51077.333333333350311
 39                1020.706666666667047                  20.729457301144986                1003.066666666667629                1045.066666666667288               51035.333333333350311
 40                1019.866666666667243                  20.575713839378530                1003.066666666667629                1045.066666666667288               50993.333333333364862
 41                1017.346666666667147                  19.895768394309215                1003.066666666667629                1045.066666666667288               50867.333333333357587
 42                1017.346666666667147                  19.895768394309215                1003.066666666667629                1045.066666666667288               50867.333333333357587
 43                1013.986666666667134                  18.422638247547351                1003.066666666667629                1045.066666666667288               50699.333333333357587
 44                1015.666666666666970                  19.246817918814376                1003.066666666667629                1045.066666666667288               50783.333333333350311
 45                1003.427555555556069                 101.423431540165936                1003.066666666667629                1045.066666666667288               50171.377777777801384
 46                1017.346666666667147                  19.895768394309215                1003.066666666667629                1045.066666666667288               50867.333333333357587
 47                1014.826666666667165                  18.857953229340513                1003.066666666667629                1045.066666666667288               50741.333333333357587
 48                1018.186666666666952                  20.159999999999847                1003.066666666667629                1045.066666666667288               50909.333333333350311
 49                1019.866666666667015                  20.575713839378537                1003.066666666667629                1045.066666666667288               50993.333333333350311
