# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1488.512000000001080                2106.336496677058221                 458.266666666666652               10369.999999999998181               74425.600000000049477
  1                2224.229333333334580                2331.027358671042293                 831.066666666666833                7761.199999999998909              111211.466666666732635
  2                2413.301333333336061                2236.004872594176504                2418.666666666668789                7987.200000000010732              120665.066666666796664
  3                3145.120000000003529                2461.609392102836409                3377.066666666670699               10167.999999999998181              157256.000000000174623
  4                4084.554666666670073                2738.901398491007967                3357.333333333337578               11550.399999999985084              204227.733333333511837
  5                5439.936000000007880                2725.734966653462834                6003.200000000008004               10451.199999999995271              271996.800000000395812
  6                6035.381333333339171                2329.242682267350574                6515.200000000010732               11411.199999999982538              301769.066666666942183
  7                5478.016000000006898                2737.882447490642789                6278.400000000007822                9552.000000000001819              273900.800000000337604
  8                4998.506666666670753                2878.354103518961892                4162.133333333339579                9540.799999999997453              249925.333333333517658
  9                4859.552000000006956                2821.891153646673501                5141.066666666674791                9911.999999999996362              242977.600000000355067
 10                5327.050666666673351                3324.225011626286687                6502.400000000009641               12988.799999999981083              266352.533333333674818
 11                6141.248000000001412                2956.139001363924308                6380.800000000009277               10051.199999999995271              307062.400000000081491
 12                4791.557333333335919                3132.070696002457680                4884.800000000007458               15802.400000000001455              239577.866666666785022
 13                6479.125333333341587                1961.608559009787541                6870.400000000008731                8953.600000000005821              323956.266666667070240
 14                5600.426666666671736                2209.663420282224706                5658.800000000007458                9958.399999999994179              280021.333333333604969
 15                5887.485333333340350                2311.323167059269053                5775.600000000008549               10852.799999999991996              294374.266666667012032
 16                4138.471111111113714                2477.026833967997845                4716.266666666674610                9753.599999999978536              206923.555555555678438
 17                4255.027555555559957                1066.499469179057314                4408.266666666672791                7136.800000000005639              212751.377777778019663
 18                6854.213333333339506                1853.022399432883276                7160.800000000011096               10125.599999999993088              342710.666666666977108
 19                6296.994666666669218                1951.057947944710349                7284.800000000010186                8537.200000000009823              314849.733333333453629
 20                6051.541333333336297                2447.549245960670760                5158.400000000005093               11550.399999999985084              302577.066666666825768
 21                8103.872000000003936                2259.770417280469701                7132.800000000010186               12547.199999999975262              405193.600000000209548
 22                7798.080000000007203                2211.498422698958620                7424.000000000012733               11644.799999999981083              389904.000000000349246
 23                4765.344000000000960                2584.499992058983025                4812.800000000006548               14339.999999999985448              238267.200000000069849
 24                3417.831111111112023                2161.675155385827566                3986.133333333339579                8915.999999999979991              170891.555555555591127
 25                4043.879111111116345                1145.150011060066845                4184.177777777784286                6140.266666666672791              202193.955555555818137
 26                6766.122666666671648                2284.961206861946266                7550.400000000012369               10125.599999999993088              338306.133333333593328
 27                6415.488000000004831                2114.407524661434763                6703.199999999999818                8990.000000000007276              320774.400000000256114
 28                6886.953333333332921                2111.644467433949558                6684.800000000009277               10103.133333333329574              344347.666666666627862
 29                9359.311999999998079                2317.906061999913163                9820.799999999999272               11707.199999999982538              467965.599999999860302
 30                8034.218666666668469                3226.672892749912535               10151.999999999998181               10655.999999999996362              401710.933333333407063
 31                9664.565333333319359                2722.993200472671560               11046.399999999986903               11550.399999999985084              483228.266666665964294
 32               11103.743999999989683                2174.211202635093287               12335.999999999972715               12543.999999999972715              555187.199999999487773
 33               10085.024000000003070                1252.520306351953423               10547.199999999995271               11644.799999999981083              504251.200000000128057
 34                9893.482666666663135                1380.692080922380683               10151.999999999998181               10655.999999999996362              494674.133333333185874
 35               10696.746666666645979                1772.364618819849284               11046.399999999986903               11550.399999999985084              534837.333333332324401
 36               12229.887999999986278                 519.840511172411993               12335.999999999972715               12335.999999999972715              611494.399999999324791
 37               11356.127999999978783                 598.303999999995654               11441.599999999982174               11441.599999999982174              567806.399999998975545
 38               11268.159999999981665                 250.179020703174757               11046.399999999986903               11550.399999999985084              563407.999999999068677
 39               12335.999999999989086                   0.000000000016371               12335.999999999972715               12335.999999999972715              616799.999999999417923
 40               11441.599999999978536                   0.000000000003638               11441.599999999982174               11441.599999999982174              572079.999999998952262
 41               11217.759999999982028                 238.749220731711716               11046.399999999986903               11550.399999999985084              560887.999999999068677
 42               12335.999999999989086                   0.000000000016371               12335.999999999972715               12335.999999999972715              616799.999999999417923
 43               12335.999999999989086                   0.000000000016371               12335.999999999972715               12335.999999999972715              616799.999999999417923
 44               12335.999999999989086                   0.000000000016371               12335.999999999972715               12335.999999999972715              616799.999999999417923
 45               12292.543999999987136                 304.191999999996881               12335.999999999972715               12335.999999999972715              614627.199999999371357
 46               11441.599999999978536                   0.000000000003638               11441.599999999982174               11441.599999999982174              572079.999999998952262
 47               11187.519999999982247                 226.295438752087108               11046.399999999986903               11550.399999999985084              559375.999999999068677
 48               12335.999999999989086                   0.000000000016371               12335.999999999972715               12335.999999999972715              616799.999999999417923
 49               11441.599999999978536                   0.000000000003638               11441.599999999982174               11441.599999999982174              572079.999999998952262
