# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 221.647333333333449                 322.285113738338055                  64.499999999999986                1706.500000000000227               11082.366666666672245
  1                 278.028666666666822                 291.378419833880287                 103.883333333333354                 970.149999999999864               13901.433333333341579
  2                 301.662666666667008                 279.500609074272063                 302.333333333333599                 998.400000000001342               15083.133333333349583
  3                 393.140000000000441                 307.701174012854551                 422.133333333333837                1270.999999999999773               19657.000000000021828
  4                 510.569333333333759                 342.362674811375996                 419.666666666667197                1443.799999999998136               25528.466666666688980
  5                 679.992000000000985                 340.716870831682854                 750.400000000001000                1306.399999999999409               33999.600000000049477
  6                 754.422666666667396                 291.155335283418822                 814.400000000001342                1426.399999999997817               37721.133333333367773
  7                 684.752000000000862                 342.235305936330349                 784.800000000000978                1194.000000000000227               34237.600000000042201
  8                 624.813333333333844                 359.794262939870237                 520.266666666667447                1192.599999999999682               31240.666666666689707
  9                 607.444000000000869                 352.736394205834188                 642.633333333334349                1238.999999999999545               30372.200000000044383
 10                 665.881333333334169                 415.528126453285836                 812.800000000001205                1623.599999999997635               33294.066666666709352
 11                 767.656000000000176                 369.517375170490538                 797.600000000001160                1256.399999999999409               38382.800000000010186
 12                 836.106666666667593                 540.785334942515647                 816.200000000001296                3284.200000000000728               41805.333333333379414
 13                 809.890666666667698                 245.201069876223443                 858.800000000001091                1119.200000000000728               40494.533333333383780
 14                 700.053333333333967                 276.207927535278088                 707.350000000000932                1244.799999999999272               35002.666666666700621
 15                 735.935666666667544                 288.915395882408632                 721.950000000001069                1356.599999999999000               36796.783333333376504
 16                 849.278666666667732                 467.485951054978386                 877.800000000001205                2581.266666666666879               42463.933333333385235
 17                 983.890666666667698                 527.469393784659133                 979.200000000001751                2938.000000000000909               49194.533333333383780
 18                 856.776666666667438                 231.627799929110409                 895.100000000001387                1265.699999999999136               42838.833333333372138
 19                 787.124333333333652                 243.882243493088794                 910.600000000001273                1067.150000000001228               39356.216666666681704
 20                 756.442666666667037                 305.943655745083845                 644.800000000000637                1443.799999999998136               37822.133333333353221
 21                1012.984000000000492                 282.471302160058713                 891.600000000001273                1568.399999999996908               50649.200000000026193
 22                 974.760000000000900                 276.437302837369828                 928.000000000001592                1455.599999999997635               48738.000000000043656
 23                 864.568000000000325                 398.804438455184993                 843.200000000001182                2575.199999999998909               43228.400000000016007
 24                 944.846666666667261                 643.972338708909206                 867.800000000001319                3057.800000000001546               47242.333333333364862
 25                1129.972000000001344                 746.134013115010816                1018.800000000001205                2938.000000000000909               56498.600000000064028
 26                 845.765333333333956                 285.620150857743283                 943.800000000001546                1265.699999999999136               42288.266666666699166
 27                 801.936000000000604                 264.300940582679345                 837.899999999999977                1123.750000000000909               40096.800000000032014
 28                1061.195666666666511                 330.953442727891513                1024.000000000001592                2056.016666666665515               53059.783333333325572
 29                1169.913999999999760                 289.738257749989145                1227.599999999999909                1463.399999999997817               58495.699999999982538
 30                1004.277333333333559                 403.334111593739067                1268.999999999999773                1331.999999999999545               50213.866666666675883
 31                1208.070666666664920                 340.374150059083945                1380.799999999998363                1443.799999999998136               60403.533333333245537
 32                1387.967999999998710                 271.776400329386661                1541.999999999996589                1567.999999999996589               69398.399999999935972
 33                1260.628000000000384                 156.565038293994178                1318.399999999999409                1455.599999999997635               63031.400000000016007
 34                1236.685333333332892                 172.586510115297585                1268.999999999999773                1331.999999999999545               61834.266666666648234
 35                1337.093333333330747                 221.545577352481160                1380.799999999998363                1443.799999999998136               66854.666666666540550
 36                1528.735999999998285                  64.980063896551499                1541.999999999996589                1541.999999999996589               76436.799999999915599
 37                1419.515999999997348                  74.787999999999457                1430.199999999997772                1430.199999999997772               70975.799999999871943
 38                1408.519999999997708                  31.272377587896845                1380.799999999998363                1443.799999999998136               70425.999999999883585
 39                1541.999999999998636                   0.000000000002046                1541.999999999996589                1541.999999999996589               77099.999999999927240
 40                1430.199999999997317                   0.000000000000455                1430.199999999997772                1430.199999999997772               71509.999999999869033
 41                1402.219999999997754                  29.843652591463965                1380.799999999998363                1443.799999999998136               70110.999999999883585
 42                1541.999999999998636                   0.000000000002046                1541.999999999996589                1541.999999999996589               77099.999999999927240
 43                1541.999999999998636                   0.000000000002046                1541.999999999996589                1541.999999999996589               77099.999999999927240
 44                1541.999999999998636                   0.000000000002046                1541.999999999996589                1541.999999999996589               77099.999999999927240
 45                1536.567999999998392                  38.023999999999610                1541.999999999996589                1541.999999999996589               76828.399999999921420
 46                1430.199999999997317                   0.000000000000455                1430.199999999997772                1430.199999999997772               71509.999999999869033
 47                1398.439999999997781                  28.286929844010889                1380.799999999998363                1443.799999999998136               69921.999999999883585
 48                1541.999999999998636                   0.000000000002046                1541.999999999996589                1541.999999999996589               77099.999999999927240
 49                1430.199999999997317                   0.000000000000455                1430.199999999997772                1430.199999999997772               71509.999999999869033
