# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1573.916666666666515                5171.942364587128395                 418.000000000000057               24038.399999999997817               31478.333333333332121
  1                1607.946666666663532                3963.500674549641644                 461.333333333333258               17081.066666666603851               32158.933333333272458
  2                 736.906666666666865                 784.084156027485164                 736.000000000000000                2914.933333333334303               14738.133333333336850
  3                1466.564444444444234                2007.425206458742650                 403.555555555555600                5920.000000000000000               29331.288888888884685
  4                2516.773333333332175                3169.519383292467865                 689.066666666666720               12292.533333333334667               50335.466666666645324
  5                2137.786666666664132                3745.435076439337990                 530.666666666666742               14486.933333333283372               42755.733333333286282
  6                2219.819999999997435                3231.224506323670539                 444.533333333333132               11014.666666666653327               44396.399999999950523
  7                3287.843809523806158                3584.497400006327553                2097.828571428572559               10028.342857142843059               65756.876190476119518
  8                2977.093333333330065                4834.646339447769606                1380.444444444444798               16892.799999999973807               59541.866666666603123
  9                2688.773333333331720                3566.092361998104934                1130.666666666666970               13850.133333333333212               53775.466666666630772
 10                3541.386666666661768                5449.972398246551165                 806.622222222223058               16976.399999999975989               70827.733333333235350
 11                4535.317777777770061                4752.869309380833329                3014.488888888889051               11966.044444444409237               90706.355555555404862
 12                4585.151111111108548                6007.712668262353873                5617.100000000000364               26276.133333333327755               91703.022222222163691
 13                5295.306666666665478                5286.915191078188400                4512.319999999995161               17885.760000000002037              105906.133333333302289
 14                6083.481666666665660                5305.061423285364981                7782.433333333332484               15669.299999999991996              121669.633333333316841
