# geneticDistance

  gen                   avg                                 stdDev                              median                              max                                 total

  0                   6.626315789473684                   1.443190141295844                   5.736842105263158                  10.421052631578947                 132.526315789473671
  1                  11.289473684210524                   2.772815203926265                  10.315789473684211                  18.631578947368421                 225.789473684210492
  2                  12.584210526315788                   4.270750224401373                  11.000000000000000                  24.210526315789473                 251.684210526315752
  3                  14.842105263157896                   3.602630617815411                  14.000000000000000                  25.842105263157894                 296.842105263157919
  4                  18.389473684210532                   5.636849476627939                  15.842105263157896                  30.105263157894736                 367.789473684210634
  5                  15.421052631578950                   6.117433423401574                  13.526315789473685                  38.578947368421055                 308.421052631579016
  6                  10.973684210526317                   3.741638878331910                  10.210526315789474                  25.052631578947370                 219.473684210526329
  7                  11.952631578947368                   4.881217889896195                  10.578947368421053                  28.736842105263158                 239.052631578947370
  8                  19.652631578947371                   6.292245590457918                  17.578947368421051                  38.315789473684212                 393.052631578947398
  9                  16.168421052631583                   4.303177979147692                  13.947368421052632                  28.315789473684209                 323.368421052631675
 10                  14.999999999999996                   3.045499836164429                  14.052631578947368                  22.631578947368421                 299.999999999999943
 11                  15.605263157894736                   2.166957860963414                  14.263157894736842                  19.315789473684209                 312.105263157894740
 12                  16.205263157894738                   2.693374450012074                  15.894736842105264                  24.947368421052630                 324.105263157894740
 13                  17.847368421052629                   4.453791686620697                  16.578947368421051                  29.631578947368421                 356.947368421052602
 14                  16.047368421052632                   5.581749544528072                  14.157894736842104                  31.789473684210527                 320.947368421052602
