# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 324.402500000000032                1085.312046810540096                  75.166666666666671                5038.800000000000182                6488.050000000000182
  1                 200.993333333332941                 495.437584318705206                  57.666666666666657                2135.133333333325481                4019.866666666659057
  2                 184.226666666666716                 196.021039006871291                 184.000000000000000                 728.733333333333576                3684.533333333334213
  3                 844.306666666666388                1304.056290605074309                  96.000000000000014                3766.000000000000000               16886.133333333327755
  4                1033.646666666666079                1472.536196589634756                 185.333333333333343                5654.066666666667516               20672.933333333323390
  5                 267.223333333333017                 468.179384554917249                  66.333333333333343                1810.866666666660421                5344.466666666660785
  6                 923.039999999998713                1452.084966660007467                  89.066666666666634                4574.533333333325572               18460.799999999973807
  7                2433.943333333329974                2984.836010032856848                1143.200000000000728                8019.999999999986358               48678.866666666595847
  8                 941.976666666665324                1748.880146998831833                 261.666666666666799                5990.399999999990541               18839.533333333307382
  9                 838.029999999999177                1264.234718796754578                 232.000000000000114                4923.266666666666424               16760.599999999983993
 10                1532.863333333330957                2401.936351407149687                 362.400000000000375                7973.199999999978900               30657.266666666619130
 11                2133.582499999997708                2304.788618751031663                 973.116666666667015                5577.849999999991269               42671.649999999950523
 12                1463.695833333332303                1700.965167305143041                1719.933333333332484                6928.616666666664969               29273.916666666646051
 13                1082.216666666666015                1399.875081788053876                 687.299999999999272                5175.000000000001819               21644.333333333321207
 14                1272.343333333332794                1358.835596786617089                1285.400000000000091                4572.749999999995453               25446.866666666657693
