# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                2566.506666666668934                4077.538435129162735                 492.666666666666686               12684.800000000010186               25665.066666666687524
  1                3362.933333333335213                2705.510576089722235                4520.000000000004547                7070.400000000001455               33629.333333333350311
  2                2477.013333333335140                1983.350132993277157                3185.066666666667970                5600.000000000004547               24770.133333333349583
  3                5300.480000000005020                3694.244117398492108                5124.266666666670972               13657.600000000016735               53004.800000000046566
  4                3148.213333333335868                2597.689650576281110                2681.600000000002183                7070.400000000001455               31482.133333333356859
  5                5440.853333333338014                3704.436272459162865                4569.600000000004911               13635.200000000011642               54408.533333333383780
  6                7579.040000000005421                4942.787217233256342                7625.600000000008549               14179.200000000013461               75790.400000000052387
  7                5986.826666666670462                3851.912685199395582                4769.600000000003092               14638.400000000006912               59868.266666666706442
  8                6635.360000000002401                5413.710936189904714                4769.600000000003092               22382.933333333319752               66353.600000000020373
  9                7152.000000000004547                3077.404579186817955                7648.000000000006366               14467.199999999998909               71520.000000000043656
