# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 320.813333333333617                 509.692304391145342                  61.583333333333336                1585.600000000001273                3208.133333333335941
  1                 420.366666666666902                 338.188822011215279                 565.000000000000568                 883.800000000000182                4203.666666666668789
  2                 309.626666666666893                 247.918766624159645                 398.133333333333496                 700.000000000000568                3096.266666666668698
  3                 662.560000000000628                 461.780514674811513                 640.533333333333871                1707.200000000002092                6625.600000000005821
  4                 393.526666666666983                 324.711206322035139                 335.200000000000273                 883.800000000000182                3935.266666666669607
  5                 680.106666666667252                 463.054534057395358                 571.200000000000614                1704.400000000001455                6801.066666666672972
  6                 947.380000000000678                 617.848402154157043                 953.200000000001069                1772.400000000001683                9473.800000000006548
  7                 748.353333333333808                 481.489085649924448                 596.200000000000387                1829.800000000000864                7483.533333333338305
  8                 829.420000000000300                 676.713867023738089                 596.200000000000387                2797.866666666664969                8294.200000000002547
  9                 894.000000000000568                 384.675572398352244                 956.000000000000796                1808.399999999999864                8940.000000000005457
