# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 229.221333333333490                 341.185242207872761                 139.999999999999972                1497.600000000002183               11461.066666666674791
  1                 219.440000000000111                 273.110178824916716                 151.466666666666640                1490.400000000002137               10972.000000000005457
  2                 294.434666666666942                 428.933750956174890                 163.333333333333314                1806.000000000002728               14721.733333333348128
  3                 122.642250000000118                 331.089369899988071                  12.164583333333331                2041.200000000002547                6132.112500000005639
  4                 299.677120000000343                 425.085442775901413                  90.746666666666670                1464.080000000001974               14983.856000000017957
  5                 131.093024000000185                 299.266174243559192                  12.431999999999999                1740.000000000001819                6554.651200000009339
  6                 153.035506172839661                 317.136748727212478                  13.009876543209876                1949.200000000002547                7651.775308641983429
  7                 322.067708333333712                 405.037414008993210                 106.622916666666669                1652.500000000002501               16103.385416666686069
  8                 450.295333333333815                 425.113357092226352                 348.100000000000023                2221.000000000003183               22514.766666666691890
  9                 465.884000000000356                 443.918341702115413                 295.033333333333587                2284.400000000003274               23294.200000000018917
 10                 526.009173333334161                 375.468632444006118                 591.744000000000710                1430.320000000001983               26300.458666666705540
 11                 484.173716049383245                 398.303691926337592                 585.022222222222922                1425.000000000001819               24208.685802469160990
 12                 138.102606310013897                 259.873811086399314                  76.987654320987758                1360.266666666668243                6905.130315500694451
 13                 224.972932944606725                 297.250889219245039                 182.977551020408384                2007.000000000002728               11248.646647230336384
 14                 566.858291666667469                 362.637570209112198                 669.779166666667493                1585.300000000002456               28342.914583333371411
 15                 533.856132167153078                 363.178337141906184                 639.428571428572241                1257.542857142858793               26692.806608357655932
 16                 545.774444444445066                 341.487885504009341                 625.056172839506871                1328.600000000001955               27288.722222222255368
 17                 655.238270833334013                 309.978810583233098                 655.475000000000819                1355.450000000002092               32761.913541666701349
 18                 557.775125333334017                 353.267224420832349                 629.568000000000666                1402.800000000002001               27888.756266666703596
 19                 515.553320000000667                 350.531452656683655                 630.948000000000775                1151.080000000001746               25777.666000000033819
 20                 566.540645833334224                 345.059617844189063                 637.025000000000773                1231.850000000001728               28327.032291666710080
 21                 575.838748299320400                 343.586737777031090                 613.795918367347667                1264.742857142859066               28791.937414966021606
 22                 587.379950617284749                 379.103000652230207                 676.088888888889642                1690.000000000002274               29368.997530864238797
 23                 557.539962962963614                 373.148344126628842                 629.416049382716778                1437.200000000002092               27876.998148148180917
 24                 606.851000000000681                 354.938552895378848                 641.050000000000750                1669.800000000002456               30342.550000000035652
 25                 632.821692708334126                 326.625818418663243                 705.125000000000909                1251.200000000001637               31641.084635416707897
 26                 632.456950617284633                 318.613703615870577                 712.755555555556498                1316.200000000001864               31622.847530864233704
 27                 597.707913580247691                 337.853231621801740                 649.300000000000750                1337.600000000001728               29885.395679012384790
 28                 574.858791666667571                 359.669641052752809                 635.900000000000659                1570.100000000002183               28742.939583333376504
 29                 576.144296296297057                 364.431009819346059                 602.844444444445003                1702.800000000002456               28807.214814814855345
 30                 600.948778666667295                 360.559392559651883                 672.128000000000839                1467.120000000001710               30047.438933333367459
 31                 603.723654320988317                 373.872821613025337                 653.511111111111859                1674.800000000002456               30186.182716049417650
 32                 554.868416666667599                 379.452388635300508                 641.050000000000750                1466.000000000002046               27743.420833333377232
 33                 592.306271604938956                 399.635267942684550                 680.266666666667447                1846.000000000002728               29615.313580246947822
 34                 558.160583333334216                 359.402791289389654                 642.525000000000773                1507.800000000002001               27908.029166666710807
 35                 564.447541666667234                 381.243907099467549                 643.075000000000728                1561.300000000002228               28222.377083333361952
 36                 674.587584000000788                 354.786991301133639                 734.048000000001025                1504.560000000002219               33729.379200000039418
 37                 653.414157434403137                 348.298436072710388                 735.989115646259506                1278.457142857144618               32670.707871720158437
 38                 626.477849108368218                 339.659233069479967                 679.520987654321857                1193.466666666668289               31323.892455418412283
 39                 651.632448000000863                 332.371986487307822                 687.792000000000826                1431.440000000001874               32581.622400000043854
 40                 640.839152575316575                 326.108648058291180                 713.208163265307121                1280.628571428573196               32041.957628765827394
 41                 589.967239583334049                 353.240949849282856                 672.675000000000864                1257.850000000001955               29498.361979166704259
 42                 593.376256000000694                 358.267203111776439                 677.312000000000921                1422.640000000002146               29668.812800000036077
 43                 655.974776041667610                 328.753424686895812                 735.860677083334394                1173.850000000001728               32798.738802083382325
 44                 605.073484936832642                 350.798618925503149                 627.573566569485706                1301.485714285716313               30253.674246841634158
 45                 525.343161458333952                 378.475773774500283                 646.881250000000819                1251.200000000001637               26267.158072916699894
 46                 552.981312000000685                 371.230188421144589                 627.334400000000755                1521.280000000002019               27649.065600000034465
 47                 499.910888241011151                 370.687696828699302                 576.685714285714880                1266.342857142858975               24995.544412050556275
 48                 548.795016520894819                 379.648646540928212                 598.122448979592491                1302.514285714287553               27439.750826044739370
 49                 542.132345679012928                 407.697495790856635                 625.422222222222899                1875.200000000002547               27106.617283950647106
