# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 114.610666666666745                 170.592621103936381                  69.999999999999986                 748.800000000001091                5730.533333333337396
  1                 109.720000000000056                 136.555089412458358                  75.733333333333320                 745.200000000001069                5486.000000000002728
  2                 147.217333333333471                 214.466875478087445                  81.666666666666657                 903.000000000001364                7360.866666666674064
  3                 288.920000000000414                 518.765542931808568                  86.666666666666671                2660.400000000003274               14446.000000000020009
  4                 310.838666666667052                 508.600525728745538                  93.333333333333343                1959.000000000002728               15541.933333333352493
  5                 357.252000000000464                 562.834632321470849                  93.666666666666657                2487.000000000002728               17862.600000000024011
  6                 426.146666666666988                 615.268176832040695                  99.266666666666652                2860.800000000003820               21307.333333333350311
  7                 329.270666666667012                 454.480632597498982                 106.533333333333331                1959.800000000002910               16463.533333333351038
  8                 355.976000000000340                 340.234800169269192                 265.000000000000171                1801.400000000002365               17798.800000000017462
  9                 381.325333333333788                 362.447302686734417                 293.333333333333542                1908.400000000002592               19066.266666666688252
 10                 553.466666666667265                 445.849632649096009                 602.000000000000682                1831.000000000002274               27673.333333333364862
 11                 504.194666666667331                 507.313590652216931                 382.133333333333724                1864.000000000002501               25209.733333333366318
 12                 670.109333333334234                 656.296811275712116                 627.400000000000773                2846.400000000003274               33505.466666666710807
 13                 722.729333333334694                 554.252458868500298                 688.000000000000909                2988.000000000003638               36136.466666666732635
 14                 582.169333333333839                 410.062997048557065                 628.600000000000705                1796.600000000002410               29108.466666666692618
 15                 605.878666666667300                 509.444764545350210                 664.000000000000796                1850.200000000002547               30293.933333333367045
 16                 587.593333333333931                 470.182203595349165                 648.400000000000773                1805.400000000002365               29379.666666666696983
 17                 729.434666666667567                 489.071088173398152                 673.600000000000819                1949.800000000002683               36471.733333333380870
 18                 596.220000000000709                 435.516347084444362                 654.400000000000773                1858.200000000002547               29811.000000000036380
 19                 654.616000000000668                 555.914140542504924                 664.000000000000796                1806.200000000002319               32730.800000000032014
 20                 653.329333333334034                 510.277647196548401                 664.000000000000796                1884.400000000002365               32666.466666666703532
 21                 636.761333333334051                 503.211240307245362                 656.800000000000864                1884.400000000002365               31838.066666666702076
 22                 557.224000000000615                 383.265107843992382                 661.600000000000819                1783.600000000002183               27861.200000000033469
 23                 591.422666666667283                 494.702690082752497                 656.800000000000864                1926.200000000002547               29571.133333333364135
 24                 583.996000000000777                 409.449793293933510                 656.800000000000864                1881.600000000002410               29199.800000000039290
 25                 706.365333333334092                 514.071738744701634                 700.000000000000909                1936.000000000002501               35318.266666666706442
 26                 665.637333333334254                 442.770242533178134                 711.400000000001000                1786.200000000002319               33281.866666666712263
 27                 637.541333333334137                 456.235626771957186                 659.400000000000773                1867.800000000002456               31877.066666666709352
 28                 567.873333333334017                 419.622705296079687                 656.800000000000864                1864.600000000002638               28393.666666666700621
 29                 524.660000000000537                 366.872054052151555                 561.600000000000591                1724.600000000002183               26233.000000000029104
 30                 611.746666666667466                 448.562936399243370                 664.000000000000796                1868.000000000002501               30587.333333333375776
 31                 549.568000000000779                 369.569642630151861                 646.800000000000864                1700.600000000002183               27478.400000000037835
 32                 524.641333333334160                 416.154028085222365                 540.400000000000546                1711.000000000002046               26232.066666666709352
 33                 558.569333333334157                 405.325100401038014                 685.200000000000955                1906.200000000002547               27928.466666666707169
 34                 563.750666666667371                 407.143889565675750                 670.600000000000819                1757.400000000002137               28187.533333333369228
 35                 553.589333333334025                 419.525055135235959                 656.800000000000864                1806.200000000002319               27679.466666666703532
 36                 699.052000000000817                 438.012205672653465                 740.400000000001000                1906.200000000002547               34952.600000000042201
 37                 722.080000000001064                 471.718960210656462                 746.800000000001091                1804.600000000002410               36104.000000000050932
 38                 722.824000000000979                 515.735429116735190                 690.200000000000841                1819.800000000002683               36141.200000000048021
 39                 664.585333333334120                 410.985184980892257                 700.000000000000909                1786.600000000002410               33229.266666666706442
 40                 699.354666666667640                 479.364069935252246                 700.000000000000909                1955.800000000002456               34967.733333333380870
 41                 689.309333333334166                 514.873481548407653                 725.400000000001000                1926.200000000002547               34465.466666666710807
 42                 602.149333333334312                 441.749278826803106                 680.400000000000773                1793.200000000002319               30107.466666666714445
 43                 710.145333333334179                 497.140269173377703                 754.000000000001023                1872.600000000002410               35507.266666666706442
 44                 668.022666666667533                 503.725993348677434                 680.400000000000773                1883.000000000002728               33401.133333333375049
 45                 614.968000000000757                 565.929933352963531                 654.800000000000864                1936.000000000002501               30748.400000000037835
 46                 582.473333333334040                 459.175077575718660                 638.600000000000819                1889.600000000002410               29123.666666666704259
 47                 568.701333333334105                 517.653200123618376                 484.600000000000364                1867.800000000002228               28435.066666666705714
 48                 616.721333333334087                 513.256239005648126                 609.200000000000728                1848.000000000002501               30836.066666666702076
 49                 508.845333333334054                 411.241701828337398                 616.400000000000773                1936.000000000002501               25442.266666666702804
