# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1229.240000000000691                1478.686435996491355                 766.133333333333326                6762.800000000007458               61462.000000000036380
  1                1154.336000000000467                1237.496515457991336                 622.000000000000000                5251.200000000008004               57716.800000000024738
  2                 907.920000000000755                1488.119632944731393                 429.800000000000011                9262.400000000010550               45396.000000000036380
  3                2286.869333333335362                2333.108658476833625                1884.799999999999727                8332.800000000012005              114343.466666666761739
  4                1647.573333333334404                1338.941195489100892                1450.800000000000864                5148.800000000002001               82378.666666666715173
  5                 314.766122074074474                 764.595765513076230                  75.198933333333358                3587.520000000004075               15738.306103703722329
  6                 573.727604938272179                1479.563031799797272                 217.599999999999966                8000.000000000009095               28686.380246913606243
  7                2707.882666666668229                1618.835237052179082                2566.400000000001000                6902.400000000009641              135394.133333333418705
  8                3135.050666666668349                1504.523972236034297                3174.400000000001455                6595.200000000008913              156752.533333333412884
  9                3228.149333333336017                1470.783800144069119                3436.800000000002910                5865.600000000007640              161407.466666666790843
 10                2103.162500000002183                 691.730063854091213                2017.800000000001319                3683.200000000001637              105158.125000000116415
 11                2194.470666666669331                1173.590373618781314                2237.933333333335668                6797.600000000007640              109723.533333333471091
 12                2954.060666666669476                1675.932931509958507                3538.600000000004002                7635.600000000009459              147703.033333333471091
 13                3957.600000000003547                1587.395220969107868                4451.200000000004366                7280.000000000012733              197880.000000000174623
 14                3603.296000000003460                1974.673377623530541                4166.400000000004184                7401.600000000011278              180164.800000000162981
 15                3735.754666666670801                1894.396655282335814                3782.400000000002819                6902.400000000009641              186787.733333333540941
 16                4168.106666666672027                1925.723173829051120                4438.400000000005093                8092.800000000004729              208405.333333333604969
 17                4962.602666666673031                1569.411829300536056                5081.600000000005821                7904.000000000010004              248130.133333333651535
 18                4611.189333333338254                1675.025872270372247                4886.400000000006003                7939.200000000008913              230559.466666666907258
 19                4340.608000000004722                1641.953735368803109                4592.000000000004547                7785.600000000012187              217030.400000000227010
 20                4397.418666666670106                1895.754537839868817                4822.400000000006003                8323.200000000006185              219870.933333333523478
 21                4879.082666666671685                1571.269364533588032                5123.200000000005275                8361.600000000005821              243954.133333333564224
 22                2802.292736000004425                 921.942833936140573                2924.864000000003671                5039.680000000006658              140114.636800000211224
 23                4375.860333333340350                1378.432526869602725                4713.433333333339760                6352.566666666676610              218793.016666667012032
 24                4907.360000000007858                1693.988822631368521                5251.200000000008004                7227.200000000010732              245368.000000000378350
 25                5313.781333333339717                1343.757343639429337                5414.400000000006912                7363.200000000011642              265689.066666667000391
 26                2968.842666666669629                 983.554062522667664                3049.441975308646306                5592.000000000006366              148442.133333333476912
 27                4813.962666666672703                1711.387114187270527                5008.000000000007276                7401.600000000011278              240698.133333333651535
 28                4646.645333333338385                1667.905932729357573                4889.600000000004911                8937.600000000005821              232332.266666666924721
 29                4443.434666666671546                1316.305443664368795                4652.800000000003820                7056.000000000012733              222171.733333333570044
 30                1000.504987654322008                1193.937168893802209                 848.735802469137070                8019.229629629633564               50025.249382716101536
 31                5064.909333333339418                1889.548311399551267                5184.000000000006366                8563.200000000002547              253245.466666666965466
 32                5004.245333333338749                1527.348866816980944                4836.800000000004729                9475.200000000000728              250212.266666666924721
 33                4928.938666666672361                1710.902654953554020                5182.400000000006912                9628.799999999999272              246446.933333333639894
 34                2630.670469135805433                 573.694443515148691                2568.229629629632655                4180.800000000004729              131533.523456790280761
 35                4192.670541666671852                1701.216891204180001                5042.275000000006912                6413.750000000010004              209633.527083333581686
 36                2938.951861591700435                 786.755267887563832                2902.311418685125318                4209.694117647065468              146947.593079585029045
 37                3049.504000000003089                1302.311779951144217                2980.622222222226810                8576.000000000001819              152475.200000000157161
 38                3301.122765432101914                1799.933948202519559                3164.444444444448891               11243.199999999991633              165056.138271605101181
 39                5014.581333333338080                1864.138889391145312                5392.000000000007276               10491.199999999993452              250729.066666666913079
 40                5236.416000000006534                1630.033974100473415                5456.000000000007276               10374.399999999992360              261820.800000000337604
 41                5373.760000000005675                1325.600569704163490                5561.600000000006730               10374.399999999992360              268688.000000000291038
 42                5027.648000000005595                1366.125538336798400                5321.600000000006730                9068.800000000004729              251382.400000000285218
 43                4951.872000000005755                1385.317840647411458                5411.200000000007094                6627.200000000011642              247593.600000000267755
 44                5079.488000000005741                1536.092245230086519                5475.200000000006185                7582.400000000010550              253974.400000000285218
 45                3499.895016003662477                1543.767006251756811                4020.938271604943111                5587.466666666675337              174994.750800183130195
 46                2884.977333333335082                1533.670203610209455                3059.600000000004002               10792.800000000006548              144248.866666666755918
 47                4999.680000000006658                2041.711779594107611                5206.400000000007822               10166.399999999994179              249984.000000000349246
 48                4438.944000000004962                1545.549089531903974                4806.400000000005093                6748.800000000011096              221947.200000000244472
 49                4875.818666666672470                1681.987664324698699                5398.400000000007822                8051.200000000007094              243790.933333333639894
