# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 153.655000000000086                 184.835804499561419                  95.766666666666666                 845.350000000000932                7682.750000000004547
  1                 144.292000000000058                 154.687064432248917                  77.750000000000000                 656.400000000001000                7214.600000000003092
  2                 217.977333333333405                 296.969556123182713                 105.466666666666669                1846.600000000001955               10898.866666666670426
  3                 285.858666666666920                 291.638582309604203                 235.599999999999966                1041.600000000001501               14292.933333333345217
  4                 328.281333333333578                 274.200636125366657                 269.199999999999989                1011.400000000000318               16414.066666666680248
  5                 437.425333333333697                 562.210430732914688                 356.733333333333576                2541.000000000002274               21871.266666666684614
  6                 435.210666666667180                 598.481158394221779                 244.799999999999983                3000.000000000003638               21760.533333333358314
  7                 338.485333333333529                 202.354404631522385                 320.800000000000125                 862.800000000001205               16924.266666666677338
  8                 391.881333333333544                 188.065496529504287                 396.800000000000182                 824.400000000001114               19594.066666666676610
  9                 403.518666666667002                 183.847975018008640                 429.600000000000364                 733.200000000000955               20175.933333333348855
 10                 503.284000000000503                 179.067269698662187                 476.400000000000489                1108.400000000000546               25164.200000000026193
 11                 445.051333333333844                 227.092612454821364                 427.400000000000261                1404.400000000001228               22252.566666666691162
 12                 478.946666666667170                 270.170327180630750                 566.000000000000682                1300.800000000001546               23947.333333333357587
 13                 494.700000000000443                 198.424402621138483                 556.400000000000546                 910.000000000001592               24735.000000000021828
 14                 450.412000000000432                 246.834172202941318                 520.800000000000523                 925.200000000001410               22520.600000000020373
 15                 466.969333333333850                 236.799581910291977                 472.800000000000352                 862.800000000001205               23348.466666666692618
 16                 521.013333333334003                 240.715396728631390                 554.800000000000637                1011.600000000000591               26050.666666666700621
 17                 620.325333333334129                 196.176478662567007                 635.200000000000728                 988.000000000001251               31016.266666666706442
 18                 576.398666666667282                 209.378234033796531                 610.800000000000750                 992.400000000001114               28819.933333333363407
 19                 542.576000000000590                 205.244216921100389                 574.000000000000568                 973.200000000001523               27128.800000000028376
 20                 549.677333333333763                 236.969317229983602                 602.800000000000750                1040.400000000000773               27483.866666666690435
 21                 609.885333333333961                 196.408670566698504                 640.400000000000659                1045.200000000000728               30494.266666666695528
 22                 543.477333333334059                 273.505339167060981                 482.000000000000512                1601.000000000002046               27173.866666666701349
 23                 580.485666666667157                 178.027780947244594                 635.633333333334122                 826.800000000001205               29024.283333333358314
 24                 613.420000000000982                 211.748602828921065                 656.400000000001000                 903.400000000001342               30671.000000000047294
 25                 664.222666666667465                 167.969667954928667                 676.800000000000864                 920.400000000001455               33211.133333333375049
 26                 536.673333333333858                 246.030303192287676                 519.200000000000500                1347.066666666667970               26833.666666666693345
 27                 601.745333333334088                 213.923389273408816                 626.000000000000909                 925.200000000001410               30087.266666666706442
 28                 580.830666666667298                 208.488241591169697                 611.200000000000614                1117.200000000000728               29041.533333333365590
 29                 555.429333333333943                 164.538180458046099                 581.600000000000477                 882.000000000001592               27771.466666666696256
 30                 532.672000000000367                 347.570011195826339                 495.000000000000796                2022.400000000001000               26633.600000000020373
 31                 633.113666666667427                 236.193538924943908                 648.000000000000796                1070.400000000000318               31655.683333333370683
 32                 625.530666666667344                 190.918608352122618                 604.600000000000591                1184.400000000000091               31276.533333333365590
 33                 616.117333333334045                 213.862831869194252                 647.800000000000864                1203.599999999999909               30805.866666666704987
 34                 529.622666666667214                 292.662884595152832                 448.733333333333917                1566.600000000001728               26481.133333333360497
 35                 567.752333333333922                 226.394814821119667                 657.333333333334281                 952.750000000001137               28387.616666666697711
 36                 895.652000000001294                 459.355069304781296                 717.800000000000978                1743.400000000002365               44782.600000000064028
 37                 729.820000000000618                 380.842324737037586                 676.400000000000887                2459.600000000000364               36491.000000000029104
 38                 769.057333333334100                 453.210430596844787                 730.800000000000978                2802.599999999998545               38452.866666666704987
 39                 626.822666666667260                 233.017361173893164                 674.000000000000909                1311.399999999999181               31341.133333333364135
 40                 654.552000000000817                 203.754246762559177                 682.000000000000909                1296.799999999999045               32727.600000000042201
 41                 671.720000000000709                 165.700071213020436                 695.200000000000841                1296.799999999999045               33586.000000000036380
 42                 628.456000000000699                 170.765692292099800                 665.200000000000841                1133.600000000000591               31422.800000000035652
 43                 618.984000000000719                 173.164730080926432                 676.400000000000887                 828.400000000001455               30949.200000000033469
 44                 634.936000000000718                 192.011530653760815                 684.400000000000773                 947.800000000001319               31746.800000000035652
 45                 615.293333333333976                 343.687020929734786                 604.400000000000773                1350.700000000001864               30764.666666666700621
 46                 613.426666666667415                 319.352106059196899                 635.200000000000728                2336.400000000001000               30671.333333333368500
 47                 624.960000000000832                 255.213972449263451                 650.800000000000978                1270.799999999999272               31248.000000000043656
 48                 554.868000000000620                 193.193636191487997                 600.800000000000637                 843.600000000001387               27743.400000000030559
 49                 609.477333333334059                 210.248458040587337                 674.800000000000978                1006.400000000000887               30473.866666666704987
