# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 314.957333333333509                 500.846528679861365                  40.000000000000000                2357.600000000003092               15747.866666666674064
  1                 525.625999999999635                1518.593844804971013                 138.133333333333326               10770.899999999975989               26281.299999999981083
  2                 544.933999999999628                1117.987861879842740                 165.333333333333343                5782.499999999998181               27246.699999999982538
  3                 618.444666666665967                1332.707673266219444                 228.733333333333263                8044.899999999991451               30922.233333333300834
  4                 794.751333333332695                1631.773733636836596                 143.333333333333314               10188.599999999987631               39737.566666666636593
  5                 887.706666666666024                1219.685836910673061                 385.466666666666924                4213.533333333334667               44385.333333333299379
  6                1279.682066666665150                1274.066591242714821                1053.220000000001619                6172.259999999978390               63984.103333333259798
  7                1347.528444444442357                1213.617227166315161                1028.300000000001546                5589.099999999981264               67376.422222222114215
  8                1645.611377777775942                1213.117910712710227                1770.786666666667088                5337.439999999978681               82280.568888888796209
  9                1354.836711111109253                1323.358744824264249                 760.679999999998472                6152.199999999982538               67741.835555555458996
 10                1756.423255411250921                1410.400053999579768                1429.805194805195242                4950.867532467516867               87821.162770562543301
 11                1774.432666666662044                1269.987127481608468                1658.675000000001091                4548.024999999985084               88721.633333333098562
 12                2203.119652173906616                1300.435739794555275                2301.713043478252985                5053.208695652155257              110155.982608695339877
 13                1963.495835294111430                1178.298108026393038                2201.357647058815928                3533.242352941161244               98174.791764705572859
 14                2028.216109090903501                1130.973195345615522                2547.034545454537692                4020.710909090895257              101410.805454545174143
 15                1928.235014005597350                1300.169103175002419                2271.524369747898163                3777.095798319319329               96411.750700279866578
 16                2144.365111111103488                1249.406448231025252                2411.614285714284961                3888.414285714276048              107218.255555555180763
 17                2188.546764912274284                1402.845391498758318                2393.343157894728847                4363.907368421043429              109427.338245613704203
 18                2279.107999999993353                1298.201326214608798                3041.933333333321571                3842.399999999990541              113955.399999999659485
 19                1979.884357864352296                1004.769299153487509                2617.393073593068948                3354.587012986998616               98994.217893217617529
 20                2231.000742857136174                1195.364852137016442                2864.279999999989741                3665.005714285704926              111550.037142856817809
 21                2447.897915966379060                1083.573599947747880                2847.472268907552007                3608.919327731084195              122394.895798318946618
 22                2627.071466666657216                1025.543833406205522                2974.293333333322153                3890.599999999991724              131353.573333332868060
 23                2638.126205128196034                 872.606474882920793                2935.323076923065855                3466.223076923069129              131906.310256409808062
 24                2412.179782051274287                1074.839215970782107                2900.557692307681464                3394.448076923068584              120608.989102563704364
 25                2635.230688888879286                1210.768765593566741                3266.559999999988122                4301.209999999991851              131761.534444443968823
 26                2500.736371929814595                 962.650136070098029                2966.913684210511747                3457.549473684195618              125036.818596490731579
 27                2829.975341176458642                1252.221590380063844                3393.044705882336075                4313.569411764695360              141498.767058822937543
 28                3801.936740740728055                1632.120493176196533                4584.333333333310293                7335.166666666651508              190096.837037036399124
 29                4061.034799999983534                1741.315213083503977                4761.559999999975844                7678.739999999984320              203051.739999999175780
 30                5999.166857142831759                2264.584799790081433                6939.657142857106010                8763.942857142837966              299958.342857141571585
 31                6163.749090909062943                1875.328267037047908                6732.509090909055885                8188.690909090892092              308187.454545453132596
 32                6270.148666666635108                2068.019111390406579                6868.449999999963438                8566.199999999982538              313507.433333331777249
 33                6433.723199999969438                2253.530148715205087                7167.519999999961328                9396.719999999977517              321686.159999998460989
 34                6123.642999999970016                2059.297595565283700                6868.449999999963438                8566.199999999982538              306182.149999998509884
 35                6854.012666666633777                2031.193013202823067                7366.899999999959618                9997.299999999966531              342700.633333331672475
 36                6455.240444444418245                1838.999484479218609                7034.599999999962165                9027.599999999980355              322762.022222220897675
 37                6709.645999999966989                1853.820316018778612                7366.899999999959618                9997.299999999966531              335482.299999998358544
 38                4411.481777777755269                1703.961045873871626                5027.399999999973261                8282.599999999987631              220574.088888887781650
 39                6424.355733333300122                1545.435055496888481                6768.759999999963838                8289.359999999982392              321217.786666664993390
 40                6181.457142857115286                1795.098992135139952                6939.657142857106010                8687.542857142831053              309072.857142855762504
 41                6352.237866666637274                2023.077847105211504                7167.519999999961328                9386.079999999969004              317611.893333331856411
 42                5709.689454545432454                2114.398070063620708                6732.509090909055885                8188.690909090892092              285484.472727271611802
 43                5997.298181818156991                1907.997020388347437                6732.509090909055885                8188.690909090892092              299864.909090907836799
 44                6151.521185185157265                1604.631584693470813                6813.066666666631136                8412.399999999983265              307576.059259257861413
 45                6181.907999999971253                2186.665503684231680                7366.899999999959618                9292.999999999961801              309095.399999998568092
 46                5536.778333333307273                2182.147455775429080                6868.449999999963438                8566.199999999982538              276838.916666665347293
 47                5730.491555555528976                2042.310376587537803                6813.066666666631136                8412.399999999983265              286524.577777776459698
 48                6030.501629629605304                1971.201505564348508                6813.066666666631136                8412.399999999983265              301525.081481480272487
 49                6366.529599999967104                1962.331218637958045                7167.519999999961328                9396.719999999977517              318326.479999998351559
