# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 104.985777777777827                 166.948842893287150                  13.333333333333334                 785.866666666667697                5249.288888888891051
  1                 298.893777777777586                 920.118751190380408                  70.711111111111109                6571.399999999986903               14944.688888888878864
  2                 247.247555555555380                 518.997952316614601                  68.000000000000000                3007.799999999999272               12362.377777777768642
  3                 291.114222222221940                 654.876271552246408                  93.466666666666640                4225.933333333330665               14555.711111111097125
  4                 450.594222222221845                 954.096141893724962                  74.177777777777763                6163.999999999992724               22529.711111111093487
  5                 590.059111111110724                 784.122142496172842                 265.733333333333348                3007.799999999999272               29502.955555555534374
  6                1338.427999999998747                1452.969269784962762                 912.133333333333212                7649.999999999980901               66921.399999999935972
  7                1481.369777777776562                1453.572354940441755                 948.266666666667788                7010.666666666652418               74068.488888888823567
  8                1268.167111111109989                1084.842584329682950                1087.266666666667106                5601.599999999975807               63408.355555555499450
  9                1363.103111111109229                1445.609160811597121                 661.599999999998658                7218.133333333320479               68155.155555555465980
 10                2211.579111111106158                2029.002155005134682                1125.466666666666697                7218.133333333320479              110578.955555555308820
 11                2514.717777777772426                2105.333612423450177                2128.399999999991905                7218.133333333320479              125735.888888888628571
 12                3138.113777777768973                2194.428396033079025                2128.399999999991905                7010.666666666652418              156905.688888888456859
 13                2995.619999999991705                2086.913864175726303                2620.066666666667061                6571.399999999986903              149780.999999999592546
 14                3254.891111111101964                2088.276747263270863                3452.533333333313294                7218.133333333320479              162744.555555555096362
 15                2761.267111111103532                2144.235017842722755                2128.399999999991905                6571.399999999986903              138063.355555555172032
 16                3092.561333333324455                2161.210832038297667                3007.799999999999272                6571.399999999986903              154628.066666666214587
 17                2951.032444444434987                2207.148506893149261                2128.399999999991905                6571.399999999986903              147551.622222221747506
 18                3600.535555555543397                2250.892887025981963                3829.200000000000728                6571.399999999986903              180026.777777777169831
 19                3394.179999999989377                1969.176770241622535                3452.533333333313294                6388.533333333310111              169708.999999999476131
 20                3311.906666666656747                1968.992442192787166                3682.133333333323662                6571.399999999986903              165595.333333332848269
 21                4182.455999999988308                2023.249664437557158                4715.066666666648416                6571.399999999986903              209122.799999999406282
 22                4003.943999999988137                1784.612884764905630                4661.199999999981628                6571.399999999986903              200197.199999999400461
 23                4123.045333333320741                1592.429648710743322                4225.933333333330665                6571.399999999986903              206152.266666666051606
 24                3951.187111111099512                1887.390395532263483                3758.266666666660512                6571.399999999986903              197559.355555554968305
 25                3747.511555555542600                1939.573410613855913                3682.133333333323662                6388.533333333310111              187375.577777777129086
 26                3793.362222222209766                1685.473385104695353                3452.533333333313294                6571.399999999986903              189668.111111110483762
 27                3620.131555555542491                1783.877501744832443                3452.533333333313294                6571.399999999986903              181006.577777777129086
 28                3501.980444444430304                1893.070050946450010                3452.533333333313294                6571.399999999986903              175099.022222221508855
 29                3242.310666666653105                1641.038195292741420                3452.533333333313294                6571.399999999986903              162115.533333332656184
 30                3120.589333333318791                1533.747587965472576                3452.533333333313294                6388.533333333310111              156029.466666665946832
 31                3514.413333333317951                1525.940086062304545                3452.533333333313294                6388.533333333310111              175720.666666665900266
 32                3363.220444444429177                1460.724465079151287                3452.533333333313294                6388.533333333310111              168161.022222221450647
 33                3204.646222222207143                1346.817106762617186                3452.533333333313294                6388.533333333310111              160232.311111110349884
 34                3271.174222222206936                1443.547467905361373                3452.533333333313294                6388.533333333310111              163558.711111110344063
 35                3289.091555555538434                1165.465411861171106                3452.533333333313294                6388.533333333310111              164454.577777776925359
 36                3291.943111111095732                1243.022733251859790                3452.533333333313294                6388.533333333310111              164597.155555554782040
 37                3190.173333333317260                1145.958229812090622                3452.533333333313294                6388.533333333310111              159508.666666665871162
 38                3184.826666666652272                1384.527221210037624                3452.533333333313294                6388.533333333310111              159241.333333332615439
 39                3577.511111111093214                1421.980930253610723                3452.533333333313294                6388.533333333310111              178875.555555554659804
 40                3215.405333333317685                1363.209383694874759                3452.533333333313294                6388.533333333310111              160770.266666665876983
 41                3129.327999999984968                1333.197601169508744                3452.533333333313294                6388.533333333310111              156466.399999999237480
 42                3205.447999999984859                1824.320669994737273                3452.533333333313294                6388.533333333310111              160272.399999999237480
 43                3353.257777777761930                1628.042384845769902                3452.533333333313294                6388.533333333310111              167662.888888888090150
 44                3309.944888888872811                1326.137527666798178                3452.533333333313294                6085.199999999977990              165497.244444443640532
 45                2896.311999999984891                1265.386320663633342                3452.533333333313294                5905.066666666642959              144815.599999999249121
 46                2872.862222222207492                1602.636416501345138                3452.533333333313294                6388.533333333310111              143643.111111110367347
 47                3085.810666666651741                1598.468253410205534                3452.533333333313294                6388.533333333310111              154290.533333332597977
 48                3222.313777777762880                1477.488298154335553                3452.533333333313294                6388.533333333310111              161115.688888888136717
 49                3133.350222222205957                1270.621441623067085                3452.533333333313294                6085.199999999977990              156667.511111110303318
