# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1180.637333333334027                2018.350414556293345                 106.666666666666657                9482.399999999997817               59031.866666666697711
  1                1942.858666666665613                3952.595780207444932                 528.800000000000068               25631.999999999919964               97142.933333333276096
  2                1668.394666666667263                2151.503617755730829                 654.933333333333280               12182.399999999977808               83419.733333333366318
  3                2233.472000000001572                1564.503263152878390                2217.599999999999909                7190.400000000010550              111673.600000000078580
  4                2476.922666666669556                5012.391326877118445                 321.600000000000023               22055.199999999946158              123846.133333333476912
  5                4303.699999999997090                6130.612110055193625                2883.466666666670335               25292.999999999941792              215184.999999999854481
  6                5106.138666666660356                4712.962300678394968                3798.000000000004093               17149.199999999917054              255306.933333332999609
  7                6051.648000000000138                3338.771365957901708                4731.200000000005275               11623.999999999974534              302582.400000000023283
  8                4868.207999999996900                3856.539738450389905                3621.600000000004457               25007.199999999935244              243410.399999999848660
  9                2346.951111111107821                5745.223183355681613                1526.400000000001683               42195.199999999815191              117347.555555555401952
 10                5316.821333333335133                3548.458350387340033                4579.200000000005275               20646.399999999895954              265841.066666666767560
 11                5061.248000000001412                2750.887720154347335                4444.800000000003820               14195.199999999955253              253062.400000000052387
 12                4533.056000000005952                2412.805581461268048                4732.800000000005639               15081.599999999947613              226652.800000000279397
 13                5792.640000000001237                2892.386326370964525                5080.000000000009095               13942.399999999983265              289632.000000000058208
 14                7163.551999999985128                6614.900272526655499                4790.400000000005093               23854.399999999870488              358177.599999999278225
 15                5961.727999999998246                3691.290753492053682                5635.200000000006185               16873.599999999980355              298086.399999999906868
 16                7866.047999999983404                6912.408166022558362                6096.000000000008185               30671.999999999799911              393302.399999999150168
 17                6278.655999999996311                4653.345609140613305                5347.200000000007094               20646.399999999895954              313932.799999999813735
 18                7384.063999999996668                3619.817665560508885                6745.600000000007640               16873.599999999980355              369203.199999999837019
 19                8303.039999999989959                5573.363825626278413                6438.400000000008731               27062.399999999841384              415151.999999999476131
 20                7126.090666666663310                4072.488811476544925                5576.000000000006366               14638.399999999950523              356304.533333333150949
 21                5277.013333333328774                4845.682660238198878                2672.000000000004093               20646.399999999895954              263850.666666666453239
 22                6966.912000000002081                3301.859885133823354                6899.200000000010732               14195.199999999955253              348345.600000000093132
 23               10333.311999999961699                8619.674586581915719                6438.400000000008731               23854.399999999866850              516665.599999998055864
 24                7597.311999999997170                4368.668097653552650                6688.000000000009095               16873.599999999980355              379865.599999999860302
 25               11568.895999999955166               10275.314661564401831                7939.200000000012551               30671.999999999799911              578444.799999997718260
 26               10430.122666666638906                7286.855685738154534                9219.200000000004366               20646.399999999895954              521506.133333331963513
 27                6912.319999999993342                4394.594952165663017                6745.600000000007640               16873.599999999980355              345615.999999999650754
 28               16114.858666666592399               10060.751718153793263               15596.799999999942884               30671.999999999799911              805742.933333329623565
 29               13620.138666666618519                7314.691813638100939               15081.599999999947613               20646.399999999895954              681006.933333330904134
 30                5155.711999999993168                4433.939693258798798                2716.800000000000637               16873.599999999980355              257785.599999999656575
 31               20395.370666666549369                9251.144883460785422               27062.399999999841384               30671.999999999799911             1019768.533333327504806
 32               15935.487999999935710                6833.102623662246515               20646.399999999895954               20646.399999999895954              796774.399999996763654
 33                4077.375999999994747                3800.417415524763783                2716.800000000000637               16873.599999999980355              203868.799999999726424
 34               21289.450666666543839                8816.887643986177864               27062.399999999841384               30671.999999999799911             1064472.533333327155560
 35               18563.925333333249000                4838.386010279567017               20646.399999999895954               20646.399999999895954              928196.266666662530042
 36                4166.271999999996297                3931.519112355419566                2716.800000000000637               16873.599999999980355              208313.599999999802094
 37               23177.215999999865744                7023.004201375871162               27062.399999999841384               30671.999999999799911             1158860.799999993294477
 38               16718.485333333264862                6253.034866381633037               20646.399999999895954               20646.399999999895954              835924.266666663228534
 39                4945.023999999993976                4150.867585195163883                2716.800000000000637               16873.599999999980355              247251.199999999691499
 40               21466.879999999870051                8446.625148732417074               27062.399999999841384               30671.999999999799911             1073343.999999993480742
 41               16881.770666666601755                5357.131181521323015               20646.399999999895954               20646.399999999895954              844088.533333330065943
 42                5662.463999999991756                4834.714161799425710                2921.600000000001728               16873.599999999980355              283123.199999999604188
 43               20152.255999999892083                8913.235173923250841               27062.399999999841384               30671.999999999799911             1007612.799999994575046
 44               15505.002666666601726                7277.926549865464949               20646.399999999895954               20646.399999999895954              775250.133333330042660
 45                3471.487999999997555                2353.120330509254472                2716.800000000000637               14195.199999999955253              173574.399999999877764
 46               15573.279999999936990                8762.372428088880042               22876.799999999875581               23854.399999999866850              778663.999999996856786
 47                4452.671999999995933                3335.511228884709908                2716.800000000000637               16873.599999999980355              222633.599999999802094
 48               20099.541333333225339                9840.327791185565729               27062.399999999841384               30671.999999999799911             1004977.066666661296040
 49               17090.154666666596313                5715.827759934103597               20646.399999999895954               20646.399999999895954              854507.733333329902962
