# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 147.579666666666753                 252.293801819536668                  13.333333333333332                1185.299999999999727                7378.983333333337214
  1                 316.582666666666398                 747.776850589352421                  82.266666666666666                5136.599999999984902               15829.133333333318660
  2                 208.549333333333408                 268.937952219466354                  81.866666666666660                1522.799999999997226               10427.466666666670790
  3                 279.184000000000196                 195.562907894109799                 277.199999999999989                 898.800000000001319               13959.200000000009823
  4                 619.230666666667389                1253.097831719279611                  80.400000000000006                5513.799999999986539               30961.533333333369228
  5                 571.485666666666475                 810.407201281551579                 388.216666666666868                3315.599999999992178               28574.283333333321934
  6                 744.484666666665476                 693.692437234251202                 572.399999999999181                3110.099999999992178               37224.233333333271730
  7                 756.456000000000017                 417.346420744737713                 591.400000000000659                1452.999999999996817               37822.800000000002910
  8                 824.419999999999845                 769.311578692994431                 603.600000000000705                5520.199999999985266               41220.999999999992724
  9                 880.106666666665888                2154.458693758380377                 572.400000000000659               15823.199999999927968               44005.333333333292103
 10                 664.602666666666892                 443.557293798417504                 572.400000000000659                2580.799999999986994               33230.133333333345945
 11                 632.656000000000176                 343.860965019293417                 555.600000000000477                1774.399999999994407               31632.800000000006548
 12                 566.632000000000744                 301.600697682658506                 591.600000000000705                1885.199999999993452               28331.600000000034925
 13                 724.080000000000155                 361.548290796370566                 635.000000000001137                1742.799999999997908               36204.000000000007276
 14                 895.443999999998141                 826.862534065831937                 598.800000000000637                2981.799999999983811               44772.199999999909778
 15                 745.215999999999781                 461.411344186506710                 704.400000000000773                2109.199999999997544               37260.799999999988358
 16                 983.255999999997925                 864.051020752819795                 762.000000000001023                3833.999999999974989               49162.799999999893771
 17                 784.831999999999539                 581.668201142576663                 668.400000000000887                2580.799999999986994               39241.599999999976717
 18                 923.007999999999583                 452.477208195063611                 843.200000000000955                2109.199999999997544               46150.399999999979627
 19                1037.879999999998745                 696.670478203284802                 804.800000000001091                3382.799999999980173               51893.999999999934516
 20                 890.761333333332914                 509.061101434568116                 697.000000000000796                1829.799999999993815               44538.066666666643869
 21                 659.626666666666097                 605.710332529774860                 334.000000000000512                2580.799999999986994               32981.333333333306655
 22                 870.864000000000260                 412.732485641727919                 862.400000000001342                1774.399999999994407               43543.200000000011642
 23                1291.663999999995212                1077.459323322739465                 804.800000000001091                2981.799999999983356               64583.199999999756983
 24                 949.663999999999646                 546.083512206694081                 836.000000000001137                2109.199999999997544               47483.199999999982538
 25                1446.111999999994396                1284.414332695550229                 992.400000000001569                3833.999999999974989               72305.599999999714782
 26                1303.765333333329863                 910.856960717269317                1152.400000000000546                2580.799999999986994               65188.266666666495439
 27                 864.039999999999168                 549.324369020707877                 843.200000000000955                2109.199999999997544               43201.999999999956344
 28                2014.357333333324050                1257.593964769224158                1949.599999999992860                3833.999999999974989              100717.866666666202946
 29                1702.517333333327315                 914.336476704762617                1885.199999999993452                2580.799999999986994               85125.866666666363017
 30                 644.463999999999146                 554.242461657349850                 339.600000000000080                2109.199999999997544               32223.199999999957072
 31                2549.421333333318671                1156.393110432598178                3382.799999999980173                3833.999999999974989              127471.066666665938101
 32                1991.935999999991964                 854.137827957780814                2580.799999999986994                2580.799999999986994               99596.799999999595457
 33                 509.671999999999343                 475.052176940595473                 339.600000000000080                2109.199999999997544               25483.599999999965803
 34                2661.181333333317980                1102.110955498272233                3382.799999999980173                3833.999999999974989              133059.066666665894445
 35                2320.490666666656125                 604.798251284945877                2580.799999999986994                2580.799999999986994              116024.533333332816255
 36                 520.783999999999537                 491.439889044427446                 339.600000000000080                2109.199999999997544               26039.199999999975262
 37                2897.151999999983218                 877.875525171983895                3382.799999999980173                3833.999999999974989              144857.599999999161810
 38                2089.810666666658108                 781.629358297704130                2580.799999999986994                2580.799999999986994              104490.533333332903567
 39                 618.127999999999247                 518.858448149395485                 339.600000000000080                2109.199999999997544               30906.399999999961437
 40                2683.359999999983756                1055.828143591552134                3382.799999999980173                3833.999999999974989              134167.999999999185093
 41                2110.221333333325219                 669.641397690165377                2580.799999999986994                2580.799999999986994              105511.066666666258243
 42                 707.807999999998970                 604.339270224928214                 365.200000000000216                2109.199999999997544               35390.399999999950523
 43                2519.031999999986510                1114.154396740406355                3382.799999999980173                3833.999999999974989              125951.599999999321881
 44                1938.125333333325216                 909.740818733183119                2580.799999999986994                2580.799999999986994               96906.266666666255333
 45                 433.935999999999694                 294.140041313656809                 339.600000000000080                1774.399999999994407               21696.799999999984720
 46                1946.659999999992124                1095.296553511110005                2859.599999999984448                2981.799999999983356               97332.999999999607098
 47                 556.583999999999492                 416.938903610588739                 339.600000000000080                2109.199999999997544               27829.199999999975262
 48                2512.442666666653167                1230.040973898195716                3382.799999999980173                3833.999999999974989              125622.133333332662005
 49                2136.269333333324539                 714.478469991762950                2580.799999999986994                2580.799999999986994              106813.466666666237870
