# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 275.256000000000085                 300.963488774155508                 210.399999999999949                1435.333333333334849               13762.800000000002910
  1                 406.024000000000171                 401.807328235810473                 294.399999999999977                1435.333333333334849               20301.200000000008004
  2                 553.840000000000600                 438.769249201040566                 435.333333333333371                1435.333333333334849               27692.000000000029104
  3                 634.992000000000530                 485.765272376599171                 698.000000000000000                1435.333333333334849               31749.600000000027649
  4                 735.417333333334000                 506.030907586571686                 591.133333333333781                2655.533333333335577               36770.866666666697711
  5                 687.600000000000591                 485.926351255460474                 521.000000000000000                1863.233333333335167               34380.000000000029104
  6                 643.415555555556125                 465.884357489159640                 397.933333333333564                1599.133333333335031               32170.777777777806477
  7                 769.154051282052137                 455.811043966321506                 858.964102564103541                1314.717948717950321               38457.702564102604811
  8                 946.992927536232401                 426.661418644536752                1208.724637681160857                1760.695652173915732               47349.646376811622758
  9                1034.345813333335627                 451.589192119761492                1197.701333333334787                2154.368000000001757               51717.290666666776815
 10                1125.308333333335213                 422.901702556279986                1202.983333333334940                2382.700000000000728               56265.416666666758829
 11                1182.838293333335514                 353.250712581007747                1197.701333333334787                2154.368000000001757               59141.914666666772973
 12                1107.884345679014132                 399.885338833925857                1188.311111111112496                2378.488888888889505               55394.217283950711135
 13                1310.540380952381838                 381.868171214970118                1184.119047619049070                2377.285714285715130               65527.019047619090998
 14                1473.469894736844026                 519.996773128629343                1239.845614035089511                2392.673684210526972               73673.494736842199927
 15                1544.438974358976793                 575.679997069012188                1314.717948717950321                2414.769230769231399               77221.948717948835110
 16                1705.242074074075845                 596.786765185024365                1812.177777777780420                2445.866666666667243               85262.103703703789506
 17                1821.526666666667779                 698.455812226753096                2218.900000000001910                2458.500000000000909               91076.333333333386690
 18                2183.575333333333674                 615.473936222593352                2572.200000000000728                2572.200000000000728              109178.766666666677338
 19                3021.098666666669942                 565.773864561137771                3254.400000000001910                3254.400000000001910              151054.933333333494375
 20                2932.658666666670342                 794.418453141388227                3254.400000000001910                3254.400000000001910              146632.933333333523478
 21                2978.738666666669815                 791.151949202624451                3254.400000000001910                3254.400000000001910              148936.933333333494375
 22                3254.400000000002819                   0.000000000000909                3254.400000000001910                3254.400000000001910              162720.000000000145519
 23                3091.250666666669986                 652.599233773514811                3254.400000000001910                3254.400000000001910              154562.533333333500195
 24                3151.408000000003540                 510.833510192901144                3254.400000000001910                3254.400000000001910              157570.400000000168802
 25                3108.034666666669636                 586.683251771630012                3254.400000000001910                3254.400000000001910              155401.733333333482733
 26                3021.080000000003110                 707.255115122306393                3254.400000000001910                3254.400000000001910              151054.000000000145519
 27                3108.034666666669636                 586.683251771630125                3254.400000000001910                3254.400000000001910              155401.733333333482733
 28                3130.413333333336595                 492.162299698428001                3254.400000000001910                3254.400000000001910              156520.666666666831588
 29                3210.957333333336464                 304.098666666666702                3254.400000000001910                3254.400000000001910              160547.866666666814126
 30                3151.477333333336446                 510.552356807583010                3254.400000000001910                3254.400000000001910              157573.866666666814126
 31                3124.072000000002845                 515.853085173159116                3254.400000000001910                3254.400000000001910              156203.600000000151340
 32                2915.786666666670499                 789.715041039769631                3254.400000000001910                3254.400000000001910              145789.333333333517658
 33                2785.250666666670440                 895.657222484385898                3254.400000000001910                3254.400000000001910              139262.533333333529299
 34                2962.914666666669746                 724.495585330005269                3254.400000000001910                3254.400000000001910              148145.733333333482733
 35                2959.160000000003492                 746.378159142163781                3254.400000000001910                3254.400000000001910              147958.000000000174623
 36                2879.293333333337159                 814.078278409256427                3254.400000000001910                3254.400000000001910              143964.666666666860692
 37                3093.381333333336443                 547.939652644746161                3254.400000000001910                3254.400000000001910              154669.066666666825768
 38                3056.349333333336290                 596.245971549027900                3254.400000000001910                3254.400000000001910              152817.466666666819947
 39                3056.280000000002929                 596.475677291203510                3254.400000000001910                3254.400000000001910              152814.000000000145519
 40                3000.541333333337207                 781.969740550106508                3254.400000000001910                3254.400000000001910              150027.066666666854871
 41                2996.192000000003645                 713.447399308768354                3254.400000000001910                3254.400000000001910              149809.600000000180444
 42                2885.936000000003787                 801.251703990977035                3254.400000000001910                3254.400000000001910              144296.800000000192085
 43                2959.160000000003492                 746.378159142163781                3254.400000000001910                3254.400000000001910              147958.000000000174623
 44                2965.570666666670604                 731.457324179005923                3254.400000000001910                3254.400000000001910              148278.533333333529299
 45                2899.610666666670113                 834.006298442511138                3254.400000000001910                3254.400000000001910              144980.533333333500195
 46                2905.413333333337050                 823.168114704807635                3254.400000000001910                3254.400000000001910              145270.666666666860692
 47                2903.352000000003500                 895.656121713387847                3254.400000000001910                3254.400000000001910              145167.600000000180444
 48                2807.517333333337319                 983.433130624888349                3254.400000000001910                3254.400000000001910              140375.866666666872334
 49                2957.776000000003478                 823.557312558418971                3254.400000000001910                3254.400000000001910              147888.800000000162981
