# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 809.862666666667224                1376.155542850203801                 632.866666666666447                8019.600000000011278               40493.133333333360497
  1                 921.706666666667388                1215.464134559306558                 576.533333333333189                4608.533333333340124               46085.333333333372138
  2                1405.248000000000957                1469.321324514751723                 747.199999999999932                4608.533333333340124               70262.400000000052387
  3                1674.741333333334524                1639.032489062579543                 923.200000000000045                4608.533333333340124               83737.066666666723904
  4                1685.157333333335373                1343.993943489000685                1316.533333333333985                8220.533333333343762               84257.866666666770470
  5                1814.058666666668387                1625.473268060857890                1223.466666666667606                6203.733333333327209               90702.933333333421615
  6                2047.466666666667834                1805.412674573630056                1223.466666666667606                6203.733333333327209              102373.333333333386690
  7                2892.095999999999549                2253.183410403451035                1223.466666666667606                6203.733333333327209              144604.799999999988358
  8                4462.432000000001608                2127.872836728525272                5015.466666666673518                7102.400000000008731              223121.600000000093132
  9                4482.666666666670608                1523.818014681106888                5243.733333333337214                7601.600000000004002              224133.333333333546761
 10                6227.034666666669182                2083.550770871258010                7750.666666666667879                9925.599999999994907              311351.733333333453629
 11                4986.400000000002365                1288.081268381601149                5320.533333333336486                8995.200000000000728              249320.000000000116415
 12                4924.885333333333620                1234.757555116882259                5320.533333333336486                9264.000000000001819              246244.266666666691890
 13                5353.482666666670411                1636.048292390195911                4570.133333333339579               10991.999999999987267              267674.133333333535120
 14                6016.938666666671452                2130.124366691187788                5322.666666666670608               10991.999999999987267              300846.933333333581686
 15                6365.536000000003696                2319.250889977092356                5322.666666666670608               10991.999999999987267              318276.800000000162981
 16                6915.242666666670630                2701.329432763218392                6833.600000000009459               10991.999999999987267              345762.133333333535120
 17                7566.720000000003893                3104.134109359459217                7574.400000000012369               10991.999999999987267              378336.000000000174623
 18                8768.981333333334987                2825.107527457309061               10991.999999999987267               10991.999999999987267              438449.066666666767560
 19               10002.069333333331087                2080.950769750737891               10991.999999999987267               10991.999999999987267              500103.466666666558012
 20                9752.991999999998370                2768.932648035735383               10991.999999999987267               10991.999999999987267              487649.599999999918509
 21               10025.162666666663426                2728.745198321338194               10991.999999999987267               10991.999999999987267              501258.133333333127666
 22               10991.999999999994543                   0.000000000007276               10991.999999999987267               10991.999999999987267              549599.999999999767169
 23               10457.631999999997788                2166.582513657648178               10991.999999999987267               10991.999999999987267              522881.599999999860302
 24               10662.741333333327930                1663.648324410474288               10991.999999999987267               10991.999999999987267              533137.066666666418314
 25               10600.085333333328890                1680.787223339241336               10991.999999999987267               10991.999999999987267              530004.266666666488163
 26               10382.901333333329603                1952.001432159764136               10991.999999999987267               10991.999999999987267              519145.066666666476522
 27               10600.085333333328890                1680.787223339242701               10991.999999999987267               10991.999999999987267              530004.266666666488163
 28               10688.895999999997002                1216.514803027071139               10991.999999999987267               10991.999999999987267              534444.799999999813735
 29               10898.719999999995707                 652.959999999999354               10991.999999999987267               10991.999999999987267              544935.999999999767169
 30               10693.365333333329545                1566.653188154214604               10991.999999999987267               10991.999999999987267              534668.266666666488163
 31               10712.159999999996217                1107.638629878895244               10991.999999999987267               10991.999999999987267              535607.999999999767169
 32               10163.370666666662146                2049.021327112473045               10991.999999999987267               10991.999999999987267              508168.533333333150949
 33                9791.658666666664431                2397.316382314555085               10991.999999999987267               10991.999999999987267              489582.933333333232440
 34               10261.887999999997191                1837.962766177808589               10991.999999999987267               10991.999999999987267              513094.399999999848660
 35               10226.026666666664823                2048.388157660657271               10991.999999999987267               10991.999999999987267              511301.333333333197515
 36               10015.957333333330098                2229.732564801232002               10991.999999999987267               10991.999999999987267              500797.866666666464880
 37               10602.975999999996930                1337.741734500344592               10991.999999999987267               10991.999999999987267              530148.799999999813735
 38               10517.055999999996857                1443.756606102283968               10991.999999999987267               10991.999999999987267              525852.799999999813735
 39               10486.431999999997061                1544.978342558879376               10991.999999999987267               10991.999999999987267              524321.599999999860302
 40               10204.586666666662495                2536.477025447343294               10991.999999999987267               10991.999999999987267              510229.333333333139308
 41               10311.946666666663077                1987.718374328823757               10991.999999999987267               10991.999999999987267              515597.333333333197515
 42                9946.378666666663776                2452.401094091342202               10991.999999999987267               10991.999999999987267              497318.933333333232440
 43               10226.026666666664823                2048.388157660657271               10991.999999999987267               10991.999999999987267              511301.333333333197515
 44               10233.386666666663587                2034.986339588323972               10991.999999999987267               10991.999999999987267              511669.333333333139308
 45                9990.047999999995227                2493.948772209863364               10991.999999999987267               10991.999999999987267              499502.399999999790452
 46               10028.277333333329807                2427.219426544971611               10991.999999999987267               10991.999999999987267              501413.866666666523088
 47                9913.557333333330462                2891.937261399081763               10991.999999999987267               10991.999999999987267              495677.866666666523088
 48                9622.037333333330025                3183.114245868446233               10991.999999999987267               10991.999999999987267              481101.866666666523088
 49               10111.061333333329458                2591.867178072892330               10991.999999999987267               10991.999999999987267              505553.066666666476522
