# Fitness (population vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 248.363666666666518                 604.802479415937682                  90.216666666666669                3083.999999999994543               12418.183333333325209
  1                 192.034666666666681                 228.848062474258711                 175.599999999999966                1207.466666666667152                9601.733333333333576
  2                 282.949333333333186                 461.167801238936079                 184.399999999999977                1916.133333333329801               14147.466666666658057
  3                 316.882666666666523                 443.437717146888474                 215.999999999999972                1770.666666666664241               15844.133333333325936
  4                 210.904000000000053                 303.807043652527966                 170.000000000000000                1699.066666666667288               10545.200000000002547
  5                 299.554666666666719                 335.260552059306576                 251.466666666666640                1597.599999999999909               14977.733333333335395
  6                 162.096666666666636                 206.086571668855413                 155.683333333333309                1360.800000000001091                8104.833333333332121
  7                 226.909333333333421                 268.455286493341816                 197.333333333333314                1433.466666666666470               11345.466666666670790
  8                 221.578000000000031                 357.015826686841251                 160.250000000000000                2553.466666666663968               11078.900000000001455
  9                 211.391999999999967                 284.857644802920049                 176.000000000000000                1702.399999999998727               10569.599999999998545
 10                 160.237333333333311                 108.951297710898743                 175.999999999999972                 416.666666666666856                8011.866666666664969
 11                 198.365333333333297                 114.174674163951323                 186.266666666666652                 510.000000000000398                9918.266666666664605
 12                 183.714666666666659                  96.135585771115757                 177.999999999999972                 403.600000000000023                9185.733333333333576
 13                 180.672666666666601                 258.346512626399431                 158.216666666666640                1894.333333333335304                9033.633333333329574
 14                 212.021333333333303                 222.817405839150837                 182.266666666666652                1577.466666666666242               10601.066666666665697
 15                 203.482666666666631                 186.625897719356175                 184.399999999999977                1366.000000000000455               10174.133333333331393
 16                 155.597333333333296                 123.388780300317435                 170.000000000000000                 556.400000000000318                7779.866666666664969
 17                 164.733333333333320                 100.432183420787297                 169.866666666666674                 371.600000000000136                8236.666666666666060
 18                 176.212666666666621                 333.773753737468155                 118.099999999999994                2152.566666666668425                8810.633333333331393
 19                 187.528333333333251                 435.650197983172461                 119.816666666666663                3210.199999999996635                9376.416666666662422
 20                 245.163999999999902                 657.734052700463849                 115.750000000000000                4480.366666666657693               12258.199999999995271
 21                 238.229333333333244                 248.860394299025529                 208.000000000000000                1832.799999999996771               11911.466666666661695
 22                 198.432000000000045                 128.058052280119369                 208.399999999999949                 507.466666666666924                9921.600000000002183
 23                 225.052333333333308                 772.912605545557199                  65.216666666666654                5243.599999999999454               11252.616666666664969
 24                 320.503361580246860                 921.636881876462212                 123.470854320987655                4774.639999999998508               16025.168079012342787
 25                 336.422691358024679                 865.442310564314312                 123.417283950617275                5325.999999999999091               16821.134567901233822
 26                 318.200858074074119                 665.965589239666201                 142.067200000000014                3462.049382716047148               15910.042903703706543
 27                 182.069313271604869                 406.601461537840578                  76.786651234567884                2000.766666666667334                9103.465663580243927
 28                 183.556750000000079                 636.429001819833161                  18.702083333333331                3983.500000000001364                9177.837500000003274
 29                 283.861092592592684                 734.972104253348107                  97.519753086419740                3690.700000000000273               14193.054629629634292
 30                 273.112041666666755                 320.374996449822959                 206.531250000000000                1635.899999999999409               13655.602083333338669
 31                 303.340815999999961                 490.802985072645981                 145.792133333333311                2826.011199999998098               15167.040799999998853
 32                 285.255185185185212                 579.596268777127761                 164.313580246913546                3847.790123456787569               14262.759259259260944
 33                 273.004333333333420                 378.736014671169414                 205.883333333333326                2136.933333333335668               13650.216666666670790
 34                 286.303802469135803                 866.295006578003949                  94.132716049382722                5918.599999999999454               14315.190123456790388
 35                 261.706679012345774                 656.527404204414552                  99.959876543209873                3767.343209876540641               13085.333950617288792
 36                 288.644768518518561                 625.060693726492900                  93.998765432098764                3737.866666666668152               14432.238425925927004
 37                 286.077208333333374                 706.468355099238920                  99.827237654320982                3728.099999999999454               14303.860416666668243
 38                 350.055458333333377                 702.725891861358377                 192.714583333333337                4768.724999999998545               17502.772916666668607
 39                 195.659833333333381                 345.754874896098499                  88.947916666666657                1811.083333333333485                9782.991666666668607
 40                 266.998625000000004                 584.595475048031062                 157.993749999999977                4019.524999999995998               13349.931249999999636
 41                 301.423185185185105                 587.400954994194763                 148.824074074074048                3603.133333333330484               15071.159259259255123
 42                 238.139250000000089                 411.331712018465169                 151.974999999999966                2647.552083333332121               11906.962500000005093
 43                 217.126666666666523                 464.765806413413657                  80.249999999999986                2135.099999999996726               10856.333333333326664
 44                 299.825999999999908                 586.159543878247291                 143.933333333333337                2959.249999999997726               14991.299999999995634
 45                 379.725333333333197                 669.296619131191392                 253.599999999999966                4614.266666666657329               18986.266666666659148
 46                 257.871333333333439                 260.650939104389522                 232.533333333333303                1782.800000000002001               12893.566666666672972
 47                 218.111790123456728                 463.778905335248680                  94.241358024691337                3099.982098765427509               10905.589506172836991
 48                 148.746061728395034                 424.674641422849049                  23.351851851851848                2244.990740740743149                7437.303086419751708
 49                 256.096543209876643                 456.964848839439242                 121.000617283950618                2473.343827160493220               12804.827160493832707
