# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 143.904888888888991                 180.014279161473041                  74.000000000000000                 933.866666666667811                7195.244444444449982
  1                 261.126222222222339                 513.162714337732382                  91.511111111111120                3310.999999999998636               13056.311111111117498
  2                 280.700444444444543                 579.606020250750703                 109.466666666666654                3310.999999999998636               14035.022222222227356
  3                 417.371555555555517                 941.199827622613952                 110.444444444444443                5845.599999999993997               20868.577777777776646
  4                 606.617777777777519                1328.394955176459007                 142.311111111111103                7228.666666666652418               30330.888888888875954
  5                 815.787111111110448                1432.690976675949059                 214.088888888888988                7228.666666666652418               40789.355555555521278
  6                1078.170222222220673                1909.100762426762230                 318.444444444444741               10424.933333333290648               53908.511111111030914
  7                1263.708888888885895                2130.218646213696502                 400.044444444444935                8138.799999999966531               63185.444444444292458
  8                1447.186666666665133                2114.755673821558958                 453.311111111111529                7478.933333333305200               72359.333333333255723
  9                1757.338666666665631                2135.669746872130872                 941.200000000001523                7228.666666666652418               87866.933333333276096
 10                2095.919111111107213                2884.431578080386771                 803.644444444445412               12328.533333333296468              104795.955555555367027
 11                2650.574222222216576                3183.462059149067954                1032.533333333334440               13270.133333333293194              132528.711111110838829
 12                2902.199111111104685                3150.443104116576706                1356.733333333331075               12328.533333333296468              145109.955555555236060
 13                2354.740888888884001                2791.154852483179184                1171.466666666665105               13270.133333333293194              117737.044444444196415
 14                2522.586666666661131                2810.772956831317515                1171.466666666665105               13270.133333333293194              126129.333333333051996
 15                1792.627999999996973                2273.795393914942451                1171.466666666665105               13270.133333333293194               89631.399999999848660
 16                2107.688888888884776                2198.261502084238600                1221.999999999999773                8758.933333333310657              105384.444444444234250
 17                1731.909777777774934                1982.788411293220406                1078.666666666665833                8758.933333333310657               86595.488888888750807
 18                2341.519999999994980                2198.753292393179436                1495.866666666664059                8138.799999999966531              117075.999999999752617
 19                2368.068444444439592                2437.319045629724769                1446.666666666664014               10424.933333333290648              118403.422222221968696
 20                3392.094666666659577                3451.955431003662397                1495.866666666664059               13270.133333333293194              169604.733333332987968
 21                3614.587999999991553                3337.717557871336339                1972.799999999991996               13270.133333333293194              180729.399999999586726
 22                4254.556888888878348                3434.005758849349149                2879.266666666664605               13270.133333333293194              212727.844444443937391
 23                3797.558666666656336                3389.834341855779712                2106.799999999991542               12328.533333333296468              189877.933333332824986
 24                4146.343555555545208                3287.762431416872460                2356.733333333334031               13270.133333333293194              207317.177777777280426
 25                3801.691555555544710                3014.511137481128117                2356.733333333334031               10424.933333333290648              190084.577777777245501
 26                3562.398222222213008                3099.961861643014799                1972.799999999991996               13270.133333333293194              178119.911111110646743
 27                3467.010222222213088                2651.648809755114598                2026.733333333327892               12328.533333333296468              173350.511111110652564
 28                4068.880444444432669                3877.611241767181582                2019.599999999992860               13270.133333333293194              203444.022222221625270
 29                4731.409777777765157                3790.917814713111966                3882.133333333331393               13270.133333333293194              236570.488888888270594
 30                4935.639111111097918                3367.434637958044277                4370.799999999995634               13270.133333333293194              246781.955555554886814
 31                4241.686222222210745                3128.244209887402121                4370.799999999995634               13270.133333333293194              212084.311111110553611
 32                5566.182222222206292                3790.776065364211263                4370.799999999995634               13270.133333333293194              278309.111111110309139
 33                6289.890222222203192                3919.102092936890131                6326.999999999988177               13270.133333333293194              314494.511111110157799
 34                6772.441777777758944                4041.873857103101727                5912.933333333324299               13270.133333333293194              338622.088888887956273
 35                6150.950666666650250                3234.154993316766650                5912.933333333324299               13270.133333333293194              307547.533333332510665
 36                7095.476888888869325                4058.265180933761258                7861.333333333309383               13270.133333333293194              354773.844444443471730
 37                6811.855999999979758                3403.102618729657024                7228.666666666652418               13270.133333333293194              340592.799999998998828
 38                7299.420444444423993                4019.188575136200598                5912.933333333324299               13270.133333333293194              364971.022222221188713
 39                6599.562222222204582                3581.108103880545514                5912.933333333324299               13270.133333333293194              329978.111111110250931
 40                5986.155555555537831                3836.200894158904248                4370.799999999995634               13270.133333333293194              299307.777777776878793
 41                6859.188888888868860                4160.363914097339148                4370.799999999995634               13270.133333333293194              342959.444444443448447
 42                5641.681777777762363                2914.678173348018390                4370.799999999995634               13270.133333333293194              282084.088888888130896
 43                5395.895999999986088                3396.620684704387259                4370.799999999995634               13270.133333333293194              269794.799999999289867
 44                6090.053333333316004                4013.259879711703888                4370.799999999995634               13270.133333333293194              304502.666666665812954
 45                6400.831999999983964                3867.044792482340199                4370.799999999995634               13270.133333333293194              320041.599999999220017
 46                5479.513777777763607                3369.472293400380295                4370.799999999995634               13270.133333333293194              273975.688888888165820
 47                4427.369333333323084                2824.086012777092037                4370.799999999995634               13270.133333333293194              221368.466666666150559
 48                5718.914222222207172                4119.571732239500307                4370.799999999995634               13270.133333333293194              285945.711111110344063
 49                4502.251111111099817                3092.448539875435927                4370.799999999995634               13270.133333333293194              225112.555555554979946
