# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 214.567000000000235                 270.883780850140226                 104.100000000000023                1125.249999999999773               10728.350000000011278
  1                 290.498666666666736                 524.304773155630983                  83.466666666666640                3191.399999999998727               14524.933333333337941
  2                 224.744000000000113                 308.258870824146413                 105.466666666666683                1358.400000000000546               11237.200000000006185
  3                 285.338666666666484                 618.685803560345107                  80.733333333333320                3667.399999999994634               14266.933333333323390
  4                 436.045333333333417                 925.181635062000737                 300.400000000000091                6616.799999999987449               21802.266666666670062
  5                 349.026666666666586                 388.064235919775285                 280.800000000000125                2307.599999999989450               17451.333333333328483
  6                 673.469333333332884                1379.270417508871333                 490.800000000000523               10034.399999999959618               33673.466666666645324
  7                 609.810666666666407                1112.996959034276642                 342.000000000000057                8176.799999999971988               30490.533333333321934
  8                 533.906666666666752                 400.104888692395662                 481.200000000000387                2806.799999999984720               26695.333333333339397
  9                 541.461333333333755                 237.307862243682962                 605.600000000000705                1260.799999999999500               27073.066666666687524
 10                1377.037333333333436                1027.558161871358834                 922.800000000001432                3747.799999999999272               68851.866666666668607
 11                 762.303999999998496                2057.541502372179821                 209.333333333333542               14680.799999999942884               38115.199999999924330
 12                 524.149333333333630                 319.099486976153059                 526.000000000000455                1827.999999999994316               26207.466666666681704
 13                 612.358666666667091                 387.299125027555192                 601.200000000000728                2752.999999999985448               30617.933333333356131
 14                 654.658666666666591                 437.212194938184837                 637.200000000000728                2007.599999999992860               32732.933333333330665
 15                 639.824000000000183                 437.503485956396162                 586.400000000000659                2765.999999999985448               31991.200000000011642
 16                 640.159999999999968                 455.554782264925052                 586.400000000000659                2007.599999999992860               32008.000000000000000
 17                 672.544000000000665                 273.502412537805583                 653.600000000000819                1395.999999999998181               33627.200000000033469
 18                1001.986666666665087                1535.960940301971959                 485.600000000000705                7526.599999999966712               50099.333333333255723
 19                 677.251999999999384                 653.521423304713608                 521.200000000000387                3148.399999999985539               33862.599999999969441
 20                 805.039999999999509                 543.842247715270219                 653.600000000000819                2765.999999999985448               40251.999999999978172
 21                 540.541333333333000                 481.590845546067783                 359.733333333333690                2007.599999999992860               27027.066666666651145
 22                 929.903999999999996                 529.570334879133384                 925.600000000001387                2765.999999999985448               46495.199999999997090
 23                 578.018666666666036                 529.977928268295045                 308.533333333333815                2007.599999999992860               28900.933333333301562
 24                 915.191999999999553                 499.702154424011155                 894.000000000001592                2765.999999999985448               45759.599999999976717
 25                 747.877333333332672                 587.776255444193680                 538.933333333332030                2007.599999999992860               37393.866666666632227
 26                 979.976000000000340                 463.672452733605951                 894.000000000001592                2765.999999999985448               48998.800000000017462
 27                 875.325333333332082                 625.985057065526803                 730.800000000000978                2007.599999999992860               43766.266666666604578
 28                 975.239999999999327                 568.339894077475833                 839.600000000000591                2765.999999999985448               48761.999999999963620
 29                 917.405333333331669                 685.910447648797913                 685.200000000000841                2007.599999999992860               45870.266666666582751
 30                1049.831999999999198                 557.943424171302127                 964.000000000001705                2765.999999999985448               52491.599999999954889
 31                 950.831999999997947                 715.377525847092215                 682.800000000000978                2007.599999999992860               47541.599999999896681
 32                1058.871999999998934                 628.612657537212613                1028.000000000001592                2765.999999999985448               52943.599999999947613
 33                 973.517333333331067                 735.861715458365893                 538.933333333332030                2007.599999999992860               48675.866666666552192
 34                1204.447999999998274                 701.820889469667350                1146.400000000000546                2765.999999999985448               60222.399999999914144
 35                1089.991999999996551                 785.032763946402611                1239.199999999999591                2007.599999999992860               54499.599999999831198
 36                1265.399999999997590                 779.027435717121534                1316.399999999999409                2765.999999999985448               63269.999999999883585
 37                1122.114666666663197                 793.001736866807164                 730.800000000000978                2007.599999999992860               56105.733333333162591
 38                1254.727999999997337                 840.680112061652494                1146.400000000000546                2765.999999999985448               62736.399999999863212
 39                1281.157333333329007                 788.752074920035511                1827.999999999994316                2007.599999999992860               64057.866666666450328
 40                 996.287999999998192                 796.328820686526456                 759.200000000000955                2765.999999999985448               49814.399999999906868
 41                1456.951999999994769                 712.882616990417660                1971.999999999992724                2007.599999999992860               72847.599999999743886
 42                 922.935999999998558                 729.763085325639395                 471.200000000000387                2765.999999999985448               46146.799999999930151
 43                1506.501333333329057                 679.443919326186233                1971.999999999992724                2007.599999999992860               75325.066666666447418
 44                1024.439999999997326                 902.037403215627023                 366.000000000000114                2765.999999999985448               51221.999999999869033
 45                1302.607999999995627                 801.101262084745599                1971.999999999992724                2007.599999999992860               65130.399999999775901
 46                 834.783999999998741                 689.014163964715294                 366.000000000000114                2765.999999999985448               41739.199999999938882
 47                1476.735999999995329                 683.785766705069932                1971.999999999992724                2007.599999999992860               73836.799999999770080
 48                 931.751999999997906                 840.867068267031300                 366.000000000000114                2765.999999999985448               46587.599999999896681
 49                1478.306666666662295                 664.113757992974797                1827.999999999994316                2007.599999999992860               73915.333333333110204
