# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 436.717333333333727                 733.472856007334940                  48.000000000000000                3439.200000000001637               21835.866666666686797
  1                 470.416679012345867                1062.355561465806204                  83.953703703703695                5554.200000000000728               23520.833950617292430
  2                 734.060904691356654                1642.607807315945820                  93.586172839506176                7963.799999999973807               36703.045234567834996
  3                 939.375709305149371                1136.749557744667300                 696.576433430515976                4562.192410714263133               46968.785465257467877
  4                 998.660894522175681                1048.024598235670283                 734.880592592593530                3960.618666666654462               49933.044726108782925
  5                1206.881860482227694                1281.469196221701168                 996.471050642480805                5272.257142857123654               60344.093024111389241
  6                1262.933621327730862                1094.382115763783531                1028.104890046297896                4377.977160493804149               63146.681066386539896
  7                1588.449673761077520                1451.018802146175631                1118.173818181819797                6139.799999999981083               79422.483688053878723
  8                1564.613240382713457                1126.661615444288600                1075.779000000001588                4965.099999999979445               78230.662019135677838
  9                1629.323341276586916                1013.935508108428053                1311.665054586266024                4747.399999999982356               81466.167063829343533
 10                1409.257197150152706                1023.967920449957205                1064.441411900067123                4683.384615384595236               70462.859857507632114
 11                1519.369439720897844                1216.106861985551632                1264.347337006427551                4846.409090909070983               75968.471986044896767
 12                1660.342403742279657                1258.538089536919870                1348.500347222221080                5291.499999999979082               83017.120187113978318
 13                1504.790546296293087                1188.946842455216256                1147.200000000001637                4902.387499999970714               75239.527314814651618
 14                1425.203478909462774                1249.513675553745315                1092.406481481482842                7201.333333333308474               71260.173945473143249
 15                1425.122828930953347                1245.765577610553237                1010.114716049384242                5276.866666666644960               71256.141446547670057
 16                1530.071102847061638                1166.305623127032277                1082.893188208618312                4524.435102040789388               76503.555142353085103
 17                1525.450443412687264                1589.517768867300674                1012.637035123968531                5367.272727272706106               76272.522170634358190
 18                1667.272902777772742                1666.533672181965358                1029.719444444446026                5835.499999999978172               83363.645138888634392
 19                2113.863122448972263                2032.091231753058082                1081.445408163266848                6804.428571428547002              105693.156122448606766
 20                2137.198206380199281                2048.640800835085429                1079.635937500001319                6633.899999999980537              106859.910319009970408
 21                2155.294163242493596                1759.957659718564628                2941.082179930788698                5046.352941176450258              107764.708162124676164
 22                2471.605529638875851                1933.424403909734792                3152.147583333316106                5853.949999999977081              123580.276481943801627
 23                2410.927216114047042                1844.979192818809679                3048.786267006785693                4934.285714285693757              120546.360805702352081
 24                2695.796957369828760                1863.355557639534709                3100.624793388412400                5456.636363636342139              134789.847868491429836
 25                3654.504904185997020                2152.782210145829140                4067.192517006782509                5976.363265306114954              182725.245209299842827
 26                3425.902712666652405                2323.158198301070570                4068.308999999979278               10079.099999999976717              171295.135633332625730
 27                3622.684837537040039                2210.389066190537505                4069.606371191115613                9880.421052631547354              181134.241876852000132
 28                3776.790931648831247                1958.153849706774508                4067.192517006782509                9830.285714285684662              188839.546582441573264
 29                6195.753787037013353                2904.538870736907484                7348.558333333301562               10365.599999999976717              309787.689351850654930
 30                6294.329739368973605                2736.611495144118180                7374.503703703672727               10809.199999999975262              314716.486968448676635
 31                6397.975723958307753                2809.336108395866631                7390.256249999968531               11030.999999999974534              319898.786197915382218
 32                5813.716691357999480                2965.301142245770279                7448.633333333302289               11696.399999999972351              290685.834567899990361
 33                5206.802346666645462                2984.916232222926283                7507.343999999968219               11492.279999999951542              260340.117333332251292
 34                5281.250074074051554                3323.415068116407383                7448.633333333302289               11696.399999999972351              264062.503703702590428
 35                5440.348283950595942                3286.117638455326414                7448.633333333302289               11696.399999999972351              272017.414197529782541
 36                6044.334570666646869                2925.754662115763040                7507.343999999968219               12228.719999999968422              302216.728533332352526
 37                6195.879037037010676                2854.847305681211310                7448.633333333302289               11173.399999999968713              309793.951851850550156
 38                6229.132526041643359                2856.973617515577644                7390.256249999968531               11030.999999999974534              311456.626302082149778
 39                6268.943604938244789                3184.109814876560904                7848.933333333301562               14357.999999999959982              313447.180246912233997
 40                6661.580874666643467                2635.674426798508193                7507.343999999968219               12228.719999999968422              333079.043733332189731
 41                6795.172081632626941                2603.200687570343234                7413.232653061193560               11316.171428571400611              339758.604081631347071
 42                6886.527157333310242                2688.465391576125967                7507.343999999968219               12228.719999999968422              344326.357866665523034
 43                6855.143118427044101                2691.703330396878300                7374.503703703672727               10809.199999999975262              342757.155921352212317
 44                7326.493631999973331                2091.749117261240372                7363.235999999968044               10631.759999999976571              366324.681599998672027
 45                7552.453768707455311                1500.569415867027146                7413.232653061193560               10846.199999999953434              377622.688435372780077
 46                4361.832999999976892                1438.358018982789417                4189.733333333312657                8936.299999999982901              218091.649999998830026
 47                7149.847518518487959                2253.764859260346839                7448.633333333302289               11696.399999999972351              357492.375925924396142
 48                7477.252083333304654                1819.903622183210700                7615.424999999968350               13027.199999999966167              373862.604166665230878
 49                7261.818518518490237                2001.044903569447570                7448.633333333302289               11696.399999999972351              363090.925925924500916
