# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1566.956333333335124                2484.818513783900926                 114.000000000000000                8499.200000000011642               78347.816666666753008
  1                 673.932000000000244                2268.583392335745430                  45.325000000000003               14539.200000000008004               33696.600000000013097
  2                3091.370666666663055                4722.760691933563066                 688.000000000000000               16175.999999999939973              154568.533333333150949
  3                3787.392000000004373                2214.926379981062382                3942.400000000004184                8419.200000000006185              189369.600000000209548
  4                6743.167999999992389                5235.194901556857985                6172.800000000009277               25228.799999999857391              337158.399999999615829
  5                5039.296000000004824                2650.405465204144093                5097.600000000005821               11897.599999999974898              251964.800000000221189
  6                8547.946666666653982                5889.094790007078700                7558.400000000010550               21609.599999999885767              427397.333333332731854
  7                1956.253333333329465                6776.378888016461133                 649.600000000000250               48849.599999999809370               97812.666666666467790
  8                5293.738666666664358                4393.734506394592245                4790.400000000005093               18995.199999999913416              264686.933333333232440
  9                6431.295999999999367                4501.246455325887837                5577.600000000006730               20691.199999999949796              321564.799999999988358
 10                5274.048000000000684                4278.660970829060716                4988.800000000006548               31475.199999999887950              263702.400000000023283
 11                3008.973714285717051                1749.449994852885993                2760.881632653065026                7345.371428571414981              150448.685714285849826
 12                1626.393907407402594                3487.629282871361283                 876.949999999996521               19484.933333333250630               81319.695370370129240
 13                9468.277333333313436                5248.545987305788003                9970.666666666626043               21003.199999999891588              473413.866666665649973
 14                6009.792000000002190                3712.739093868024156                5942.400000000007822               21167.999999999930878              300489.600000000093132
 15                4189.629333333331488                2538.884744070290253                3706.800000000004729               18391.999999999970896              209481.466666666587116
 16                1791.658913580240323                4305.344673205068830                 461.208333333331780               16402.024999999925058               89582.945679012016626
 17                8602.581333333342627                9885.763930618586528                5868.800000000009277               52713.600000000544242              430129.066666667116806
 18                5570.495999999996457                4324.075128716422114                3753.599999999999454               18582.399999999965075              278524.799999999813735
 19                3806.530666666675188               10319.083473667884391                1544.000000000002046               71543.999999999708962              190326.533333333762130
 20                4788.373333333324808                6344.248064422830794                2595.200000000003911               31823.999999999792635              239418.666666666220408
 21                6065.151999999999134                4108.689432032546392                5827.200000000008004               21094.399999999925058              303257.599999999976717
 22                6048.063999999981206                8497.673612360864354                2748.800000000003820               31823.999999999792635              302403.199999999080319
 23                7794.623999999989792                4859.929652271096529                7862.400000000010550               21094.399999999925058              389731.199999999487773
 24                9622.911999999960244               10509.938784128149564                4745.599999999984902               31823.999999999792635              481145.599999997997656
 25                9393.663999999982479                6122.656769924615219                9110.400000000006912               21094.399999999925058              469683.199999999080319
 26               10336.469333333288887               10729.729933740802153                5347.200000000007094               31823.999999999792635              516823.466666664462537
 27                8559.743999999986045                6142.296425154336248                7363.200000000011642               21094.399999999925058              427987.199999999313150
 28               17120.874666666568373               13817.342290946466164               11107.199999999984357               34182.399999999841384              856043.733333328505978
 29                5500.927999999988970                4780.095860755915055                2924.800000000002001               20012.799999999926513              275046.399999999441206
 30                6112.465833333358205                5054.075650029678400                7755.700000000072578               36591.299999999850115              305623.291666667908430
 31               22809.209977460424852                9948.544418933130146               27929.097520660976443               29963.319008264319564             1140460.498873021220788
 32                7544.359999999972388                3472.927042673547930                6355.199999999976171               18957.599999999900319              377217.999999998603016
 33                4192.242666666655168                4109.188099245327976                4616.399999999980537               28103.199999999917054              209612.133333332778420
 34                2665.596148148148131                5650.609497848920910                1401.866666666679293               23653.199999999971624              133279.807407407410210
 35               22793.450666666525649               13407.716567479899823               31823.999999999792635               34182.399999999841384             1139672.533333326224238
 36                4126.847999999992680                3520.617997240817203                2716.800000000000637               15251.199999999978900              206342.399999999644933
 37               11042.258567901179049                5619.667842663364354               14273.955555555470710               19599.999999999923602              552112.928395058959723
 38               17381.925185073785542                4960.709322310853167               19545.361983470960695               22532.727272727181116              869096.259253689204343
 39               24138.447999999843887               10516.331798654093291               30383.999999999803549               30383.999999999803549             1206922.399999992223457
 40                3835.711999999994077                3996.113752967486562                2716.800000000000637               21094.399999999925058              191785.599999999714782
 41               25385.471999999830587               11668.110603367375006               31823.999999999792635               34182.399999999841384             1269273.599999991478398
 42                3924.735999999993510                3691.585089023938508                2716.800000000000637               20012.799999999926513              196236.799999999668216
 43               12670.371327999942878                6137.720702027402695               14142.591999999933250               27417.599999999863940              633518.566399997100234
 44               21683.169228149141418               10705.776016899559181               27902.280991735355201               27902.280991735355201             1084158.461407457012683
 45                3923.327999999992244                3454.837905953898371                2716.800000000000637               14697.599999999949432              196166.399999999615829
 46               19556.559999999957654                7888.707281508985943               22357.199999999949796               41003.999999999832653              977827.999999997904524
 47               26673.557333333148563               10731.827479076750024               31823.999999999792635               31823.999999999792635             1333677.866666657384485
 48                3571.327999999995882                3361.345785190199877                2716.800000000000637               19297.599999999947613              178566.399999999790452
 49               20152.016999999887048                5071.192865792091652               22333.499999999854481               22333.499999999854481             1007600.849999994388781
