# Fitness (teach set vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1065.364660493827159                 856.958913652890715                 696.288888888887413                3186.375925925925003                8522.917283950617275
  1                2006.593066666662253                1851.886933333328898                3858.479999999991378                3858.479999999991378               16052.744533333298023
  2                1663.167999999998074                 365.263999999997736                2028.431999999995924                2028.431999999995924               13305.343999999984590
  3                 848.440533333332610                 186.259199999999538                1034.699733333332233                1034.699733333332233                6787.524266666660878
  4                 788.833333333332689                 540.797574575428257                 369.933333333333223                1486.999999999998408                6310.666666666661513
  5                 545.866666666666902                   0.000000000000114                 545.866666666667015                 545.866666666667015                4366.933333333335213
  6                 416.133333333333610                   0.000000000000057                 416.133333333333553                 416.133333333333553                3329.066666666668880
  7                2317.090666666662401                1503.693333333328383                3820.783999999991011                3820.783999999991011               18536.725333333299204
  8                2240.714133333328846                1284.923199999994949                3525.637333333324023                3525.637333333324023               17925.713066666630766
  9                2757.329599999994571                 696.350399999996853                3453.679999999991196                3453.679999999991196               22058.636799999956565
 10                1474.932266666665100                1168.481066666665129                2643.413333333330684                2643.413333333330684               11799.458133333320802
 11                1570.895898437499000                 579.889498115324386                1927.483854166668607                2216.183333333330665               12567.167187499991996
 12                1513.666435185183218                2003.964973075478611                 135.308024691358071                4875.149999999991451               12109.331481481465744
 13                2821.999999999994088                 336.533333333330120                3158.533333333324208                3158.533333333324208               22575.999999999952706
 14                2010.192533333328811                1848.287466666662112                3858.479999999991378                3858.479999999991378               16081.540266666630487
 15                2093.043466666662425                1765.583651104144792                3858.479999999991378                3858.479999999991378               16744.347733333299402
 16                2663.493333333328337                 899.839999999995257                3563.333333333323935                3563.333333333323935               21307.946666666626697
 17                2100.134933333328718                1758.345066666662206                3858.479999999991378                3858.479999999991378               16801.079466666629742
 18                1706.156249999997044                1972.511201336726117                 273.091666666666868                4252.199999999991633               13649.249999999976353
 19                1695.041666666663104                1980.869564594781195                 211.908333333333417                4252.199999999991633               13560.333333333304836
 20                2743.434666666661542                1115.045333333330291                3858.479999999991378                3858.479999999991378               21947.477333333292336
 21                2537.372789115643172                 554.388964276358138                2555.257142857140934                3303.104761904752650               20298.982312925145379
 22                2053.559635416665060                1604.026937336765741                1805.508333333330711                6183.393749999991996               16428.477083333320479
 23                1864.415999999999713                1579.237333333333027                3443.653333333332739                3443.653333333332739               14915.327999999997701
 24                1362.737037037037908                1477.437200521921568                 509.738271604938859                3921.733333333333576               10901.896296296303262
 25                2773.999999999995453                 384.533333333328983                3158.533333333324208                3158.533333333324208               22191.999999999963620
 26                2722.916799999994964                1135.563199999996868                3858.479999999991378                3858.479999999991378               21783.334399999959714
 27                1364.940740740738647                2045.817157195801428                 183.787654320987798                4908.399999999991451               10919.525925925909178
 28                2713.064533333328200                1145.415466666663860                3858.479999999991378                3858.479999999991378               21704.516266666625597
 29                1882.514814814811871                1849.992117331415102                1576.716049382714345                4908.399999999991451               15060.118518518494966
 30                3236.759999999997035                 206.893333333335676                3443.653333333332739                3443.653333333332739               25894.079999999976280
 31                 745.255305989583803                  64.895060502554657                 769.783333333333871                 769.783333333333871                5962.042447916670426
 32                 691.857066666666924                 398.222933333333515                1090.080000000000382                1090.080000000000382                5534.856533333335392
 33                 559.533333333333985                  61.266666666666765                 620.800000000000637                 620.800000000000637                4476.266666666671881
 34                2029.159999999995762                1829.319999999995844                3858.479999999991378                3858.479999999991378               16233.279999999966094
 35                2644.554166666661331                 755.344714524708138                2059.466666666663514                3619.699999999991633               21156.433333333290648
 36                1259.470933333333278                  53.838933333334467                1313.309866666667631                1313.309866666667631               10075.767466666666223
 37                 884.666666666667084                   0.000000000000114                 884.666666666667197                 884.666666666667197                7077.333333333336668
 38                 523.200000000000387                  73.600000000000023                 596.800000000000409                 596.800000000000409                4185.600000000003092
 39                 942.533333333334440                   0.000000000000114                 942.533333333334326                 942.533333333334326                7540.266666666675519
 40                2156.144533333326763                1567.680533333326593                3723.825066666653584                3723.825066666653584               17249.156266666614101
 41                1712.461333333332732                 855.956799999998339                2568.418133333330843                2568.418133333330843               13699.690666666661855
 42                 815.776533333334100                 430.863466666667136                1246.640000000001237                1246.640000000001237                6526.212266666672804
 43                2106.170133333326703                1691.856533333326524                3798.026666666653455                3798.026666666653455               16849.361066666613624
 44                2299.333333333329847                  83.866666666665424                2383.199999999995271                2383.199999999995271               18394.666666666638775
 45                 793.096000000000458                 421.170666666666875                1214.266666666667334                1214.266666666667334                6344.768000000003667
 46                 478.433333333333564                  73.865245172844681                 461.866666666666902                 596.800000000000409                3827.466666666668516
 47                 417.733333333333576                  46.653236162611961                 393.200000000000273                 474.666666666666856                3341.866666666668607
 48                2346.933333333329756                  36.266666666665962                2383.199999999995271                2383.199999999995271               18775.466666666638048
 49                 977.180741978908031                 212.860133552897025                 884.270109347441917                1344.531588726920063                7817.445935831264251
