# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1720.975111111109072                5373.070704631617446                  47.555555555555557               32826.666666666576930               86048.755555555457249
  1                2552.415999999996075                5260.673582702497697                 394.000000000000000               23472.333333333328483              127620.799999999813735
  2                2219.573333333327810                3743.447512512128924                 280.000000000000000               14229.866666666624951              110978.666666666380479
  3                1229.574399999999969                1666.145181459879041                 630.400000000000091                5766.933333333334303               61478.719999999993888
  4                2242.399619047619581                2776.087819438577753                 548.304761904761790                9063.123809523811360              112119.980952380981762
  5                2201.123555555552684                3854.837245467071625                 334.399999999999864               16664.533333333300106              110056.177777777644224
  6                5195.087111111101876                6348.168665539677932                1303.222222222222626               19698.133333333258634              259754.355555555113824
  7                3591.851999999992586                4523.097844526752851                1258.466666666666015               15375.333333333262999              179592.599999999627471
  8                1539.106400000000122                2508.701962403473772                 453.879999999999939                9760.160000000007130               76955.320000000006985
  9                3748.781333333326984                4933.151551246181953                 651.422222222222217               25280.399999999979627              187439.066666666360106
 10               10919.999999999974534               11397.715866423955958               11308.799999999991996               36515.199999999837019              545999.999999998719431
 11                3750.014666666661014                3352.462758332608246                3567.266666666668698               13075.800000000001091              187500.733333333046176
 12                4140.769066666656727                5847.516287636603920                1440.533333333333303               31711.199999999927968              207038.453333332814509
 13                3075.586666666662040                4924.028288843721384                 720.400000000000318               26652.799999999959255              153779.333333333110204
 14                1691.403384615382265                1808.628991332042688                1217.838461538461843                6952.535897435886909               84570.169230769111891
 15                1969.351904761902006                3199.455534108560641                1375.963492063490776               21366.471428571378055               98467.595238095105742
 16                5598.889511111099637                6311.997902627750591                5715.493333333333794               31940.679999999982101              279944.475555554963648
 17                4167.405150997141391                3870.804312927681622                4199.001709401703010               13377.938461538418778              208370.257549857051345
 18                1747.375301587298964                1274.334187109763434                1831.369206349203523                5200.528571428563737               87368.765079364951816
 19                2291.903999999995449                2456.692573701112451                1768.479999999998654               16102.986666666631208              114595.199999999778811
 20                1944.335452380948027                2037.567065869863200                1814.974999999994452                9699.139285714267317               97216.772619047405897
 21                2076.246545454542684                2137.023732247682346                1536.729389129387755                8963.607503607494436              103812.327272727125091
 22                1920.419548872176392                1860.703400035735740                1751.266165413534281                6217.186466165399906               96020.977443608819158
 23                3409.706666666661022                2153.157140017849542                3165.866666666662695                7264.533333333330120              170485.333333333051996
 24                1766.243047619047047                1558.599434744945256                1639.314285714286143                6459.276190476191914               88312.152380952349631
 25                5868.145066666652383                7741.026409792822960                 554.239999999999895               20925.759999999914726              293407.253333332599141
 26               10733.901333333305956                9799.310940122146349               10763.799999999995634               29987.999999999887223              536695.066666665254161
 27                4407.607999999992899                4649.426967294201859                3728.666666666670608               24470.799999999941065              220380.399999999644933
 28                3115.620444444439272                2295.492684620644013                2691.111111111104947               10873.999999999978172              155781.022222221974516
 29                2392.636275132268565                1857.020248559568699                2933.949206349205269               10798.028571428545547              119631.813756613424630
 30                2906.363358024685112                2604.416713443243225                2545.374074074063628               14511.705555555528917              145318.167901234264718
 31                1994.698434782606000                3298.701411315596943                 979.594202898548588               17467.930434782574594               99734.921739130295464
 32                1879.799390476185863                2284.579976583606822                1330.969523809518023               10333.379047619022458               93989.969523809297243
 33                4074.068266666657109                2419.110219253387186                3696.906666666660840                8002.791111111097052              203703.413333332864568
 34                2621.162264550258897                1551.878100616081156                3149.038888888881502                6433.877777777765914              131058.113227512949379
 35                2718.536148148143184                3353.106856479909311                1344.555555555553838               20679.111111111116770              135926.807407407148276
 36                7106.960666666645920                4702.828317426237845                6093.933333333336122               24975.133333333258634              355348.033333332277834
 37                3064.900444444434470                2641.586546548950537                4066.133333333316386               11654.199999999986176              153245.022222221712582
 38                4650.461511111096115                3268.645812415120872                3626.186666666651035               17223.786666666637757              232523.075555554794846
 39                3414.238050142440443                2952.593855820701265                2680.789957264951227               17567.818931623878598              170711.902507122023962
 40                2909.789119658114032                2028.739758923641148                2362.332051282046450                9039.369230769229034              145489.455982905696146
 41                3503.024888888880014                2948.944395575777435                3720.949999999985266               17753.899999999961437              175151.244444443989778
 42                6260.709333333315953                2802.460302257162311                7080.564705882336057               14694.060784313707700              313035.466666665801313
 43                3265.709101298693440                2370.943482021910768                3026.309956709954804                8302.325714285703725              163285.455064934678376
 44                2625.906793650788131                2826.800785901987638                2723.504761904754560               16387.371428571394063              131295.339682539401110
 45                8342.028666666643403                5544.562047816684753                8303.099999999994907               31623.999999999934516              417101.433333332126494
 46               12182.426296296260261                5731.824834229148109               14207.749999999956344               23036.533333333267365              609121.314814812969416
 47                8556.581111111085193                4984.191677886163234                9816.105555555534011               16618.349999999962165              427829.055555554281455
 48                2805.593919191911027                1294.345158395878798                3213.999999999995453                7219.974242424234944              140279.695959595555905
 49                3126.879865319858254                2130.775907000460847                3227.160942760938724                9047.002020202020503              156343.993265992903616
