# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 647.981333333332486                1856.763199999873450                  15.833333333333332               10229.199999999978900               32399.066666666625679
  1                 404.131999999999266                 888.865488772937965                  64.500000000000000                4841.283333333330120               20206.599999999962165
  2                 295.506666666665922                 482.510103382991588                  47.666666666666671                1848.866666666661786               14775.333333333295741
  3                 511.092000000000212                 847.057137350249832                 173.333333333333314                3367.400000000000546               25554.600000000009459
  4                 435.393666666666604                 600.183301119934413                  79.066666666666649                2494.333333333331211               21769.683333333330665
  5                 825.421333333332200                1445.563967050151859                 125.399999999999949                6249.199999999988904               41271.066666666607489
  6                 835.418666666665217                 935.384778311041259                 417.183333333332882                3671.199999999996635               41770.933333333261544
  7                1011.368999999998891                1091.570295120290666                 624.050000000000864                4215.900000000000546               50568.449999999946158
  8                 788.179999999999723                1092.223314406597183                 164.883333333333297                3513.883333333334122               39408.999999999985448
  9                 812.399333333332493                1311.011177806232809                 164.866666666666703                7329.699999999993452               40619.966666666623496
 10                1364.999999999996817                1424.714483302994495                1413.599999999999000                4564.399999999979627               68249.999999999839929
 11                1109.981999999998607                1062.119738153847948                 982.549999999999955                4817.699999999999818               55499.099999999933061
 12                1017.889333333331138                1357.402895343241653                 610.533333333333530                7399.999999999984539               50894.466666666558012
 13                1089.617333333330862                1767.587703035344020                 239.233333333333491                9982.099999999982174               54480.866666666544916
 14                2387.437999999996919                2709.336253369568567                1634.600000000002410               11260.766666666650053              119371.899999999848660
 15                1700.144333333331133                1477.283957262296553                1468.649999999994861                7358.249999999980901               85007.216666666558012
 16                1607.518999999996367                1724.883148270916308                1952.333333333330302                8275.633333333329574               80375.949999999822467
 17                2951.342666666660989                3345.886528779539731                1773.766666666664378               12920.099999999960346              147567.133333333040355
 18                4322.443999999994958                3178.421334587972069                4636.183333333326118               12600.449999999982538              216122.199999999749707
 19                1181.963999999997668                 971.152441926369534                1000.533333333333189                4170.266666666657329               59098.199999999887950
 20                1387.086666666663405                1462.207487959365380                1071.933333333333621                5454.299999999990177               69354.333333333168412
 21                2194.070333333330382                2258.969417441622682                1472.533333333331029                9810.099999999991269              109703.516666666517267
 22                4367.266666666659148                4302.042752432324960                4137.649999999999636               14591.733333333293558              218363.333333332935581
 23                2755.778666666659319                2019.081128695916050                2168.900000000001000                7338.799999999995634              137788.933333332970506
 24                1017.542666666665468                1015.487560972888105                 923.933333333333394                4603.866666666666788               50877.133333333273185
 25                1228.742666666663581                1858.505666341640563                 120.666666666666643                5762.799999999997453               61437.133333333178598
 26                1489.703666666663139                1297.682567191260432                1523.699999999999136                4023.199999999984811               74485.183333333159680
 27                 827.787999999999101                1271.177577572331302                 499.333333333333826                7297.399999999985084               41389.399999999957799
 28                2819.656999999993332                2453.251382130091315                2435.299999999997908               11779.249999999972715              140982.849999999656575
 29                3517.015333333326453                2622.102985596859526                3974.333333333333485               14032.499999999967258              175850.766666666313540
 30                2579.496666666661895                2062.801442510211018                2364.699999999999818                9567.099999999982174              128974.833333333095652
 31                2177.511999999996988                1986.635795037092976                1771.933333333328392                8961.599999999991269              108875.599999999860302
 32                2773.153999999993630                2892.660384618199259                1588.516666666666652               11600.499999999949068              138657.699999999691499
 33                2904.763999999993302                1741.505989702777015                2626.899999999995998                5821.033333333322844              145238.199999999662396
 34                3299.031999999993332                1831.806230733416896                3885.499999999985903                6738.199999999986176              164951.599999999656575
 35                2294.392666666661626                1837.003686396708872                1435.133333333331393                6475.466666666668971              114719.633333333084011
 36                2026.591333333328294                1399.865885573166224                1777.133333333330256                5603.599999999996726              101329.566666666418314
 37                3717.455999999991036                3205.809796211586217                4806.399999999980537               12850.199999999986176              185872.799999999551801
 38                3122.114666666656376                2171.307951383318141                2480.000000000000000               11031.199999999980719              156105.733333332813345
 39                3387.791999999989002                2573.777785409862645                2660.133333333327300               14293.199999999957072              169389.599999999452848
 40                2660.852333333328261                1824.935744467030645                2385.849999999996271                7216.549999999997453              133042.616666666406672
 41                1846.127333333328352                1418.044162937731016                1853.899999999993042                7058.599999999985812               92306.366666666421224
 42                3755.602333333323259                1921.079340637006453                3366.599999999986721                7767.166666666656965              187780.116666666173842
 43                4124.239333333322975                3214.657918532886015                4083.666666666659239               11502.049999999986539              206211.966666666150559
 44                1639.472333333329289                1646.412858842618334                1812.616666666661331                9136.499999999979991               81973.616666666464880
 45                2801.178666666659865                1686.565112525844597                3483.799999999996089                8247.399999999983265              140058.933333332999609
 46                3230.285999999991418                1404.132852840574060                3406.749999999989996                7128.499999999988177              161514.299999999580905
 47                3346.248666666658664                2466.074409278478925                3467.833333333333485               10262.733333333306291              167312.433333332941402
 48                4072.201999999988857                1915.436076246052608                4788.900000000000546                8733.099999999983993              203610.099999999452848
 49                3525.231333333324073                1919.563291138084651                4094.266666666668243                7537.733333333312657              176261.566666666214587
