# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                3677.806666666668661                4511.526390278326289                1786.866666666666788               17099.199999999997090              183890.333333333430346
  1                3811.874666666666144                4146.644609708539974                2036.800000000001319               16078.000000000007276              190593.733333333308110
  2                3962.250666666667712                2834.243278339149128                4206.400000000004184               15732.799999999973807              198112.533333333383780
  3                4159.792000000000371                3262.777392825932111                3229.200000000000273               14297.599999999994907              207989.600000000034925
  4                5451.810666666668112                4976.540937306373962                4025.466666666670335               19490.400000000005093              272590.533333333383780
  5                6668.679111111110615                5281.153121340555117                5737.733333333339033               23300.799999999981083              333433.955555555527098
  6               14956.629333333317845                8343.551176894061427               14668.800000000017462               26118.399999999906868              747831.466666665859520
  7               10315.829333333322211                5747.484529150845447               11807.999999999974534               23527.999999999949068              515791.466666666150559
  8               10476.875733333312382                6439.113767421054035               12934.479999999970460               27269.919999999936408              523843.786666665575467
  9                8072.251999999975851                4379.037258358948748                9170.599999999963984               19029.399999999972351              403612.599999998812564
 10               23125.653333333255432                9795.885777148101624               29171.199999999898864               32227.199999999858846             1156282.666666662786156
 11                8747.461333333299990                3989.474117833120999               10172.799999999951979               20023.199999999986176              437373.066666664963122
 12               19029.951999999928375                9436.180428693101931               27178.399999999885040               28175.199999999880674              951497.599999996484257
 13               18079.283999999948719                3514.634740062607762               19486.599999999922147               30269.599999999889405              903964.199999997392297
 14                8227.103999999984808                2805.441692589120521                7597.999999999972715               16556.799999999970169              411355.199999999196734
 15               27480.643555555427156                5032.871226329818455               30083.733333333198971               30083.733333333198971             1374032.177777771372348
 16               26111.342666666561854                5961.876143586689068               28584.599999999896681               29158.999999999890861             1305567.133333328180015
 17               15762.911999999963882                1619.923749395626373               15281.599999999951251               20998.399999999939610              788145.599999998230487
 18                4090.248888888880174                5721.995998358826000                1598.355555555552883               18252.399999999965075              204512.444444444001419
 19               19144.029866666602175                2463.313739093275217               20695.559999999910360               20695.559999999910360              957201.493333330028690
 20                7632.418285714267768                1632.308927401240226                7688.228571428549913               15883.428571428568830              381620.914285713399295
 21               21842.083428571364493                3885.149913807963003               23137.714285714228026               23182.914285714225116             1092104.171428568195552
 22               15279.359999999967840                1677.995329671681930               15281.599999999951251               20998.399999999939610              763967.999999998370185
 23                4315.362666666653240                4147.485361863600701                2427.066666666658421               19195.199999999967986              215768.133333332662005
 24                5084.570628571413181                1648.661297929230159                4630.645714285697977                9771.445714285689974              254228.531428570655407
 25               13175.915555555515311                3297.440327727457770               15040.933333333288829               15369.599999999971260              658795.777777775772847
 26               24108.949333333272079                6357.823179374221581               27251.199999999913416               27251.199999999913416             1205447.466666663531214
 27               11522.690666666627294                1843.439567656552981               10828.999999999954525               20414.933333333272458              576134.533333331346512
 28               11050.377999999951498                1933.216375446305619               11508.766666666613673               18931.733333333340852              552518.899999997578561
 29               16652.091999999938707                2922.730505567123146               18484.085714285647555               20314.485714285707218              832604.599999996949919
 30                9467.981999999967229                2083.270178724998914                9089.699999999964348               20491.799999999981083              473399.099999998346902
 31                9416.848222222195545                5720.099937669892824                7055.066666666676610               18793.099999999936699              470842.411111109773628
 32                5993.348799999981566                2086.105558794797162                6157.439999999973224               12447.360000000004220              299667.439999999071006
 33               13741.589333333291506                4761.490065624579074               15516.799999999971988               17523.999999999934516              687079.466666664578952
 34                5676.008533333325431                5784.184545126474404                2953.706666666666933               21837.439999999940483              283800.426666666287929
 35               10053.675199999963297                3190.341418721336595               11249.819999999954234               21167.280000000009750              502683.759999998204876
 36               12896.838666666633799                5210.925088560912627               14593.999999999969077               16818.199999999942520              644841.933333331719041
 37                5411.047999999994317                5479.136216514250009                2797.866666666666788               18631.999999999941792              270552.399999999732245
 38                6906.545212121189252                1977.847481531864332                7401.163636363607111               16348.133333333340488              345327.260606059455313
 39               18540.951999999946565                7139.311817093830541               19541.999999999952706               29051.199999999880674              927047.599999997415580
 40                2079.914154882150797                1019.937445023506825                1609.585185185178261                4530.636588103253416              103995.707744107538019
 41                7846.410666666641191                2352.159984628739494                7202.199999999989814               19676.600000000002183              392320.533333332045004
 42               15303.409454545415429                5678.630079769742224               15963.781818181774725               22372.836363636273745              765170.472727270796895
 43                4178.756685714280138                3373.838417458145159                4278.959999999995489               15082.319999999992433              208937.834285714023281
 44               10362.697858585819631                1671.704581494266449               10358.787878787841692               11915.818181818136509              518134.892929290945176
 45               20682.119333333255781                3972.918662326843787               20488.974999999914871               31798.849999999867578             1034105.966666662716307
 46                9719.855999999976120                4967.053881886713498               12303.999999999969077               15667.657142857080544              485992.799999998765998
 47               13507.103529411715499                2118.692209247257779               12934.596419437299119               16531.324808184079302              675355.176470585749485
 48               14867.175644444396312                3199.775087408954732               16046.239999999937936               19722.506666666577075              743358.782222219859250
 49               20642.754666666591220                3944.888519375461783               18397.799999999970169               26056.899999999910506             1032137.733333329553716
