# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 492.037333333333606                 971.010059420144671                 186.666666666666629                4020.800000000002456               24601.866666666679521
  1                 685.792000000000371                1067.630075313438738                 228.000000000000000                4065.200000000003456               34289.600000000020373
  2                 582.237333333333709                 870.305836528235773                 218.533333333333303                3583.600000000002183               29111.866666666683159
  3                 810.528000000000361                1070.749980306846510                 356.666666666666686                3583.600000000002183               40526.400000000016007
  4                1196.194666666667672                1323.525776961925885                 369.066666666666606                4504.800000000002910               59809.733333333388146
  5                1679.864000000000715                1488.076351563244998                1649.066666666667288                6206.399999999991451               83993.200000000040745
  6                1942.133333333334804                1492.862902568975642                2271.066666666667516                6206.399999999991451               97106.666666666744277
  7                2111.274666666668054                1314.308304953345214                2530.933333333334303                5110.400000000005093              105563.733333333409973
  8                2629.066666666668425                1510.885732630588564                3028.533333333334667                5930.800000000002910              131453.333333333430346
  9                2840.290666666669495                1412.409762058212664                3028.533333333334667                5930.800000000002910              142014.533333333471091
 10                2698.317333333334318                1579.661791738135435                2877.600000000003092                5930.800000000002910              134915.866666666726815
 11                2687.621333333334860                1503.302629187706543                2603.600000000001728                5930.800000000002910              134381.066666666738456
 12                2617.024000000003070                1788.932153027362801                2349.333333333335304                5716.800000000005639              130851.200000000142609
 13                2589.728000000001430                1599.913908174924245                2686.000000000002274                7557.600000000005821              129486.400000000066939
 14                2994.400000000001000                1385.346475651489527                3254.000000000002728                6913.800000000004729              149720.000000000058208
 15                3133.333333333335304                1381.436816265346351                3321.800000000002001                6894.200000000005275              156666.666666666773381
 16                2922.193777777779815                1170.177305624375322                3000.400000000001910                5723.200000000004366              146109.688888888980728
 17                2748.464000000001306                1274.102655729161143                3000.400000000001910                5723.200000000004366              137423.200000000069849
 18                2633.400000000000091                1254.214764486845297                2524.000000000001364                5612.000000000004547              131670.000000000000000
 19                2618.017066666668597                1052.431947374512447                2376.693333333334067                4659.520000000004075              130900.853333333419869
 20                2714.757333333334373                1259.605062869595713                2402.400000000001000                5612.000000000004547              135737.866666666726815
 21                2876.385333333335439                1429.621125584756328                2572.066666666668880                6802.600000000005821              143819.266666666779201
 22                3254.901333333335515                1863.435125197668185                3271.866666666669516                6192.400000000003274              162745.066666666767560
 23                3918.986666666669862                1670.405277982297093                4375.200000000003456                6192.400000000003274              195949.333333333488554
 24                4087.429333333333489                1687.793471523497146                4940.400000000003274                6192.400000000003274              204371.466666666674428
 25                4543.602666666668483                1389.137505710169080                5032.000000000003638                6192.400000000003274              227180.133333333418705
 26                4235.253333333336741                1507.550414561466368                5032.000000000003638                5500.000000000004547              211762.666666666831588
 27                4020.242666666666992                1619.816268470526438                5032.000000000003638                5500.000000000004547              201012.133333333360497
 28                3823.248000000001412                1636.983795645855935                5032.000000000003638                5500.000000000004547              191162.400000000081491
 29                3585.732000000003609                1331.232475331038131                4294.600000000003092                6802.600000000005821              179286.600000000180444
 30                3252.573333333335995                1084.175373802187096                3852.160000000002583                4659.520000000004075              162628.666666666802485
 31                3279.780000000001564                1089.116565669082547                3803.000000000002728                4421.400000000003274              163989.000000000087311
 32                3231.308888888890579                1055.525356838194057                3803.000000000002728                4421.400000000003274              161565.444444444525288
 33                3052.589333333336981                1174.412050368089467                3852.160000000002583                4659.520000000004075              152629.466666666849051
 34                3454.632888888892012                1184.268285638931729                4048.800000000002910                5026.400000000003274              172731.644444444595138
 35                4346.410666666668476                1304.468421072397632                5032.000000000003638                6182.800000000002910              217320.533333333441988
 36                4274.421333333335497                1344.076813773181811                5032.000000000003638                6182.800000000002910              213721.066666666767560
 37                4254.549333333332470                1510.535714863219255                5032.000000000003638                6182.800000000002910              212727.466666666645324
 38                4609.888000000000829                1396.095217474797892                5032.000000000003638                6182.800000000002910              230494.400000000052387
 39                4785.480000000001382                1377.819388712146520                5490.400000000005093                6182.800000000002910              239274.000000000058208
 40                5055.722666666668374                1057.689573897118407                5500.000000000004547                6182.800000000002910              252786.133333333418705
 41                5116.736000000001695                1016.984772175736452                5500.000000000004547                6182.800000000002910              255836.800000000104774
 42                5339.501333333335424                 830.542151314028047                5500.000000000004547                6182.800000000002910              266975.066666666767560
 43                5522.592000000001462                 312.810733728879711                5500.000000000004547                6182.800000000002910              276129.600000000093132
 44                5533.944000000001324                 330.652010524660113                5500.000000000004547                6182.800000000002910              276697.200000000069849
 45                5506.610666666667385                 502.186394852660101                5500.000000000004547                6182.800000000002910              275330.533333333383780
 46                5567.344000000000960                 333.703780116437997                5500.000000000004547                6182.800000000002910              278367.200000000069849
 47                5618.328000000001339                 344.502764598486465                5500.000000000004547                6182.800000000002910              280916.400000000081491
 48                5654.944000000001324                 368.019162631513211                5904.000000000004547                6182.800000000002910              282747.200000000069849
 49                5694.120000000000800                 365.014588201622416                5904.000000000004547                6182.800000000002910              284706.000000000058208
