# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 164.012444444444469                 323.670019806714834                  62.222222222222207                1340.266666666667561                8200.622222222224082
  1                 228.597333333333410                 355.876691771146341                  76.000000000000000                1355.066666666667743               11429.866666666670426
  2                 194.079111111111132                 290.101945509411905                  72.844444444444434                1194.533333333333985                9703.955555555556202
  3                 270.176000000000101                 356.916660102282265                 118.888888888888900                1194.533333333333985               13508.800000000004729
  4                 398.731555555555701                 441.175258987308666                 123.022222222222197                1501.600000000001046               19936.577777777783922
  5                 559.954666666666753                 496.025450521081609                 549.688888888889096                2068.799999999996999               27997.733333333337214
  6                 647.377777777778078                 497.620967522991975                 757.022222222222467                2068.799999999996999               32368.888888888905058
  7                 703.758222222222685                 438.102768317781852                 843.644444444444730                1703.466666666668289               35187.911111111134232
  8                 876.355555555556180                 503.628577543529502                1009.511111111111518                1976.933333333334303               43817.777777777810115
  9                 946.763555555556422                 470.803254019404164                1009.511111111111518                1976.933333333334303               47338.177777777818847
 10                 899.439111111111743                 526.553930579378516                 959.200000000001069                1976.933333333334303               44971.955555555585306
 11                 895.873777777778628                 501.100876395901992                 867.866666666667243                1976.933333333334303               44793.688888888929796
 12                 872.341333333333864                 596.310717675787600                 783.111111111111768                1905.600000000001955               43617.066666666694800
 13                1094.067555555556510                 692.840544318144339                1108.800000000000864                4010.400000000002819               54703.377777777830488
 14                1196.203555555556477                 611.227901702349754                1331.600000000001046                3495.200000000002547               59810.177777777826122
 15                1271.974222222223034                 612.968702503714326                1331.600000000001046                3488.666666666669244               63598.711111111151695
 16                1274.453333333334513                 644.808141479711253                1277.733333333334258                3495.200000000002547               63722.666666666722449
 17                1226.083555555556359                 679.640954136415644                1277.733333333334258                3495.200000000002547               61304.177777777818847
 18                1148.125333333334083                 679.966267148200131                1090.622222222223172                3458.133333333336395               57406.266666666699166
 19                1275.404444444445289                 762.016747322525134                1090.622222222223172                3458.133333333336395               63770.222222222262644
 20                1195.137777777778410                 691.229478509485034                1090.622222222223172                3458.133333333336395               59756.888888888919610
 21                1133.198222222223194                 632.481427572383836                1090.622222222223172                3458.133333333336395               56659.911111111163336
 22                1084.967111111112445                 621.145041732556251                1090.622222222223172                2064.133333333334576               54248.355555555623141
 23                1306.328888888889423                 556.801759327432478                1458.400000000001228                2064.133333333334576               65316.444444444474357
 24                1362.476444444445178                 562.597823841165678                1646.800000000001091                2064.133333333334576               68123.822222222253913
 25                1514.534222222222979                 463.045835236723065                1677.333333333334622                2064.133333333334576               75726.711111111144419
 26                1411.751111111112323                 502.516804853822009                1677.333333333334622                1833.333333333334849               70587.555555555620231
 27                1340.080888888890286                 539.938756156842146                1677.333333333334622                1833.333333333334849               67004.044444444516557
 28                1274.416000000001304                 545.661265215285653                1677.333333333334622                1833.333333333334849               63720.800000000068394
 29                1420.602666666667801                 570.449988574365989                1677.333333333334622                3458.133333333336395               71030.133333333389601
 30                1566.523555555556413                 681.644293366932175                1677.333333333334622                3458.133333333336395               78326.177777777818847
 31                1610.680000000000291                 748.650250524153535                1677.333333333334622                3458.133333333336395               80534.000000000014552
 32                1580.017777777778974                 750.970958232502426                1677.333333333334622                3458.133333333336395               79000.888888888948713
 33                1446.237333333334846                 763.511768896367471                1677.333333333334622                3458.133333333336395               72311.866666666741366
 34                1491.434666666668136                 610.137216320200764                1677.333333333334622                3282.133333333335031               74571.733333333409973
 35                1448.803555555557296                 434.822807024132487                1677.333333333334622                2060.933333333334303               72440.177777777862502
 36                1424.807111111112135                 448.025604591060755                1677.333333333334622                2060.933333333334303               71240.355555555608589
 37                1418.183111111112794                 503.511904954406418                1677.333333333334622                2060.933333333334303               70909.155555555640603
 38                1536.629333333334671                 465.365072491599278                1677.333333333334622                2060.933333333334303               76831.466666666732635
 39                1595.160000000001446                 459.273129570715469                1830.133333333335031                2060.933333333334303               79758.000000000072760
 40                1685.240888888890140                 352.563191299039659                1833.333333333334849                2060.933333333334303               84262.044444444502005
 41                1705.578666666667232                 338.994924058578817                1833.333333333334849                2060.933333333334303               85278.933333333363407
 42                1779.833777777778096                 276.847383771342777                1833.333333333334849                2060.933333333334303               88991.688888888907968
 43                1840.864000000000487                 104.270244576293237                1833.333333333334849                2060.933333333334303               92043.200000000026193
 44                1844.648000000000138                 110.217336841553376                1833.333333333334849                2060.933333333334303               92232.400000000008731
 45                1835.536888888889507                 167.395464950886719                1833.333333333334849                2060.933333333334303               91776.844444444475812
 46                1855.781333333333578                 111.234593372146009                1833.333333333334849                2060.933333333334303               92789.066666666680248
 47                1872.776000000000067                 114.834254866162127                1833.333333333334849                2060.933333333334303               93638.800000000002910
 48                1884.981333333333623                 122.673054210504375                1968.000000000001592                2060.933333333334303               94249.066666666680248
 49                1898.040000000000191                 121.671529400540848                1968.000000000001592                2060.933333333334303               94902.000000000014552
