# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 213.092000000000070                 399.868636627358512                  40.000000000000000                1549.400000000001455               10654.600000000004002
  1                 362.170666666667046                 646.675952120277429                 137.233333333333320                3576.700000000002547               18108.533333333351038
  2                 303.136000000000195                 634.086007557763310                 119.555555555555543                2939.200000000001637               15156.800000000008367
  3                 439.344888888889102                 673.176854721800737                 167.488888888888880                2939.200000000001637               21967.244444444455439
  4                 345.004000000000133                 431.492485302918453                 205.000000000000000                1958.000000000002274               17250.200000000008004
  5                 463.962666666666792                 542.539137047683312                 194.999999999999943                2024.800000000001546               23198.133333333338669
  6                 625.209333333333802                 662.619592024799431                 223.399999999999949                2174.800000000002001               31260.466666666692618
  7                 570.765333333333729                 578.079021778549986                 223.399999999999949                2174.800000000002001               28538.266666666688252
  8                 712.857333333334054                 553.990763021270595                 698.200000000000500                2214.133333333335031               35642.866666666704987
  9                 749.170666666667330                 687.304045953463628                 648.066666666667061                2830.600000000004002               37458.533333333369228
 10                 830.415333333333933                 714.652866788718939                 739.333333333333940                3492.300000000003820               41520.766666666699166
 11                 810.098133333334317                 772.747199230313754                 707.173333333333858                3100.559999999996307               40504.906666666713136
 12                 870.252000000000862                 755.785294991660294                 933.333333333334394                2539.300000000002910               43512.600000000042201
 13                 918.300888888889403                 720.529344524009389                1105.488888888890187                2539.300000000002910               45915.044444444472902
 14                 998.711111111112132                 763.425121688232480                1163.955555555556430                2911.400000000004184               49935.555555555605679
 15                1147.246666666667807                 739.905751078482581                1465.800000000001774                2911.400000000004184               57362.333333333393966
 16                 771.462266666667233                 681.239393501267159                 815.300000000000864                3796.466666666668061               38573.113333333363698
 17                 601.258666666667068                 637.804962065023460                 444.466666666667152                2239.000000000000000               30062.933333333352493
 18                 573.371788359788866                 604.044024345275261                 351.679365079365425                1928.542857142857201               28668.589417989442154
 19                 604.737911111111657                 603.412394427618210                 374.216666666667038                1825.970000000000027               30236.895555555583996
 20                 689.727555555556023                 687.855143080803373                 310.685714285714539                2170.142857142860066               34486.377777777801384
 21                 822.273111111111348                 737.929715563451055                 684.516666666667447                2054.750000000000455               41113.655555555567844
 22                 785.567076923077593                 758.537978786409212                 677.243589743590519                3076.823076923080407               39278.353846153877384
 23                1106.045647058824443                 820.053122137755736                1156.294117647060602                2438.835294117646299               55302.282352941219870
 24                1034.921230769231897                 780.835657685213846                1175.707692307694060                2454.969230769229853               51746.061538461595774
 25                 887.014000000000919                 614.208640880601365                 715.877777777778761                2429.966666666669880               44350.700000000048021
 26                1137.621066666667730                 692.605674044021953                1200.460000000001855                2475.539999999999509               56881.053333333387855
 27                1160.935282051283366                 659.105649196329409                1175.707692307694060                2454.969230769229853               58046.764102564164205
 28                1046.125333333334083                 656.011357940970470                1200.460000000001855                2475.539999999999509               52306.266666666706442
 29                1159.269600000000992                 690.588363392852557                1307.720000000001846                2614.280000000000200               57963.480000000046857
 30                1077.494500000000926                 640.390747529302985                1227.275000000001683                2655.275000000001000               53874.725000000049477
 31                1094.638888888889596                 650.838643958985244                1271.966666666668516                2874.500000000000909               54731.944444444481633
 32                1129.209333333333689                 731.780802043891072                1200.460000000001855                2523.740000000000691               56460.466666666681704
 33                1297.395555555556712                 850.361714068730635                1212.377777777779556                2582.200000000000728               64869.777777777831943
 34                1187.082564102565129                 809.322478534936863                1175.707692307694060                2494.230769230769056               59354.128205128261470
 35                1249.614833333334445                 895.341912558626404                1160.237500000001774                2480.162499999999909               62480.741666666719539
 36                1473.566175438597384                 930.420771995615041                1631.228070175439143                2470.536842105263077               73678.308771929863724
 37                1514.475466666666989                 888.029237597858582                1703.733333333333803                2484.226666666666461               75723.773333333345363
 38                1660.859777777778618                 945.813591597459322                2289.900000000001000                2473.388888888888687               83042.988888888925430
 39                1724.449555555555662                 992.032698135241390                2289.900000000001000                2473.388888888888687               86222.477777777778101
 40                1902.058871794871038                 922.696857736626498                2402.323076923077679                2494.230769230769056               95102.943589743546909
 41                2080.125200000000405                 700.446474681576888                2260.670000000000982                2467.969999999999800              104006.260000000009313
 42                1766.266947368420688                 528.521191155048882                1969.836842105262122                2089.407017543861912               88313.347368421033025
 43                1730.252627450980299                 576.326734134401818                1975.876470588234270                2095.133333333335486               86512.631372549018124
 44                2195.507929824563689                 607.752271959698078                2470.536842105263077                2470.536842105263077              109775.396491228195373
 45                2026.871368421054513                 782.309722331080366                2274.515789473684890                2470.536842105263077              101343.568421052725171
 46                2000.583362318841182                 741.654479599069873                2226.356521739131495                2461.608695652173992              100029.168115942055010
 47                1990.645650793650702                 764.731647458239991                2248.142857142857792                2465.647619047618718               99532.282539682535571
 48                1591.402898550723876                 457.487331342551443                1717.956521739130494                1794.008695652172491               79570.144927536195610
 49                1716.276000000000295                 506.560353242457097                1818.661538461538612                2076.302564102566066               85813.800000000017462
