# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 860.033333333333985                1714.751186110296885                 106.666666666666657                8710.800000000001091               43001.666666666700621
  1                 857.877333333333809                2512.251474155671531                 233.466666666666640               17436.000000000014552               42893.866666666690435
  2                1598.901333333332786                3076.469249751226926                 394.666666666666629               10988.800000000002910               79945.066666666636593
  3                1419.120000000000800                1454.268526755328821                1201.066666666666606                6864.000000000006366               70956.000000000043656
  4                 715.653333333333535                1068.722681501406441                 348.333333333333201                4593.533333333335577               35782.666666666678793
  5                1646.819555555556690                2170.131168602728394                 677.333333333333371                9163.200000000009823               82340.977777777836309
  6                1921.872000000000980                1962.150175149247389                 976.000000000000568                6469.600000000008549               96093.600000000049477
  7                1263.598666666667214                1108.968841761672138                1167.866666666667015                5484.666666666670608               63179.933333333356131
  8                2451.013333333336050                1498.641975834568257                3058.133333333336395                5032.533333333333758              122550.666666666802485
  9                3517.426666666670371                2232.918205597531141                3895.933333333337487               10090.600000000011278              175871.333333333517658
 10                1424.672666666668192                1653.964696985735600                 933.333333333333712                9307.700000000006185               71233.633333333404153
 11                1793.505600000001095                1505.827348410234890                1422.666666666668107                6666.893333333338887               89675.280000000057044
 12                1784.777777777778965                1566.809851428479988                1548.400000000001683                5816.499999999998181               89238.888888888948713
 13                1798.468444444445595                2093.220909404262329                1762.066666666668425                8812.277777777771917               89923.422222222274286
 14                1529.011555555556924                1322.713116834757329                1640.377777777779784                5696.900000000004184               76450.577777777842130
 15                2300.082666666668501                2147.800584683370289                2025.533333333335577                8880.200000000004366              115004.133333333433256
 16                3210.445333333334474                2486.463768832703408                3933.466666666671699                7846.799999999991087              160522.266666666720994
 17                4267.064800000001924                3105.669342763553686                5511.840000000007421                8389.640000000001237              213353.240000000077998
 18                5587.214666666672201                2683.761046832599277                6342.800000000007458                8425.000000000010914              279360.733333333628252
 19                2791.924800000002051                2315.757374794227417                3320.306666666670026               13347.879999999997381              139596.240000000107102
 20                4493.785444444447421                2643.722346519680286                4973.100000000006730                8832.949999999995271              224689.272222222381970
 21                5897.461333333339098                3332.303987516147117                6888.000000000008185               10276.799999999993815              294873.066666666942183
 22                5678.528000000006614                3407.524396334678841                7196.800000000010186               10276.799999999993815              283926.400000000314321
 23                6697.098666666673125                3129.451480065975375                7819.200000000010732               10276.799999999993815              334854.933333333639894
 24                6119.786666666674137                3096.298736778767307                6888.000000000008185               10276.799999999993815              305989.333333333721384
 25                7052.298666666670215                2761.697399925230911                7966.400000000009641               10241.599999999993088              352614.933333333523478
 26                6763.658666666672616                2537.122324126379681                6921.600000000010368               10385.599999999993088              338182.933333333639894
 27                3366.371809523813226                1398.874187067007824                3429.028571428575560                5287.339682539678506              168318.590476190671325
 28                1565.839903508774341                1147.492978635310010                 978.620614035088920                3164.714473684211498               78291.995175438714796
 29                5825.932488888889566                2354.304809170581393                6841.993333333328337                8963.151111111112186              291296.624444444489200
 30                6029.337212121214179                2046.699863810149964                7347.345454545451503                7356.896969696967972              301466.860606060712598
 31                4508.805600000005143                1718.000901093211496                5092.706666666674209                8983.399999999994179              225440.280000000260770
 32                6158.662666666671612                2548.305959201624773                5760.800000000007458               11021.199999999982538              307933.133333333593328
 33                7364.778666666668869                2979.415163415348616                6822.800000000006548               11658.399999999981446              368238.933333333465271
 34                7601.205333333334238                2797.769084708260380                7755.200000000010732               12164.799999999977445              380060.266666666720994
 35                7700.885333333334529                3429.019732862822366                7755.200000000010732               12164.799999999977445              385044.266666666720994
 36                8203.679999999998472                3604.325016001987024                8585.600000000007640               12164.799999999977445              410183.999999999883585
 37                7989.290666666666766                3524.290509749846933                8113.600000000012187               12164.799999999977445              399464.533333333325572
 38                8667.925333333329036                4127.122344268237612               11492.799999999986539               12164.799999999977445              433396.266666666488163
 39                9429.269333333326358                3920.323305147384872               11492.799999999986539               12164.799999999977445              471463.466666666325182
 40               10103.711999999992258                3289.337579174119128               11492.799999999986539               12164.799999999977445              505185.599999999627471
 41               11093.951999999988402                2101.041193526669758               11492.799999999986539               12164.799999999977445              554697.599999999394640
 42               11364.287999999984095                1767.827088449539360               12164.799999999977445               12164.799999999977445              568214.399999999208376
 43               11134.293333333320334                2124.970831151432776               12164.799999999977445               12164.799999999977445              556714.666666666045785
 44               11546.143999999982043                1154.398729756742568               12164.799999999977445               12164.799999999977445              577307.199999999138527
 45               11139.445333333320377                2307.530820998058061               11983.999999999983629               12164.799999999977445              556972.266666666022502
 46               10936.437333333322385                2443.728814056633837               11492.799999999986539               12164.799999999977445              546821.866666666115634
 47               10470.111999999988257                3080.217371072364585               11492.799999999986539               12164.799999999977445              523505.599999999452848
 48               11228.789333333317700                2001.748306050259771               11492.799999999986539               12164.799999999977445              561439.466666665859520
 49               11186.698666666650752                2249.881555094346368               11492.799999999986539               12164.799999999977445              559334.933333332533948
