# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 107.504166666666748                 214.343898263787111                  13.333333333333332                1088.850000000000136                5375.208333333337578
  1                 214.469333333333452                 628.062868538917883                  58.366666666666660                4359.000000000003638               10723.466666666672609
  2                 199.862666666666598                 384.558656218903366                  49.333333333333329                1373.600000000000364                9993.133333333329574
  3                 177.390000000000100                 181.783565844416103                 150.133333333333326                 858.000000000000796                8869.500000000005457
  4                 255.150666666666808                 482.364154382235483                  72.266666666666666                2125.566666666667516               12757.533333333340124
  5                 356.818666666666786                 489.494969814581566                 117.600000000000023                2418.000000000002274               17840.933333333337941
  6                 240.234000000000123                 245.268771893655924                 122.000000000000071                 808.700000000001069               12011.700000000006185
  7                 267.849166666666804                 244.230931384906683                 247.783333333333445                1300.583333333334167               13392.458333333341216
  8                 306.376666666667006                 187.330246979321032                 382.266666666667049                 629.066666666666720               15318.833333333350311
  9                 463.310666666666862                 323.956314506207207                 495.000000000000568                1833.050000000001774               23165.533333333343762
 10                 378.092666666666844                 439.682004359211589                 240.600000000000108                2334.466666666668061               18904.633333333342307
 11                 606.718666666667218                 580.330463391716989                 543.500000000000682                2607.633333333335031               30335.933333333359769
 12                 624.027833333333660                 666.253749117261009                 403.333333333333769                2641.300000000002001               31201.391666666684614
 13                 689.208166666666784                 921.288890199017601                 596.316666666667288                3988.866666666662695               34460.408333333340124
 14                 596.237833333333811                 515.436176368051520                 619.533333333334099                2190.525000000001455               29811.891666666691890
 15                 440.234833333333825                 610.560877813020625                 295.466666666666924                2718.550000000002456               22011.741666666690435
 16                 695.450666666667416                 618.329370094756314                 892.600000000001273                2464.700000000002547               34772.533333333369228
 17                 899.365499999999770                 822.889194935559544                 983.400000000001342                3186.024999999996908               44968.274999999986903
 18                 698.401833333334025                 335.470130854074910                 792.850000000000932                1053.125000000001364               34920.091666666703532
 19                 714.920666666667216                 647.161582120639423                 717.333333333333940                3220.699999999999818               35746.033333333361952
 20                 717.267666666667196                 456.676286050268743                 748.300000000000864                1749.074999999999363               35863.383333333360497
 21                 737.182666666667387                 416.537998439518390                 861.000000000001023                1284.599999999999227               36859.133333333367773
 22                 709.816000000000827                 425.940549541834855                 899.600000000001273                1284.599999999999227               35490.800000000039290
 23                 837.137333333334141                 391.181435008246922                 977.400000000001342                1284.599999999999227               41856.866666666704987
 24                 764.973333333334267                 387.037342097345913                 861.000000000001023                1284.599999999999227               38248.666666666715173
 25                 881.537333333333777                 345.212174990653864                 995.800000000001205                1280.199999999999136               44076.866666666690435
 26                 845.457333333334077                 317.140290515797460                 865.200000000001296                1298.199999999999136               42272.866666666704987
 27                1028.272666666667646                 862.992065952714711                 619.800000000000068                2721.600000000002638               51413.633333333382325
 28                1356.181333333333896                 981.530504380446587                1342.033333333334667                2716.733333333334031               67809.066666666694800
 29                1144.658000000000357                 529.087015643089671                1261.050000000001319                1651.500000000000227               57232.900000000016007
 30                 904.145333333333383                 366.423019762071874                 947.233333333333235                1783.200000000001410               45207.266666666670062
 31                 678.600000000000819                 390.145378089302255                 663.933333333334190                2133.399999999999636               33930.000000000043656
 32                 841.339500000000726                 344.481346805156250                 811.750000000001023                1556.275000000000773               42066.975000000034925
 33                 920.597333333333609                 372.426895426918577                 852.850000000000819                1457.299999999997681               46029.866666666683159
 34                 950.150666666666780                 349.721135588532547                 969.400000000001342                1520.599999999997181               47507.533333333340124
 35                 962.610666666666816                 428.627466607852796                 969.400000000001342                1520.599999999997181               48130.533333333340124
 36                1025.459999999999809                 450.540627000248378                1073.200000000000955                1520.599999999997181               51272.999999999985448
 37                 998.661333333333346                 440.536313718730867                1014.200000000001523                1520.599999999997181               49933.066666666665697
 38                1083.490666666666129                 515.890293033529701                1436.599999999998317                1520.599999999997181               54174.533333333311020
 39                1178.658666666665795                 490.040413143423109                1436.599999999998317                1520.599999999997181               58932.933333333290648
 40                1262.963999999999032                 411.167197396764891                1436.599999999998317                1520.599999999997181               63148.199999999953434
 41                1386.743999999998550                 262.630149190833720                1436.599999999998317                1520.599999999997181               69337.199999999924330
 42                1420.535999999998012                 220.978386056192420                1520.599999999997181                1520.599999999997181               71026.799999999901047
 43                1391.786666666665042                 265.621353893929097                1520.599999999997181                1520.599999999997181               69589.333333333255723
 44                1443.267999999997755                 144.299841219592821                1520.599999999997181                1520.599999999997181               72163.399999999892316
 45                1392.430666666665047                 288.441352624757258                1497.999999999997954                1520.599999999997181               69621.533333333252813
 46                1367.054666666665298                 305.466101757079230                1436.599999999998317                1520.599999999997181               68352.733333333264454
 47                1308.763999999998532                 385.027171384045573                1436.599999999998317                1520.599999999997181               65438.199999999931606
 48                1403.598666666664712                 250.218538256282471                1436.599999999998317                1520.599999999997181               70179.933333333232440
 49                1398.337333333331344                 281.235194386793296                1436.599999999998317                1520.599999999997181               69916.866666666566744
