# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 178.617333333333448                 290.269738403590850                  58.600000000000009                1142.866666666667925                8930.866666666672245
  1                 272.817333333333465                 389.004594730933547                 120.666666666666671                1560.199999999997999               13640.866666666672245
  2                 251.305333333333522                 314.280800160196634                 147.333333333333314                1142.866666666667925               12565.266666666675519
  3                 285.032000000000096                 381.228683365305983                 176.666666666666686                1854.066666666669107               14251.600000000004002
  4                 285.233333333333519                 361.725042354917605                 187.866666666666617                1854.066666666669107               14261.666666666675155
  5                 249.048000000000172                 307.424375825268157                 193.000000000000000                1236.933333333334758               12452.400000000008731
  6                 347.298666666666747                 382.002506853903355                 205.666666666666686                1992.533333333328301               17364.933333333337941
  7                 270.002666666666528                 254.219334856952230                 194.733333333333292                1321.733333333334031               13500.133333333327755
  8                 300.573333333333494                 249.576267034080701                 211.000000000000000                1170.466666666668061               15028.666666666673336
  9                 339.524000000000115                 329.315376031346148                 209.533333333333303                1884.200000000002547               16976.200000000004366
 10                 355.760000000000389                 329.631243664796159                 201.199999999999989                1303.800000000001091               17788.000000000018190
 11                 462.604000000000497                 395.847772404157467                 278.400000000000034                1884.200000000002547               23130.200000000026193
 12                 412.623333333333505                 491.075294803828456                 195.499999999999972                2963.300000000000637               20631.166666666675155
 13                 376.098666666666816                 407.247975042234202                 223.799999999999983                1620.050000000000409               18804.933333333341579
 14                 562.209333333333689                 491.342705475516993                 346.333333333333314                2039.133333333336168               28110.466666666685342
 15                 733.114666666667517                 576.837671452820473                 855.333333333334167                2039.133333333336168               36655.733333333373594
 16                 984.530666666667912                 632.457251742581434                 995.200000000000955                2039.133333333336168               49226.533333333398332
 17                 949.688000000001239                 567.342678722873188                1038.466666666667834                2094.000000000002728               47484.400000000059663
 18                1060.764000000001488                 554.609764262325257                1118.800000000001319                2094.000000000002728               53038.200000000069849
 19                1181.458666666668478                 509.983531174619429                1224.333333333334849                2045.333333333335759               59072.933333333421615
 20                1271.917333333334909                 484.566982240158382                1240.400000000001000                2039.133333333336168               63595.866666666748642
 21                1180.017333333334591                 571.352078076013072                1233.266666666668016                2039.133333333336168               59000.866666666734091
 22                1269.918666666667832                 557.611066411786396                1328.000000000000909                2045.333333333335759               63495.933333333392511
 23                1299.292000000001508                 586.724881034450391                1328.000000000000909                2094.000000000002728               64964.600000000071304
 24                1243.965333333334456                 540.815571314289173                1240.400000000001000                2039.133333333336168               62198.266666666728270
 25                1271.720000000001392                 551.322854555800518                1334.666666666667652                2039.133333333336168               63586.000000000072760
 26                1336.858666666668114                 517.111844448891134                1334.666666666667652                2039.133333333336168               66842.933333333407063
 27                1284.757333333334145                 457.327654145496467                1334.666666666667652                2039.133333333336168               64237.866666666712263
 28                1315.878666666667868                 379.762974894136789                1334.666666666667652                2039.133333333336168               65793.933333333392511
 29                1184.965333333333774                 373.116801549089132                1328.000000000000909                2039.133333333336168               59248.266666666691890
 30                1148.948000000000093                 430.068959284955440                1334.666666666667652                2039.133333333336168               57447.400000000008731
 31                1178.994666666666944                 350.384968434561813                1334.666666666667652                1769.666666666668789               58949.733333333344490
 32                1218.016000000000531                 381.166748126503762                1334.666666666667652                2039.133333333336168               60900.800000000032014
 33                1177.338666666667223                 350.352170972136321                1240.400000000001000                1769.666666666668789               58866.933333333356131
 34                1215.833333333333712                 343.763743741412100                1334.666666666667652                1769.666666666668789               60791.666666666686069
 35                1243.070666666666284                 312.246071171084282                1334.666666666667652                1398.199999999999818               62153.533333333318296
 36                1193.347999999999956                 365.018626079394721                1334.666666666667652                1398.199999999999818               59667.399999999994179
 37                1099.084000000000287                 431.571312981347887                1334.666666666667652                1398.199999999999818               54954.200000000018917
 38                1076.516000000000076                 456.533312268301700                1334.666666666667652                1398.199999999999818               53825.800000000002910
 39                1110.864000000000033                 441.778482240439814                1356.800000000000182                1398.199999999999818               55543.200000000004366
 40                1140.298666666666577                 418.085697592677207                1398.199999999999818                1398.199999999999818               57014.933333333334303
 41                1198.030666666666548                 377.662798029023577                1398.199999999999818                1398.199999999999818               59901.533333333332848
 42                1155.343999999999596                 437.669620982159074                1398.199999999999818                1398.199999999999818               57767.199999999982538
 43                1171.047999999999774                 419.779832672107261                1398.199999999999818                1398.199999999999818               58552.399999999986903
 44                1171.214666666666517                 419.664326451510533                1398.199999999999818                1398.199999999999818               58560.733333333322662
 45                1283.095999999999549                 305.805442916461516                1398.199999999999818                1398.199999999999818               64154.799999999973807
 46                1243.930666666666184                 365.915060200830851                1398.199999999999818                1398.199999999999818               62196.533333333303744
 47                1230.367999999999483                 396.323039112736126                1398.199999999999818                1398.199999999999818               61518.399999999979627
 48                1279.697333333332608                 346.397199170098304                1398.199999999999818                1398.199999999999818               63984.866666666624951
 49                1321.082666666665773                 279.613572571544239                1398.199999999999818                1398.199999999999818               66054.133333333287737
