# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 193.181333333333384                 225.681099308047777                  55.000000000000000                 763.800000000000523                9659.066666666669335
  1                 252.054666666666719                 235.129222037585151                 352.333333333333371                 707.333333333333371               12602.733333333335395
  2                 349.910666666666714                 247.684312914645574                 382.000000000000000                1297.666666666667425               17495.533333333336486
  3                 327.098000000000127                 455.940049246730780                 278.266666666666708                3406.433333333334758               16354.900000000005093
  4                 346.666666666666742                 470.596338607846974                 284.900000000000091                3406.433333333334758               17333.333333333335759
  5                 292.129333333333477                 353.692108393098977                 180.000000000000000                1490.033333333333303               14606.466666666674428
  6                 296.405599999999993                 389.171057561205032                 180.399999999999977                1748.253333333333330               14820.279999999998836
  7                 313.417999999999950                 388.291554159442910                 191.500000000000000                1490.033333333333303               15670.899999999997817
  8                 366.345333333333315                 458.362168911585968                 226.066666666666663                2711.000000000000455               18317.266666666666424
  9                 733.980000000000018                 608.640811170448615                 467.266666666666765                2398.866666666668152               36699.000000000000000
 10                 560.797333333333427                 499.297268205358307                 392.833333333333542                3194.000000000001364               28039.866666666672245
 11                 369.245866666666871                 346.733736477725245                 274.520000000000209                1670.480000000000928               18462.293333333342161
 12                 358.884571428571519                 393.148978406757237                 247.447619047619213                2260.228571428574014               17944.228571428575378
 13                 366.448000000000036                 423.748061659516964                 230.133333333333411                2104.000000000002274               18322.400000000001455
 14                 391.933777777777948                 520.760714121795445                 241.911111111111211                2231.733333333333576               19596.688888888897054
 15                 357.402666666666619                 404.543627984113527                 266.257142857142924                2473.942857142857520               17870.133333333331393
 16                 359.146666666666874                 389.442802418475480                 278.900000000000091                2240.700000000001637               17957.333333333343035
 17                 370.011111111111290                 399.849671091030416                 242.755555555555617                1879.133333333335031               18500.555555555565661
 18                 509.871238095238425                 574.045548758851510                 230.161904761904765                2479.657142857144208               25493.561904761922051
 19                 603.888750000000300                 687.910320412505143                 245.179166666666532                2413.550000000001091               30194.437500000014552
 20                 577.959777777777958                 680.052385930182481                 244.466666666666725                2362.133333333334576               28897.988888888899965
 21                 589.223578947368537                 642.587132577776629                 309.207017543859592                2340.484210526316929               29461.178947368425725
 22                 583.927515151515308                 584.813593753965051                 315.093939393939479                2287.345454545455596               29196.375757575766329
 23                 595.216800000000035                 608.540070576845210                 307.149333333333402                2246.960000000000946               29760.840000000003783
 24                 733.678962962963169                 705.790326152730131                 435.844444444444662                2225.022222222223263               36683.948148148156179
 25                 839.409866666667199                 743.773259651671083                 545.666666666666742                2197.600000000001273               41970.493333333361079
 26                 800.033204301075784                 667.961453008807666                 570.139784946237000                2189.638709677420593               40001.660215053787397
 27                 928.683888888889328                 663.932557191673482                 985.850000000001046                2156.466666666668061               46434.194444444467081
 28                 972.255263157895229                 667.913324266009795                 978.012280701755458                2145.642105263159010               48612.763157894762116
 29                 945.214461538462047                 697.982424895442591                 818.851282051282624                2140.646153846154903               47260.723076923102781
 30                 948.790728682170766                 591.576087664367492                 802.945736434109108                2122.986046511628956               47439.536434108536923
 31                 964.626387596899463                 603.753295685240573                 802.945736434109108                2122.986046511628956               48231.319379844971991
 32                1051.033904761904978                 593.205992897619808                1169.566666666667970                2127.085714285715312               52551.695238095249806
 33                1195.115517730497231                 552.780820186492178                1294.472340425533275                2108.331914893617977               59755.775886524861562
 34                1161.270755555556661                 599.432582731346542                1300.626666666668143                2115.333333333334394               58063.537777777833981
 35                1214.051555555556433                 598.638994805161019                1320.640000000001692                2115.333333333334394               60702.577777777820302
 36                1216.795757575758444                 616.049725453707879                1340.763636363637943                2119.072727272728571               60839.787878787923546
 37                1241.128088888890261                 644.214426395475698                1553.546666666666624                2115.333333333334394               62056.404444444509863
 38                1414.251916666667057                 571.243320021246291                1542.950000000000045                2105.050000000001091               70712.595833333354676
 39                1331.964113475177783                 587.075795325346917                1546.331914893617068                2108.331914893617977               66598.205673758886405
 40                1325.079166666667334                 530.583794566838151                1309.391666666668470                2105.050000000001091               66253.958333333372138
 41                1301.743646258504668                 521.973605961859789                1305.948299319729585                2101.902040816327826               65087.182312925229780
 42                1279.540312056738458                 535.542435294942038                1312.981560283689760                2108.331914893617977               63977.015602836923790
 43                1217.578950354610924                 403.283084700838401                1312.981560283689760                1546.331914893617068               60878.947517730550317
 44                1173.312177777778516                 439.476292036410484                1320.640000000001692                1553.546666666666624               58665.608888888920774
 45                1157.088363636365784                 455.344616976828263                1324.730303030304867                1557.400000000000091               57854.418181818291487
 46                1059.676622222223159                 473.147105305017192                1320.640000000001692                1553.546666666666624               52983.831111111154314
 47                1082.287286821706857                 473.109521854222407                1329.010852713180157                1561.432558139534876               54114.364341085347405
 48                1051.008090909092971                 473.745896061910059                1324.730303030304867                1557.400000000000091               52550.404545454643085
 49                1110.494666666667626                 505.208843865440940                1333.495238095239756                2127.085714285715312               55524.733333333380870
