# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 648.217333333333272                 748.479538597786586                 176.000000000000000                2213.533333333333758               32410.866666666661331
  1                 791.797333333333427                 793.180621375876967                 584.000000000000000                2703.199999999999818               39589.866666666668607
  2                 852.634666666666590                 501.412708297931601                1059.466666666666697                1577.333333333333485               42631.733333333329938
  3                1075.370666666666693                 574.287651680661725                1191.999999999999773                3639.733333333334485               53768.533333333340124
  4                 966.554666666667231                1133.108216814068101                 638.133333333333212                5353.066666666665697               48327.733333333359042
  5                 969.426666666666733                1538.896473710952023                 431.199999999999932               10008.400000000006912               48471.333333333335759
  6                 921.008000000000266                1068.272961592370848                 573.599999999999909                5041.600000000001273               46050.400000000016007
  7                 940.040000000000418                1433.225834666525088                 433.733333333333292                9413.466666666670790               47002.000000000021828
  8                1328.378666666667868                1401.011741687018912                 613.866666666666561                4892.266666666670062               66418.933333333392511
  9                1142.533333333333985                1214.717831926412146                 560.533333333333189                4556.800000000004729               57126.666666666700621
 10                1409.322666666667601                1317.315019532619544                 791.466666666667152                5301.333333333333030               70466.133333333375049
 11                1888.602666666668483                1603.532220898464175                 945.066666666667402                5474.666666666666970               94430.133333333418705
 12                2066.453333333335195                1682.564150284389143                1174.400000000000773                6022.400000000007822              103322.666666666758829
 13                1640.186666666668543                1844.323463362952907                 614.933333333333280                8686.399999999997817               82009.333333333430346
 14                1621.418666666667377                2038.915432785665644                 613.866666666666561                8686.399999999997817               81070.933333333363407
 15                1433.920000000001210                1433.737239462735943                 619.733333333333121                5493.333333333331211               71696.000000000058208
 16                2052.773333333336268                1732.190331035634927                2510.933333333336122                8448.800000000008367              102638.666666666802485
 17                2042.634666666668863                1946.842334824496675                1154.666666666667652                8721.600000000007640              102131.733333333439077
 18                2987.226666666669189                2157.912401558508463                3381.333333333338032                7014.000000000007276              149361.333333333459450
 19                2039.397333333335382                1959.984065466295306                1374.533333333333985                8411.733333333340852              101969.866666666770470
 20                1832.654444444445289                1495.270294208367886                1405.566666666667743                5033.700000000003456               91632.722222222262644
 21                1417.321142857143741                1463.272401751090456                1110.792380952382018                5495.043809523809614               70866.057142857185681
 22                2464.332761904765903                1638.717994207195943                2180.228571428574924                5247.142857142865068              123216.638095238289679
 23                3100.753333333337650                1859.994435905658520                3201.266666666670972                6186.300000000009277              155037.666666666889796
 24                3184.107555555558520                2013.313826328655523                2782.400000000003274                6484.000000000009095              159205.377777777932351
 25                3389.366000000002714                2295.326235805564011                2723.800000000001546                7306.666666666670608              169468.300000000133878
 26                2883.001066666670340                1626.875260043888147                2561.440000000003238                5383.840000000008331              144150.053333333518822
 27                4107.123555555562234                1717.400065250286161                3580.400000000005093                6750.800000000001091              205356.177777778095333
 28                3941.084444444449218                1949.429677509697740                2901.600000000003092                6484.000000000009095              197054.222222222451819
 29                4409.770666666672696                2865.784643600268282                3961.600000000005821                9531.200000000000728              220488.533333333616611
 30                4270.887555555562358                1590.855046604455993                3891.066666666672972                7228.866666666666788              213544.377777778136078
 31                3099.006000000002587                1210.236944581790794                2618.666666666670153                6096.466666666672609              154950.300000000133878
 32                1842.927851851854257                1271.026547251028205                1525.500000000001364                4079.200000000006185               92146.392592592717847
 33                6236.666666666673336                1612.331530065839161                7214.400000000011460                9096.000000000003638              311833.333333333663177
 34                5867.184000000004744                1666.265071646299248                6376.800000000000182                8226.933333333334303              293359.200000000244472
 35                5846.521333333336770                1825.139480365633744                6376.800000000000182                8226.933333333334303              292326.066666666825768
 36                5818.776000000001659                2230.690153801833731                6376.800000000000182                8226.933333333334303              290938.800000000104774
 37                5995.916000000001077                1936.380542756568275                6376.800000000000182                8226.933333333334303              299795.800000000046566
 38                6574.520000000001346                1456.198333195036184                6376.800000000000182                8226.933333333334303              328726.000000000058208
 39                6453.646666666667443                1786.429614286552578                6376.800000000000182                8226.933333333334303              322682.333333333372138
 40                6643.476000000003296                1812.419896014288270                7314.800000000012005                8226.933333333334303              332173.800000000162981
 41                6674.988000000003922                1626.146508129092581                6376.800000000000182                8226.933333333334303              333749.400000000197906
 42                6623.056000000002314                1804.528598208653193                7314.800000000012005                8226.933333333334303              331152.800000000104774
 43                6875.005333333338967                1514.383886798117373                7314.800000000012005                8226.933333333334303              343750.266666666953824
 44                6885.498666666669124                1758.592385302137700                8226.933333333334303                8226.933333333334303              344274.933333333465271
 45                6971.941333333337752                1569.754457041820615                8226.933333333334303                8226.933333333334303              348597.066666666883975
 46                6703.701333333338880                1965.498111330220127                8226.933333333334303                8226.933333333334303              335185.066666666942183
 47                6839.608000000003813                1969.482687797990820                8226.933333333334303                8226.933333333334303              341980.400000000197906
 48                6755.594666666672310                2113.669703781237786                8226.933333333334303                8226.933333333334303              337779.733333333628252
 49                6961.380000000004657                1989.900933067328197                8226.933333333334303                8226.933333333334303              348069.000000000232831
