# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1353.340755555555006                3520.947872623375588                 143.200000000000017               15787.013333333316041               67667.037777777746669
  1                1398.719999999998890                2814.358300801246969                 339.233333333333235               13507.399999999990541               69935.999999999941792
  2                1481.322666666667146                1827.797262152087342                1184.000000000000000               11224.800000000001091               74066.133333333360497
  3                1776.773333333333085                3757.901337809588313                 446.933333333333223               23064.799999999988358               88838.666666666656965
  4                1345.541733333333696                2250.038690092558681                 376.133333333333383                9291.193333333323608               67277.086666666684323
  5                1202.482666666666319                3788.614685397639278                 187.333333333333371               25540.799999999988358               60124.133333333316841
  6                1523.415999999999485                2464.333142506326112                 193.433333333333280                8055.199999999978900               76170.799999999973807
  7                1190.266666666666652                2296.038403333493989                 284.373333333333221                9567.520000000000437               59513.333333333328483
  8                2623.068444444440956                3672.771844891662113                 275.555555555555543               16649.600000000002183              131153.422222222056007
  9                4167.905066666660787                5945.820079795135825                1854.453333333335195               35936.479999999908614              208395.253333333035698
 10                1319.868444444444094                2190.264183773903369                 188.222222222222285               10442.000000000000000               65993.422222222201526
 11                3434.570666666665147                5395.703851722689251                 839.466666666666470               21916.799999999966531              171728.533333333267365
 12                3487.405333333333147                4770.760146966377761                 521.199999999999932               19060.799999999995634              174370.266666666662786
 13                5927.661333333330731                5354.175773993226358                7107.600000000005821               24101.599999999965803              296383.066666666534729
 14                9824.597333333336792                5877.579684264755997               12323.200000000008004               18406.399999999994179              491229.866666666814126
 15                4651.077333333331808                5498.488987807628291                3044.800000000001546               26815.199999999982538              232553.866666666581295
 16                2052.714133333332938                2527.263602624304895                1196.586666666666588               12315.359999999996944              102635.706666666650563
 17                3987.700977777775734                2318.915615896579311                4450.720000000002074               12931.200000000002547              199385.048888888792135
 18                1584.390666666665538                2912.537000543954946                 286.888888888888857               14674.599999999996726               79219.533333333281917
 19                2700.979911111106503                4247.775975132318308                1391.022222222223263               16385.759999999958382              135048.995555555331521
 20                3513.942857142853882                2953.859357170964813                3400.647619047619173               12312.266666666666424              175697.142857142694993
 21                2027.400266666666766                2013.875897137638731                2039.639999999999873                9764.559999999997672              101370.013333333336050
 22                3803.461333333332277                3997.537408163398595                3310.262626262628601               15089.527272727278614              190173.066666666622041
 23                1793.703515151514466                2367.674440904828316                1038.739393939393722                9975.781818181805647               89685.175757575721946
 24                4868.609333333331051                3812.649091872968711                5115.755555555557294               14452.133333333327755              243430.466666666558012
 25                7903.129777777774507                5826.154290876901541                7864.555555555556566               17524.199999999982538              395156.488888888736255
 26                7542.860923076917970                4940.851055069235372                7943.220512820517797               17638.646153846100788              377143.046153845905792
 27                8852.610133333326303                4458.585631890840887                9304.640000000006694               17485.439999999951397              442630.506666666304227
 28                6126.197666666657824                4383.324208152735082                5706.649999999998727               19543.366666666675883              306309.883333332894836
 29                4810.462476190473353                4241.906436946775102                3552.457142857138024               13208.685714285689755              240523.123809523676755
 30                1886.611657142856302                1918.563084553288718                1053.379047619047014                9961.782857142856301               94330.582857142813737
 31               15018.026666666657547                5022.308928698910677               16118.399999999997817               24431.999999999919964              750901.333333332906477
 32               12120.490666666661127                3985.468630462638885               13683.200000000000728               17415.999999999930878              606024.533333333092742
 33                7404.394666666665216                4234.836695239771871                9179.200000000002547               12523.199999999993452              370219.733333333279006
 34                7603.166222222215765                4106.036182814576932                8625.866666666666788               19950.799999999988358              380158.311111110786442
 35                9888.245818181812865                3940.567834125546142               10780.381818181816925               16458.778787878742150              494412.290909090603236
 36                9204.725666666659890                4780.513151445264157                9462.450000000002547               22486.799999999970169              460236.283333332976326
 37               13786.986666666667588                4429.832451268447585               13776.000000000001819               27689.599999999918509              689349.333333333372138
 38                3032.568888888888978                2163.652226672572851                3101.866666666665878                8560.533333333332848              151628.444444444437977
 39                8862.065777777770563                5307.470038781382755                9571.066666666667516               29383.355555555484898              443103.288888888549991
 40                3407.618230303027303                2058.852245395562932                3860.159999999993033                9372.218181818177982              170380.911515151354251
 41                3286.993619047616903                2260.668243048700788                2706.971428571428078               12120.971428571432625              164349.680952380847884
 42                5131.999507002798055                2915.202503110831458                4951.020728291317937               12230.193837534963677              256599.975350139924558
 43                9131.582095238092734                5564.660871251105164               10563.809523809522943               20416.742857142799039              456579.104761904629413
 44                7716.932592592592300                3425.760420388298826                8686.933333333334303               15242.422222222176060              385846.629629629605915
 45                3562.394666666664307                3885.862599134109587                1792.533333333334440               11326.933333333314295              178119.733333333220799
 46                5792.183199999995850                3459.821561926048616                5647.013333333328774               18279.426666666666279              289609.159999999799766
 47               11780.191111111100327                4534.342610222997791               13902.666666666660603               16758.799999999981083              589009.555555555038154
 48                2934.830952380950748                2454.385793837001074                3460.614285714280868               15483.771428571426441              146741.547619047545595
 49               10436.558222222207405                5383.767490146943601               12160.711111111082573               21361.599999999998545              521827.911111110413913
